index,sentences,greeting,need:books,need:hats,need:balls,offer:books,offer:hats,offer:balls,inquiry,agreement
6450,i'd like the ball and 1 book .,,,,,,,,,
6451,i live with that,,,,,,,,,
6452,i would like the book one hat and one ball,,,,,,,,,
6453,how about i get the hats and the balls ?,,,,,,,,,
6454,ok,,,,,,,,,
6455,you can have both hats and one ball if i can get the book and two of the balls .,,,,,,,,,
6456,"yeah , that's fine .",,,,,,,,,
6457,i'll take the books and 3 balls .,,,,,,,,,
6458,"difference between transparency and negotiations , no deal .",,,,,,,,,
6459,no deal,,,,,,,,,
6460,no deal,,,,,,,,,
6461,no deal,,,,,,,,,
6462,no deal,,,,,,,,,
6463,no deal,,,,,,,,,
6464,if i can have the hat and the balls you can have the book,,,,,,,,,
6465,i need at least the hat and two balls or i can not make a deal,,,,,,,,,
6466,okay . no deal .,,,,,,,,,
6467,no deal .,,,,,,,,,
6468,no deal .,,,,,,,,,
6469,i need book,,,,,,,,,
6470,ok,,,,,,,,,
6471,i'll taker book and ball and you can have the hats if that's ok ?,,,,,,,,,
6472,"ok , you take the book and i'll take hats and balls",,,,,,,,,
6473,i would need 1 hat,,,,,,,,,
6474,ok,,,,,,,,,
6475,if i can have the books and the hats you can have the balls,,,,,,,,,
6476,you can have one hat and the balls and i will take the two books and the hat ?,,,,,,,,,
6477,okay great ! thank you !,,,,,,,,,
6478,i get the hats and the book . i all give you the balls .,,,,,,,,,
6479,i get all that hat and 1 ball and you get the book and 2 balls . is that okay .,,,,,,,,,
6480,you get all the balls and 1 hat . deal,,,,,,,,,
6481,deal,,,,,,,,,
6482,i will take the balls but i need either a hat or the book also,,,,,,,,,
6483,i need both balls,,,,,,,,,
6484,sounds good,,,,,,,,,
6485,"if you get the hats , i would like the book and the ball",,,,,,,,,
6486,i want the basketball as well . what value is the hat to you ?,,,,,,,,,
6487,i want the basketball and one hat .,,,,,,,,,
6488,"fine , i will accept the hat and two books then .",,,,,,,,,
6489,i'll take a basketball and a book,,,,,,,,,
6490,if you take the ball i'll need the hat and all three books,,,,,,,,,
6491,can't do it,,,,,,,,,
6492,could i have the book and one ball ?,,,,,,,,,
6493,"or , now bare with me i'll keep the book and you can have the ball and three hats",,,,,,,,,
6494,well unfortunately the book isn't for sale so your going to need to find another source to site .,,,,,,,,,
6495,no deal,,,,,,,,,
6496,i will give you 2 hats and 2 basketballs if you give me 3 books,,,,,,,,,
6497,hi . . i'd like 2 hats and 2 basketballs,,,,,,,,,
6498,what would you like,,,,,,,,,
6499,all balls for you only,,,,,,,,,
6500,just two then,,,,,,,,,
6501,i need book and two balls,,,,,,,,,
6502,then we have a catch 22,,,,,,,,,
6503,no deal,,,,,,,,,
6504,book and the hat,,,,,,,,,
6505,dont need them at all,,,,,,,,,
6506,what do you need,,,,,,,,,
6507,i cant give up the book,,,,,,,,,
6508,ok no deal then,,,,,,,,,
6509,"i'll take the basketballs and hats , you can take the book",,,,,,,,,
6510,i'll take one basketball and the hats .,,,,,,,,,
6511,i need at least one basketball .,,,,,,,,,
6512,"no deal . i get one basketball , one hat , rest is yours .",,,,,,,,,
6513,"my last offer is one basketball , one hat . no more offers . deal ?",,,,,,,,,
6514,ok no deal,,,,,,,,,
6515,"i really would like both basketballs and the books . you can have the hats . though i like those , too . i'll take the book and 2 basketballs and you can have the rest .",,,,,,,,,
6516,"no , i need both basketballs , please . i will take both basketballs and 1 hat . you can have the book and 1 hat .",,,,,,,,,
6517,"i'm sorry . i need both of them for sentimental reasons . if i take both basketballs , you can have everything else : the 2 hats and the 1 book . deal ?",,,,,,,,,
6518,"you can have 1 basketball if i get 1 basketball , 2 hats , and 1 book .",,,,,,,,,
6519,"no , unfortunately , it's not a deal . either i get 2 basketballs and you get 2 hats and 1 book or i get 1 basketball , 2 hats , and 1 book and you get 1 basketball .",,,,,,,,,
6520,"greetings ! i the great mauve power ranger come to request of you two hats and one book , so i can set off in my ventures to save the world !",,,,,,,,,
6521,i can live with that .,,,,,,,,,
6522,i'm interested in the ball and both books,,,,,,,,,
6523,thank you,,,,,,,,,
6524,i would like the basketballs and the hat,,,,,,,,,
6525,i'll take the 3 basketballs and you can have the rest,,,,,,,,,
6526,i will take 2 basketablls and the hat . you can have the basketball and both books,,,,,,,,,
6527,how about i take 2 basketballs and you take the rest,,,,,,,,,
6528,deal,,,,,,,,,
6529,you can have 1 basketball and the hat . i'll take the rest .,,,,,,,,,
6530,"no . you can have 2 basketballs and 1 book . i will take 1 basketball , 1 hat , and 1 book .",,,,,,,,,
6531,no . it seems we're not going to agree .,,,,,,,,,
6532,okay i guess that will work .,,,,,,,,,
6533,i'll take the ball and books if you want the hats,,,,,,,,,
6534,i could trade a book for a hat . . . . . . anything else puts me mathametically dead,,,,,,,,,
6535,and 1 hat,,,,,,,,,
6536,ill take the hats but i need one other item,,,,,,,,,
6537,so you take one ball and one book ?,,,,,,,,,
6538,you can have the ball and two books,,,,,,,,,
6539,i only need the hat .,,,,,,,,,
6540,i would like the books,,,,,,,,,
6541,okay i will take the books and ball and you can have the hat,,,,,,,,,
6542,give me the hat and ball,,,,,,,,,
6543,hat and 2 books,,,,,,,,,
6544,no deal then .,,,,,,,,,
6545,i need a ball and a book,,,,,,,,,
6546,i need both books and a hat then,,,,,,,,,
6547,deal,,,,,,,,,
6548,i'd like the ball and a hat please .,,,,,,,,,
6549,i have to get the ball . i can give you both books if you want . but i need that ball .,,,,,,,,,
6550,you can have two books + hat . i'll take ball + hat,,,,,,,,,
6551,i need the ball you take rest,,,,,,,,,
6552,thx,,,,,,,,,
6553,i need the hat and the ball .,,,,,,,,,
6554,deal .,,,,,,,,,
6555,the ball and one book,,,,,,,,,
6556,deal,,,,,,,,,
6557,i cannot give up the ball but you can have the rest .,,,,,,,,,
6558,"i take all balls and hats , you keep the book",,,,,,,,,
6559,no book,,,,,,,,,
6560,i don't believe it because 2 points each then we have 14 points on board,,,,,,,,,
6561,yeah no deal,,,,,,,,,
6562,yes,,,,,,,,,
6563,i would need one of each,,,,,,,,,
6564,i need one of each just to make 6 / 10,,,,,,,,,
6565,no deal then,,,,,,,,,
6566,"soon as it pops up , click on the no deal button",,,,,,,,,
6567,cool,,,,,,,,,
6568,hat and one ball please,,,,,,,,,
6569,two balls,,,,,,,,,
6570,deal,,,,,,,,,
6571,hi i'd like the hat and two balls please,,,,,,,,,
6572,i'll give you the ball and both books if i can have the hat,,,,,,,,,
6573,"yes sorry , typo there . i'll give you both books and both balls",,,,,,,,,
6574,deal .,,,,,,,,,
6575,if i can have the balls and the hats you can have the book,,,,,,,,,
6576,okay great ! thank you !,,,,,,,,,
6577,i would like to keep the basketball .,,,,,,,,,
6578,no - i would like two of them in addition to the basketball .,,,,,,,,,
6579,i would like the ball and at least one book .,,,,,,,,,
6580,i won't be able to do that .,,,,,,,,,
6581,how about giving up one of the hats in addition to the ball ?,,,,,,,,,
6582,so it's either just the ball and nothing else or all the hats and books ?,,,,,,,,,
6583,what if i give you the ball and take all the hats and books ?,,,,,,,,,
6584,i'll take the ball and give you the hats and books .,,,,,,,,,
6585,deal,,,,,,,,,
6586,and i get all the books and all the hats ?,,,,,,,,,
6587,i don't think i can do that . . . if you get the ball then i need the rest,,,,,,,,,
6588,i will give you both books if i can have the ball and the hats,,,,,,,,,
6589,then we have to go back to my original statement . . if you get the ball then i need the hats and the books,,,,,,,,,
6590,can't do it,,,,,,,,,
6591,yes those are the offers on the table,,,,,,,,,
6592,"no , if i take the ball i need either the hats or the books",,,,,,,,,
6593,"deal , the hats and books for me and the ball for you",,,,,,,,,
6594,i take hat you get the rest,,,,,,,,,
6595,fine you get the hat i get the rest,,,,,,,,,
6596,hat is the only thing that has value to me,,,,,,,,,
6597,deal,,,,,,,,,
6598,i would like the hat . you can have the rest,,,,,,,,,
6599,that is ok as long as i get the balls .,,,,,,,,,
6600,agreed,,,,,,,,,
6601,i'd like the book and hat,,,,,,,,,
6602,sounds good,,,,,,,,,
6603,i'd like the ball,,,,,,,,,
6604,"okay , that's fine .",,,,,,,,,
6605,"i'm sorry , that won't work . i'd like the hat and ball . you can have all the books though .",,,,,,,,,
6606,what kind of deal can we make ? i really want the hat,,,,,,,,,
6607,could i have the ball and two books ?,,,,,,,,,
6608,i need the book and the hat,,,,,,,,,
6609,i need the hat and 3 balls then,,,,,,,,,
6610,you can have the hat but i need the book,,,,,,,,,
6611,ok i will take the book and 1 ball ?,,,,,,,,,
6612,i would like the books and hats,,,,,,,,,
6613,no deal then . i need them too,,,,,,,,,
6614,agree . no deal,,,,,,,,,
6615,yep,,,,,,,,,
6616,no deal,,,,,,,,,
6617,"i'll take the hats , you can have everything else",,,,,,,,,
6618,i need both hats,,,,,,,,,
6619,"ok , no deal",,,,,,,,,
6620,soon as the no deal button comes up . . . . .,,,,,,,,,
6621,yep,,,,,,,,,
6622,i need the book and one ball to make a deal,,,,,,,,,
6623,yes,,,,,,,,,
6624,i would like the book and the hats .,,,,,,,,,
6625,is that your final offer ?,,,,,,,,,
6626,deal .,,,,,,,,,
6627,"i would like a book , a hat , and a ball .",,,,,,,,,
6628,ok deal .,,,,,,,,,
6629,i would like all the books and you can have the hat and ball,,,,,,,,,
6630,deal !,,,,,,,,,
6631,gimme book,,,,,,,,,
6632,get it,,,,,,,,,
6633,book and 1 ball,,,,,,,,,
6634,okay,,,,,,,,,
6635,i want the book and two balls .,,,,,,,,,
6636,deal .,,,,,,,,,
6637,hi . i'll take the book and balls and you can have the hat,,,,,,,,,
6638,deal,,,,,,,,,
6639,how about if i get 2 of the hats and the book ?,,,,,,,,,
6640,how about if i get the book and one hat ?,,,,,,,,,
6641,then i'll settle for the 3 hats,,,,,,,,,
6642,take all the hats i get eveyrthing else\,,,,,,,,,
6643,book cant but i can give you the 2 hats and a ball,,,,,,,,,
6644,no deal on this one,,,,,,,,,
6645,you can have 3 hats,,,,,,,,,
6646,too bad cant give you that,,,,,,,,,
6647,no . thats too much,,,,,,,,,
6648,cool story bro,,,,,,,,,
6649,i stand with you aint getting that .,,,,,,,,,
6650,good,,,,,,,,,
6651,don't want 3 hats ; want book and ball .,,,,,,,,,
6652,how about book and 4 hats ?,,,,,,,,,
6653,no deal can be reached,,,,,,,,,
6654,i stand pat with book and ball,,,,,,,,,
6655,we are finished .,,,,,,,,,
6656,"okay , i'll take 2 balls and 2 hats and give you 1 book and 1 ball",,,,,,,,,
6657,i would like a book and one ball,,,,,,,,,
6658,deal,,,,,,,,,
6659,no . i want the hat and both balls .,,,,,,,,,
6660,"i'll take the hat , one ball , and one book .",,,,,,,,,
6661,"i want the hat , and will not give it up .",,,,,,,,,
6662,as a last resort . i'll give you everything if i can have the hat .,,,,,,,,,
6663,unfortunately i don't think we're going to be able to make a deal then .,,,,,,,,,
6664,would you accept one basketball ?,,,,,,,,,
6665,how about i give you both balls and one book,,,,,,,,,
6666,i can offer you everything if you give me the hat,,,,,,,,,
6667,i can not make an agreement with you unless i get the hat,,,,,,,,,
6668,i will not accept anything other than one hat,,,,,,,,,
6669,i need the book and two balls,,,,,,,,,
6670,"same here . . . . we'll have to ""no deal it"" then",,,,,,,,,
6671,o,,,,,,,,,
6672,ok,,,,,,,,,
6673,soon as the no deal button comes up,,,,,,,,,
6674,you take all balls and i keep the rest,,,,,,,,,
6675,yeah i need book,,,,,,,,,
6676,ok go,,,,,,,,,
6677,no,,,,,,,,,
6678,ok,,,,,,,,,
6679,i'm going to need the book and two balls,,,,,,,,,
6680,i will take the hat and the book . you can have all of the balls .,,,,,,,,,
6681,alright deal .,,,,,,,,,
6682,that works for me ! thank you !,,,,,,,,,
6683,"i will take both balls , you can have the rest ?",,,,,,,,,
6684,ok,,,,,,,,,
6685,give the balls and hats to me,,,,,,,,,
6686,what items do you have to offer ?,,,,,,,,,
6687,"i really do not need balls , . i would like to actually offer you 2 balls .",,,,,,,,,
6688,"i will give you 4 balls , for 2 hats .",,,,,,,,,
6689,ok 4 balls to you and hate to me,,,,,,,,,
6690,works for me,,,,,,,,,
6691,i can offer you 2 balls .,,,,,,,,,
6692,"i'd like all balls then , and a hat ?",,,,,,,,,
6693,"i only have one hat . i can give you one hat , then .",,,,,,,,,
6694,and book to me .,,,,,,,,,
6695,you get all the books,,,,,,,,,
6696,deal,,,,,,,,,
6697,ok deal i will take all 3 books and you can have the rest,,,,,,,,,
6698,deal .,,,,,,,,,
6699,i need the ball and 2 hats,,,,,,,,,
6700,okay so i get the ball and 2 hats correct ?,,,,,,,,,
6701,i want the ball and a hat . i'm a cowboy who has big dreams of entering the nba .,,,,,,,,,
6702,yes you get the book and 2 hats . dallas here i come .,,,,,,,,,
6703,"i get the book and 2 hats then , that works for me",,,,,,,,,
6704,"hello , which items would you like ?",,,,,,,,,
6705,"same here , can you be more specific please ?",,,,,,,,,
6706,you can only have the ball .,,,,,,,,,
6707,i will take two book and two hats as well .,,,,,,,,,
6708,multiply that by two and you've got yourself a deal .,,,,,,,,,
6709,all of them .,,,,,,,,,
6710,"no , i can't . i want all of them !",,,,,,,,,
6711,"i'll give you one book . . . . . nah , two books .",,,,,,,,,
6712,nah bro . i see you in these streets . one book and ball for you .,,,,,,,,,
6713,hi . i would like the basketball . you can have the hat,,,,,,,,,
6714,how about we split the books,,,,,,,,,
6715,hello,,,,,,,,,
6716,you only want the basketball and i can have all the rest ?,,,,,,,,,
6717,deal,,,,,,,,,
6718,i would like the basketball .,,,,,,,,,
6719,you can have the hat but i want 2 of the books .,,,,,,,,,
6720,i'll give you the basketball if i can have the hat and the books .,,,,,,,,,
6721,okay .,,,,,,,,,
6722,give me books and hats,,,,,,,,,
6723,ok,,,,,,,,,
6724,all th books and 1 hat for you,,,,,,,,,
6725,i need both books and 1 ball,,,,,,,,,
6726,okay,,,,,,,,,
6727,"how about you leave me the balls , you keep everything else ?",,,,,,,,,
6728,deal if i can have 2 balls and one book,,,,,,,,,
6729,i'd like the two hats,,,,,,,,,
6730,"hi , i would like the ball and book and you can have the hats",,,,,,,,,
6731,deal,,,,,,,,,
6732,you can have both balls we split the hats and i get the book,,,,,,,,,
6733,i want both hats and one ball,,,,,,,,,
6734,agreed,,,,,,,,,
6735,i would like both balls and both hats .,,,,,,,,,
6736,deal .,,,,,,,,,
6737,gimme a hat to go with my book,,,,,,,,,
6738,i would like the hat the book and one ball,,,,,,,,,
6739,what if i give you all the balls and hat,,,,,,,,,
6740,no deal then,,,,,,,,,
6741,hat is worth everything for me,,,,,,,,,
6742,"i need the book , along with 1 ball",,,,,,,,,
6743,worth nothing to me,,,,,,,,,
6744,we talk until button,,,,,,,,,
6745,"hat to you , everything else to me",,,,,,,,,
6746,i'd like the two balls and two hats . . . are books useful to you ?,,,,,,,,,
6747,"i suppose that's right down the the middle for us . deal , pick which you want and let me know .",,,,,,,,,
6748,how about i get the 2 books and either 1 ball or 1 hat ?,,,,,,,,,
6749,"okay , i'll take 2 books and 1 hat .",,,,,,,,,
6750,can i have a book and the ball ?,,,,,,,,,
6751,thanks,,,,,,,,,
6752,that is fair enough for me,,,,,,,,,
6753,"hello , can i have the hats and a book ? you can have the balls .",,,,,,,,,
6754,"so 1 book and 3 balls for you , 1 book 2 hats for me ?",,,,,,,,,
6755,thank you,,,,,,,,,
6756,one book,,,,,,,,,
6757,deal,,,,,,,,,
6758,i need the balls . you can have the rest .,,,,,,,,,
6759,i'd like the book and balls you keep all 3 hats .,,,,,,,,,
6760,ok,,,,,,,,,
6761,how about you get all hats,,,,,,,,,
6762,"nope ,",,,,,,,,,
6763,ok good job,,,,,,,,,
6764,"the ball and two hats for me , book and one hat for you ?",,,,,,,,,
6765,hmmm . . . can i have the book too ?,,,,,,,,,
6766,"ok , i can live with all hats",,,,,,,,,
6767,deal,,,,,,,,,
6768,"i need to books , the rest to you",,,,,,,,,
6769,ok deal,,,,,,,,,
6770,"okay . you can have two hats , one ball , and one book . that would be an equal points split for us .",,,,,,,,,
6771,i would like the two hats,,,,,,,,,
6772,"how about you get the ball and 1 book , i'll take the hats and 1 book ?",,,,,,,,,
6773,i would like the books and balls,,,,,,,,,
6774,okay,,,,,,,,,
6775,"no ball , i can give you two hats",,,,,,,,,
6776,so i get the ball only ?,,,,,,,,,
6777,1 ball and 1 hat for me !,,,,,,,,,
6778,"how about you take the and book , i'll keep the hats for myself .",,,,,,,,,
6779,the ball you book .,,,,,,,,,
6780,i want the hat and books,,,,,,,,,
6781,"i can't give up the books , but you can have all the rest",,,,,,,,,
6782,"i can do that , deal",,,,,,,,,
6783,i'd like the ball and the hat .,,,,,,,,,
6784,"i need the book , the rest to you",,,,,,,,,
6785,okay deal .,,,,,,,,,
6786,i want 1 book and 1 hat,,,,,,,,,
6787,okay lets do this,,,,,,,,,
6788,okay you can have the book if i can have everything else,,,,,,,,,
6789,okay thank you !,,,,,,,,,
6790,i just want the book,,,,,,,,,
6791,deal,,,,,,,,,
6792,thx,,,,,,,,,
6793,how about i take the books and the balls ?,,,,,,,,,
6794,i take the threee books and the hat ?,,,,,,,,,
6795,no deal,,,,,,,,,
6796,no deal,,,,,,,,,
6797,no deal,,,,,,,,,
6798,what w,,,,,,,,,
6799,jsut balls,,,,,,,,,
6800,you can have the balls and one bool,,,,,,,,,
6801,no deal,,,,,,,,,
6802,no deal,,,,,,,,,
6803,how about i take 1 book and wo hats and you take the rest ?,,,,,,,,,
6804,how about i take 3 books and you take the rest ?,,,,,,,,,
6805,it's actually the same,,,,,,,,,
6806,offer me a better deal than the 1 st one,,,,,,,,,
6807,so we agree on you take two books and the ball and i take two hats and one book,,,,,,,,,
6808,counter,,,,,,,,,
6809,ill take the books and the ball,,,,,,,,,
6810,that doesnt give me enough points,,,,,,,,,
6811,thats even worse,,,,,,,,,
6812,for you maybe,,,,,,,,,
6813,i cant,,,,,,,,,
6814,no,,,,,,,,,
6815,no deal,,,,,,,,,
6816,i need ball and books,,,,,,,,,
6817,ok,,,,,,,,,
6818,"i need the ball also , you can have all the books and hats if i get one ball",,,,,,,,,
6819,i'd like all of the balls,,,,,,,,,
6820,deal,,,,,,,,,
6821,if i can have the books and hat that is a deal,,,,,,,,,
6822,i like the balls but i need one book at least,,,,,,,,,
6823,ok,,,,,,,,,
6824,hi i would like the books and hat and you can have the balls,,,,,,,,,
6825,ok . i can offer the balls and 1 book to you,,,,,,,,,
6826,"i'd like the hat and the book , rest to you",,,,,,,,,
6827,"i'll take the hat , you can have the rest",,,,,,,,,
6828,"i'm willing to give up the hat , but i need to keep the book . we can negotiate on the balls .",,,,,,,,,
6829,that works for me . deal .,,,,,,,,,
6830,hey there ! how's your day ? !,,,,,,,,,
6831,"no sorry . you can have the ball and two books , i'll take the hat and 1 book .",,,,,,,,,
6832,"great , can i have the ball and hat and you can have the three books ?",,,,,,,,,
6833,we can agree to that,,,,,,,,,
6834,"i can give you the ball , but i need at least 1 book",,,,,,,,,
6835,"i'm not working with a lot , i need 1 book and 2 hats .",,,,,,,,,
6836,"sorry , looks like we're going to have set our numbers to 0 and wait for the no deal button",,,,,,,,,
6837,no deal was agreed and it should show up as long as you don't leave this page,,,,,,,,,
6838,i'll just take the 2 hats,,,,,,,,,
6839,i would like the ball and 2 books,,,,,,,,,
6840,"i would like the ball , 1 hat , 1 book then .",,,,,,,,,
6841,"me too . i'll either need the ball and 2 books or the ball , 1 hat , 1 book .",,,,,,,,,
6842,agreed with the no deal .,,,,,,,,,
6843,"yes , it should hopefully show up soon .",,,,,,,,,
6844,ok . deal .,,,,,,,,,
6845,i can offer you the book only,,,,,,,,,
6846,i really would rather not . would just a book only be fine ?,,,,,,,,,
6847,okay i can give you one book and one hat,,,,,,,,,
6848,you can't do a book and the hat ?,,,,,,,,,
6849,a book and a hat seems pretty fair . two items to four,,,,,,,,,
6850,hi,,,,,,,,,
6851,ok,,,,,,,,,
6852,hey ! how's it going ? !,,,,,,,,,
6853,"how about you take the ball and two books , i'll take the hat and one book ?",,,,,,,,,
6854,i want the hats and either the book or ball,,,,,,,,,
6855,how about i give you one hat and a ball,,,,,,,,,
6856,alright deal,,,,,,,,,
6857,"i need 2 hats , the rest to you",,,,,,,,,
6858,"that won't work , i need two hats , sorry",,,,,,,,,
6859,give me the hats and books,,,,,,,,,
6860,"okay , 2 hats 2 books for you , 3 balls for me .",,,,,,,,,
6861,i would like the books .,,,,,,,,,
6862,how about i get two books and the hat and you take the rest ?,,,,,,,,,
6863,two books and the ball for me,,,,,,,,,
6864,ok,,,,,,,,,
6865,can i have books please .,,,,,,,,,
6866,deal .,,,,,,,,,
6867,i don't need the ball . i'd like the book and a hat please .,,,,,,,,,
6868,i need at least one hat . i can't make a deal unless i get one hat and the book .,,,,,,,,,
6869,no deal then unfortately,,,,,,,,,
6870,"yes , no deal",,,,,,,,,
6871,"yes , can't do it . sorry , no deal .",,,,,,,,,
6872,"i would like both hats , you can have the book and ball",,,,,,,,,
6873,"i can not do that deal , i need both hats",,,,,,,,,
6874,i can not do the deal unless i get both hats and nothing else,,,,,,,,,
6875,that is unfortunate we could not work out an agreement,,,,,,,,,
6876,you are sure you will not give me the hats ?,,,,,,,,,
6877,the book and one ball,,,,,,,,,
6878,bet,,,,,,,,,
6879,i want ball and one book,,,,,,,,,
6880,i need both books and one hat,,,,,,,,,
6881,yes,,,,,,,,,
6882,"i need the ball also , and something else",,,,,,,,,
6883,so who gets ball ? and what else do you want ?,,,,,,,,,
6884,i need the ball and both hats,,,,,,,,,
6885,ok i can take the ball and one hat,,,,,,,,,
6886,hello,,,,,,,,,
6887,i want 1 of each,,,,,,,,,
6888,"no deal , ball is my anchor ; i could do ball & 2 hats",,,,,,,,,
6889,"i have to be above 5 , so i guess there is no deal .",,,,,,,,,
6890,no deal is it .,,,,,,,,,
6891,not a chance .,,,,,,,,,
6892,you can have everything if you give me one ball,,,,,,,,,
6893,i need one ball or we cant make a deal,,,,,,,,,
6894,no deal,,,,,,,,,
6895,are you sure you cant come off the ball ?,,,,,,,,,
6896,everything else is worthless to me the ball is my only valuable item,,,,,,,,,
6897,okay you can have the ball if i can have everything else,,,,,,,,,
6898,i would only like the ball,,,,,,,,,
6899,i'll take the book . you can have the rest .,,,,,,,,,
6900,i'll let you have the book and ball . but i'll need all the hats .,,,,,,,,,
6901,ok .,,,,,,,,,
6902,i really want the book ball and 1 hat,,,,,,,,,
6903,can't i have 1 hat with the book & ball ?,,,,,,,,,
6904,i need the hat and the ball you can have the books,,,,,,,,,
6905,"i need the hat , you take the ball and the books",,,,,,,,,
6906,"you can either the hat or the ball , i'll take everything else .",,,,,,,,,
6907,deal,,,,,,,,,
6908,i'll take the rest ? you got yourself a deal .,,,,,,,,,
6909,i would like all the books if that is fine .,,,,,,,,,
6910,deal .,,,,,,,,,
6911,sorry ill give you teh books and you get a balls and a hats,,,,,,,,,
6912,gimme the balls and hats,,,,,,,,,
6913,deal,,,,,,,,,
6914,hi . ill take the books and you can have the rest,,,,,,,,,
6915,deal .,,,,,,,,,
6916,i'll let you have all 4 balls if i can have the hat and book,,,,,,,,,
6917,"um , would like the hat or book more ?",,,,,,,,,
6918,"ok , how about i get 2 balls and the hat , and you get the book and two balls",,,,,,,,,
6919,"that does not work for me , i was going to offer you the same deal",,,,,,,,,
6920,they are the same,,,,,,,,,
6921,i'd really like 3 of those books .,,,,,,,,,
6922,that'll work .,,,,,,,,,
6923,"can't do that . i want 2 balls , hat and 1 book",,,,,,,,,
6924,good,,,,,,,,,
6925,i'd like ball . you can have rest .,,,,,,,,,
6926,that works for me,,,,,,,,,
6927,i need the book and the balls . you can have the hats .,,,,,,,,,
6928,no i need the book and at least 1 ball .,,,,,,,,,
6929,if i give up the ball i'd need everything else .,,,,,,,,,
6930,books and two hats for you and that's a deal .,,,,,,,,,
6931,ball and books for me,,,,,,,,,
6932,"ok , books and three hats for me",,,,,,,,,
6933,if i can have the books you can ahve everything else,,,,,,,,,
6934,if i can have the books and the hats you can have the balls,,,,,,,,,
6935,okay that's fine .,,,,,,,,,
6936,i would like the hat and you can have the rest .,,,,,,,,,
6937,i can't give up the hat .,,,,,,,,,
6938,no deal then .,,,,,,,,,
6939,my first offer was to give you everything except the hat .,,,,,,,,,
6940,"ok then , no deal .",,,,,,,,,
6941,"sorry , i can't give up the hat . agree to no deal ?",,,,,,,,,
6942,i need the hat,,,,,,,,,
6943,same i cant give it up either,,,,,,,,,
6944,but maybe you just give me everything ?,,,,,,,,,
6945,still wont work for me,,,,,,,,,
6946,but maybe you give me the hat ?,,,,,,,,,
6947,i would like both books,,,,,,,,,
6948,ok,,,,,,,,,
6949,both books for you rest for me ?,,,,,,,,,
6950,deal,,,,,,,,,
6951,i need the hat and the balls,,,,,,,,,
6952,i really need both balls and the hat to make it worthwhile,,,,,,,,,
6953,then no deal,,,,,,,,,
6954,nd,,,,,,,,,
6955,no deal,,,,,,,,,
6956,"no , and we have to have a certain number of exchanges for the ""no deal"" button to pop up , so you just wasted a lot of my time by not responding",,,,,,,,,
6957,at least give me one ball and the books then,,,,,,,,,
6958,if i give you both balls i will get a low deal,,,,,,,,,
6959,no deal,,,,,,,,,
6960,no deal ?,,,,,,,,,
6961,can you at least compromise a little ?,,,,,,,,,
6962,i'd love a book and a ball .,,,,,,,,,
6963,that's fine with me .,,,,,,,,,
6964,how about i take the hats and all balls and give you the book ?,,,,,,,,,
6965,ok i get the hats and balls you get the book .,,,,,,,,,
6966,hi,,,,,,,,,
6967,you can get all balls,,,,,,,,,
6968,onehat,,,,,,,,,
6969,one hat,,,,,,,,,
6970,i want the hats and book,,,,,,,,,
6971,i want the hats though,,,,,,,,,
6972,both hats and you take everything else,,,,,,,,,
6973,how about you tell me what you want and let's see what we can do,,,,,,,,,
6974,i can't give you the book and in addition i would like one hat,,,,,,,,,
6975,"you won't get rejected unless you have been making consistently crappy deals , but i will make that deal for you . i will take the book and give you the hats and balls",,,,,,,,,
6976,i'd like the book and the balls .,,,,,,,,,
6977,that would leave me with 3 . i don't want to get rejected . can you let me have the rest if you get the book ?,,,,,,,,,
6978,thanks,,,,,,,,,
6979,what would you like,,,,,,,,,
6980,no ball,,,,,,,,,
6981,ok,,,,,,,,,
6982,i will give you all of the hats and i will take just the book and ball,,,,,,,,,
6983,that's fine .,,,,,,,,,
6984,i would like the hat and ball,,,,,,,,,
6985,i'm fine with just the ball,,,,,,,,,
6986,yup,,,,,,,,,
6987,sorry cant give you the hat,,,,,,,,,
6988,okay you can have the ball ill take everything else,,,,,,,,,
6989,deal,,,,,,,,,
6990,"no , i need the book and 2 balls",,,,,,,,,
6991,yes that will be good,,,,,,,,,
6992,if i can have the book and the hat you can have all of the balls,,,,,,,,,
6993,okay ill give you the book and two balls but i would like the hat and two balls,,,,,,,,,
6994,okay great ! thank you !,,,,,,,,,
6995,i'd like the book and hats please,,,,,,,,,
6996,"sorry i need the book , i' m not working with a lot .",,,,,,,,,
6997,"okay , i'll take 1 book and 1 hat",,,,,,,,,
6998,i'd like only the book,,,,,,,,,
6999,then i'd take both balls and a hat,,,,,,,,,
7000,deal,,,,,,,,,
7001,"how about i keep the book and the balls , and you can have the hats ?",,,,,,,,,
7002,i need the book and a hat,,,,,,,,,
7003,"book and ball for me , hats for you then",,,,,,,,,
7004,"no , i want 1 of each",,,,,,,,,
7005,yes,,,,,,,,,
7006,the hat is a requirement for me plus ball,,,,,,,,,
7007,"without the hat i at 3 , so we need the no deal button",,,,,,,,,
7008,agreed,,,,,,,,,
7009,can i have the hat and two books ?,,,,,,,,,
7010,so you want me to have three books ?,,,,,,,,,
7011,aint gonna fly i need the hat and something else .,,,,,,,,,
7012,"welp guess we are not going to come to a deal let me know if you would like to keep negotiating , i have to have the hat . .",,,,,,,,,
7013,"would seem so , no deal .",,,,,,,,,
7014,if i can have the balls and the book you can have the hats,,,,,,,,,
7015,i need the book as well . would you be willing to take both hats and a ball ?,,,,,,,,,
