index,sentences,greeting,misc:books,misc:hats,misc:balls,need:books,need:hats,need:balls,offer:books,offer:hats,offer:balls,inquiry,agreement,thanks,numeric,same,annotated,cluster
3651,okay,False,,,,,,,,,,,Full,False,,False,True,4
3652,"hello , may i have the hat and balls ? you can have all the books .",True,,,,,,,,,,,,False,,False,False,37
3653,"alright , sounds good . thank you !",False,,,,,,,,,,,Full,False,,False,True,16
3654,throw in a ball and its a deal,False,,,,,,,,,,,,False,,False,False,19
3655,"ouch , no deal",False,,,,,,,,,,,No Deal,False,,False,True,1
3656,"i get hat , you take rest",False,,,,,,,,,,,,False,,False,False,19
3657,ill throw in a free car wash coupon ?,False,,,,,,,,,,,,False,,False,False,14
3658,take your books and leave me the ball and hats i'll give you one hat,False,,,,,,,,,,,,False,,False,False,29
3659,if there isn't a ball in my deal then there is no deal .,False,,,,,,,,,,,,False,,False,False,19
3660,i'll take the ball with either a hat or book,False,,,,,,,,,,,,False,,False,False,35
3661,deal,False,,,,,,,,,,,Full,False,,False,True,0
3662,i'd like the books and ball,False,,,,,,,,,,,,False,,False,False,21
3663,can't do that . i'll take ball and 2 books . rest is yours . deal ?,False,,,,,,,,,,,,False,,False,False,25
3664,"take ball , i take the rest",False,,,,,,,,,,,,False,,False,False,19
3665,"sure , have the ball and a hat",False,,,,,,,,,,,,False,,False,False,15
3666,i can't give up the hat . how about i take the hat and any other item you choose .,False,,,,,,,,,,,,False,,False,False,19
3667,i'd like the hat and 2 books,False,,,,,,,,,,,,False,,False,False,20
3668,"i'd take the hat , a book and a ball",False,,,,,,,,,,,,False,,False,False,35
3669,i'd take the hat and the books,False,,,,,,,,,,,,False,,False,False,18
3670,what would you like ?,False,,,,,,,,,,True,,False,,False,True,-1
3671,how about you take the hat and a book,False,,,,,,,,,,,,False,,False,False,18
3672,i cannot give up a ball,False,,,,,,,,,,,,False,,False,False,-1
3673,deal,False,,,,,,,,,,,Full,False,,False,True,0
3674,"hello , i would like the book and 1 of the remaining items , you can have the rest",True,,,,,,,,,,,,False,,False,False,27
3675,"yeah , that works for me .",False,,,,,,,,,,,,False,,False,False,16
3676,how about you get the book and one hat and i get the rest ?,False,,,,,,,,,,,,False,,False,False,27
3677,ok,False,,,,,,,,,,,Full,False,,False,True,5
3678,i like the hat . how about two books instead ?,False,,,,,,,,,,,,False,,False,False,20
3679,okay you can have the hat and i will keep everything else .,False,,,,,,,,,,,,False,,False,False,19
3680,i just want the hat please,False,,,,,,,,,,,,False,,False,False,19
3681,no i just want the hat are no deal,False,,,,,,,,,,,,False,,False,False,19
3682,deal,False,,,,,,,,,,,Full,False,,False,True,0
3683,i can give you a ball,False,,,,,,,,,,,,False,,False,False,19
3684,deal,False,,,,,,,,,,,Full,False,,False,True,0
3685,i can do both balls and you can have the rest .,False,,,,,,,,,,,,False,,False,False,19
3686,one ball and one hat for you,False,,,,,,,,,,,,False,,False,False,19
3687,two hats and one ball for you,False,,,,,,,,,,,,False,,False,False,19
3688,i want the balls and one hat,False,,,,,,,,,,,,False,,False,False,19
3689,no two balls and one hat,False,,,,,,,,,,,,False,,False,False,19
3690,deal,False,,,,,,,,,,,Full,False,,False,True,0
3691,"i need the hat , you can have all the books and ball",False,,,,,,,,,,,,False,,False,False,37
3692,great,False,,,,,,,,,,,Full,False,,False,True,-1
3693,deal,False,,,,,,,,,,,Full,False,,False,True,0
3694,i don't want the hats . how about i get the ball and a book and you can keep a book and the hats ?,False,,,,,,,,,,,,False,,False,False,34
3695,i'll take just the ball then,False,,,,,,,,,,,,False,,False,False,19
3696,hey there ! can i have the ball and books ? you keep the hat collection ?,True,,,,,,,,,,,,False,,False,False,-1
3697,"how about i get ball and hats , you get books ? or i get books and hats , you get ball - whichever is of more value to you ?",False,,,,,,,,,,,,False,,False,False,33
3698,sounds good . deal,False,,,,,,,,,,,,False,,False,False,16
3699,i would like the basketballs,False,,,,,,,,,,,,False,,False,False,14
3700,you can have 1 if i get the book . you can have the hats,False,,,,,,,,,,,,False,,False,False,27
3701,that works for me,False,,,,,,,,,,,,False,,False,False,16
3702,sorry i am worng,False,,,,,,,,,,,,False,,False,False,16
3703,hmm i want one of them .,False,,,,,,,,,,,,False,,False,False,-1
3704,i can take 2 balls and 2 hats .,False,,,,,,,,,,,,False,,False,False,19
3705,great !,False,,,,,,,,,,,Full,False,,False,True,-1
3706,i can give you 1 book and 2 hat and take 2 balls from you,False,,,,,,,,,,,,False,,False,False,25
3707,i'm getting 2 balls and you're getting 1 book 2 hat,False,,,,,,,,,,,,False,,False,False,25
3708,i can give you the balls,False,,,,,,,,,,,,False,,False,False,19
3709,deal,False,,,,,,,,,,,Full,False,,False,True,0
3710,i'll take the 2 hats and 2 balls .,False,,,,,,,,,,,,False,,False,False,19
3711,i need at least one hat .,False,,,,,,,,,,,,False,,False,False,19
3712,one hat and 2 balls,False,,,,,,,,,,,,False,,False,False,19
3713,i would like 2 hats and the book,False,,,,,,,,,,,,False,,False,False,20
3714,"ok how about you get 1 hat , and i will take the rest ?",False,,,,,,,,,,,,False,,False,False,19
3715,1 hat and 1 ball for you ?,False,,,,,,,,1,1,,,False,,False,True,19
3716,i can give all three hats if i can have the ball and book,False,,,,,,,,,,,,False,,False,False,7
3717,"ok , the ball for you and the rest for me ?",False,,,,,,,,,,,,False,,False,False,19
3718,deal,False,,,,,,,,,,,Full,False,,False,True,0
3719,give me ball and one hat,False,,,,,,,,,,,,False,,False,False,19
3720,"i need ball , or no deal can be made",False,,,,,,,,,,,,False,,False,False,19
3721,yes,False,,,,,,,,,,,Full,False,,False,True,9
3722,"i have to have 1 ball , 2 hats and the book",False,,,,,,,,,,,,False,,False,False,25
3723,"i have to have a ball also , let's just split them",False,,,,,,,,,,,,False,,False,False,19
3724,"that won't work for me , we each get 1 ball , i take 2 hats you take a hat and a book",False,,,,,,,,,,,,False,,False,False,34
3725,if i can have the balls you can have everything else,False,,,,,,,,,,,,False,,False,False,19
3726,i can not part with either ball . can you make another deal ?,False,,,,,,,,,,,,False,,False,False,16
3727,the only way i can split them is if i can get everything else,False,,,,,,,,,,,,False,,False,False,16
3728,okay that is fine .,False,,,,,,,,,,,,False,,False,False,16
3729,all yours .,False,,,,,,,,,,,,False,all,False,True,16
3730,"if i can have the book , the rest is yours",False,,,,,,,,,,,,False,,False,False,32
3731,i would like one of each object .,False,,,,,,,,,,,,False,,False,False,16
3732,so the book and one hat ?,False,,,,,,,,,,,,False,,False,False,27
3733,no balls,False,,,,,,,,,,,,False,,False,False,-1
3734,yes i think thats fair,False,,,,,,,,,,,,False,,False,False,16
3735,what is of most value to you - the book or both hats ?,False,,,,,,,,,,,,False,,False,False,22
3736,ok . would you be willing to take the book and i get two hats and two balls ?,False,,,,,,,,,,,,False,,False,False,25
3737,i'd like to take the hats and the book,False,,,,,,,,,,,,False,,False,False,-1
3738,i'd rather have the book,False,,,,,,,,,,,,False,,False,False,30
3739,you can take the two balls . i would prefer to keep the hat and books though .,False,,,,,,,,,,,,False,,False,False,25
3740,"i'll give you both my balls , but i keep the hat ; )",False,,,,,,,,,,,,False,,False,False,-1
3741,the balls should be satisfactory . unless you'd prefer only one ball ?,False,,,,,,,,,,,,False,,False,False,19
3742,you can have one ball and one hat .,False,,,,,,,,,,,,False,,False,False,19
3743,newp,False,,,,,,,,,,,,False,,False,False,16
3744,"newp , it sure does not .",False,,,,,,,,,,,,False,,False,False,16
3745,nnnnnneeeeeeeeewwwwwwwwpppppppppp,False,,,,,,,,,,,,False,,False,False,16
3746,fine . . . . . . . baby,False,,,,,,,,,,,,False,,False,False,16
3747,can i have the balls and hat ?,False,,,,,,,,,,,,False,,False,False,15
3748,"please , both balls and the hat .",False,,,,,,,,,,,,False,,False,False,15
3749,i need them all honey,False,,,,,,,,,,,,False,,False,False,16
3750,don't you hardball me . i seriously need both balls and the hat .,False,,,,,,,,,,,,False,,False,False,19
3751,two balls and one hat please .,False,,,,,,,,,,,,False,,False,False,19
3752,"i am not familiar with that term , does that mean you will give me the balls and the hat ?",False,,,,,,,,,,,,False,,False,False,19
3753,okay can i have everything ?,False,,,,,,,,,,,,False,,False,False,16
3754,stop wasting my time . i want the balls and the hat .,False,,,,,,,,,,,,False,,False,False,19
3755,< 3,False,,,,,,,,,,,,True,,False,True,7
3756,me too . how about we split the hats and i'll take the books ? you can have the ball .,False,,,,,,,,,,,,False,,False,False,-1
3757,i'll take one hat and two books . can i have the ball ?,False,,,,,,,,,,,,False,,False,False,25
3758,"hmmm . . . . how about we split the hats , i take one book and the ball ? you can have a hat and two books ? would that work ?",False,,,,,,,,,,,,False,,False,False,25
3759,great ! good to get a deal !,False,,,,,,,,,,,,False,,False,False,16
3760,i have a preference for the hats,False,,,,,,,,,,,,False,,False,False,19
3761,how about if you only take two of the books ?,False,,,,,,,,,,,,False,,False,False,20
3762,that's the same for me as you having all the books sans ball,False,,,,,,,,,,,,False,,False,False,-1
3763,that works . thank you,False,,,,,,,,,,,,False,,False,False,16
3764,"i'm a bookloving nerd , and i'd like the book . you can have everything else .",False,,,,,,,,,,,,False,,False,False,-1
3765,ok,False,,,,,,,,,,,Full,False,,False,True,5
3766,i would like the hat,False,,,,,,,,,,,,False,,False,False,19
3767,i would also like 1 ball . you can have the rest,False,,,,,,,,,,,,False,,False,False,19
3768,how about the hat and the book . i need at least 2 items,False,,,,,,,,,,,,False,,False,False,20
3769,deal,False,,,,,,,,,,,Full,False,,False,True,0
3770,works for me .,False,,,,,,,,,,,,False,,False,False,16
3771,nah,False,,,,,,,,,,,No Deal,False,,False,True,2
3772,fine .,False,,,,,,,,,,,,False,,False,False,-1
3773,hat is also the only thing of value ; the only way i can give up the hat is if i can take everything else . i'm also open to the same offer reversed (you take everything and take the hat),False,,,,,,,,,,,,False,,False,False,19
3774,"its not the best , but it seems fair enough , deal",False,,,,,,,,,,,,False,,False,False,16
3775,if i can have the hat and three balls you can have the book and one ball,False,,,,,,,,,,,,False,,False,False,7
3776,i will take the hat and you can have everything else . if that works for you,False,,,,,,,,,,,,False,,False,False,19
3777,okay thank you .,False,,,,,,,,,,,,False,,False,False,16
3778,i covet the ball and a book and can cede the rest,False,,,,,,,,,,,,False,,False,False,-1
3779,the ball is all that matters to me . . .,False,,,,,,,,,,,,False,,False,False,19
3780,looks doubtful unfortunately,False,,,,,,,,,,,,False,,False,False,16
3781,no deal,False,,,,,,,,,,,No Deal,False,,False,True,1
3782,no deal,False,,,,,,,,,,,No Deal,False,,False,True,1
3783,i need the ball and one hat you can have the books and one hat,False,,,,,,,,,,,,False,,False,False,29
3784,"same for me . i do not think we will be able to make a deal . ,",False,,,,,,,,,,,,False,,False,False,16
3785,no deal .,False,,,,,,,,,,,No Deal,False,,False,True,10
3786,no deal .,False,,,,,,,,,,,No Deal,False,,False,True,10
3787,no deal,False,,,,,,,,,,,No Deal,False,,False,True,1
3788,"hi , i'll take the book and hat and you can have the balls",True,,,,,,,,,,,,False,,False,False,35
3789,im sorry i need the book . how about you get the hat and the balls ?,False,,,,,,,,,,,,False,,False,False,36
3790,"no , im sorry i cant .",False,,,,,,,,,,,,False,,False,False,16
3791,"ok , no deal .",False,,,,,,,,,,,,False,,False,False,16
3792,nope,False,,,,,,,,,,,No Deal,False,,False,True,-1
3793,i can't accept that deal . if i can have the book and one ball you can have the hat and two balls,False,,,,,,,,,,,,False,,False,False,34
3794,i need the book as well . . . are you able to make a deal without it ?,False,,,,,,,,,,,,False,,False,False,-1
3795,okay neither can i . i'm sorry . no deal .,False,,,,,,,,,,,,False,,False,False,16
3796,no deal .,False,,,,,,,,,,,No Deal,False,,False,True,10
3797,no deal .,False,,,,,,,,,,,No Deal,False,,False,True,10
3798,i would like the hat and books please .,False,,,,,,,,,,,,False,,False,False,22
3799,deal ! thank you .,False,,,,,,,,,,,,False,,False,False,16
3800,you can have the hat and one book,False,,,,,,,,,,,,False,,False,False,27
3801,deal .,False,,,,,,,,,,,Full,False,,False,True,13
3802,hi . ill take the ball and hats and you can have the books,True,,,,,,,,,,,,False,,False,False,35
3803,ok . thats fine,False,,,,,,,,,,,,False,,False,False,16
3804,how about i take the books and 1 hat .,False,,,,,,,,,,,,False,,False,False,27
3805,sounds great . deal .,False,,,,,,,,,,,,False,,False,False,16
3806,i really need a hat and sort of need a ball,False,,,,,,,,,,,,False,,False,False,19
3807,deal,False,,,,,,,,,,,Full,False,,False,True,0
3808,i can give you the hat and 2 books if i can have the ball and 2 books,False,,,,,,,,,,,,False,,False,False,25
3809,i want the book and ball,False,,,,,,,,,,,,False,,False,False,-1
3810,yes,False,,,,,,,,,,,Full,False,,False,True,9
3811,can i take the ball if you take the rest ?,False,,,,,,,,,,,,False,,False,False,19
3812,"i'm sorry , i cannot give up the hat",False,,,,,,,,,,,,False,,False,False,19
3813,so i take the hat and two balls ?,False,,,,,,,,,,,,False,,False,False,19
3814,deal,False,,,,,,,,,,,Full,False,,False,True,0
3815,i'd like a hat and a book,False,,,,,,,,,,,,False,,False,False,22
3816,then what about a hat and two balls ?,False,,,,,,,,,,,,False,,False,False,19
3817,sure,False,,,,,,,,,,,Full,False,,False,True,-1
3818,can i have the books and the ball ?,False,,,,,,,,,,,,False,,False,False,28
3819,ok go for it,False,,,,,,,,,,,,False,,False,False,16
3820,give me hats and ball,False,,,,,,,,,,,,False,,False,False,15
3821,i need ball and hats,False,,,,,,,,,,,,False,,False,False,19
3822,if i can have one book and all of the balls you can have the rest,False,,,,,,,,,,,,False,,False,False,-1
3823,i can give you two balls and i can take the rest . i need the balls as well so i can take one,False,,,,,,,,,,,,False,,False,False,19
3824,okay deal . so i will take one ball and the books .,False,,,,,,,,,,,,False,,False,False,29
3825,i can give you all of the books and hats but i need all of the balls,False,,,,,,,,,,,,False,,False,False,-1
3826,i can give you one ball if you can give me one hat,False,,,,,,,,,,,,False,,False,False,19
3827,deal,False,,,,,,,,,,,Full,False,,False,True,0
3828,book and ball to me,False,,,,1,,1,,,,,,False,,False,True,28
3829,you can have two balls and one hat,False,,,,,,,,,,,,False,,False,False,19
3830,yes two hats and two balls,False,,,,,,,,,,,,False,,False,False,19
3831,all balls and one hat . deal ?,False,,1,all,,,,,,,,,False,,False,True,19
3832,is a deal 2 hats and 2 book,False,,,,,,,,,,,,False,,False,False,20
3833,what do you want all the ball and what else ?,False,,,,,,,,,,,,False,,False,False,19
3834,no 2 balls 1 hat and 1 book,False,,,,,,,,,,,,False,,False,False,-1
3835,can i have 2 hats ? it`s not good on my side without 2 hats,False,,,,,,,,,,,,False,,False,False,19
3836,"no , all balls and 2 hats",False,,,,,,,,,,,,False,,False,False,19
3837,"it does not work for me , i really need 2 hats , or 2 books or one of each .",False,,,,,,,,,,,,False,,False,False,34
3838,"no , i need the balls and one of each to cut it fair",False,,,,,,,,,,,,False,,False,False,19
3839,"i want all balls , one hat and one book .",False,,,,,,,,,,,,False,,False,False,29
3840,sorry no deal,False,,,,,,,,,,,No Deal,False,,False,True,16
3841,i'd like two balls and a book please kindly,False,,,,,,,,,,,,False,,False,False,-1
3842,sounds fair to me,False,,,,,,,,,,,,False,,False,False,16
3843,i need hat and book you get 3 balls,False,,,,,,,,,,,,False,,False,False,7
3844,i need the hat you can have the rest,False,,,,,,,,,,,,False,,False,False,19
3845,great,False,,,,,,,,,,,Full,False,,False,True,-1
3846,i'd like the books and hat .,False,,,,,,,,,,,,False,,False,False,-1
3847,deal .,False,,,,,,,,,,,Full,False,,False,True,13
3848,"no , i need the ball and two hats",False,,,,,,,,,,,,False,,False,False,19
3849,"no , i cannot give you the ball . you can have the books , and maybe one hat",False,,,,,,,,,,,,False,,False,False,34
3850,"i need the ball and two hats , you can have everything else",False,,,,,,,,,,,,False,,False,False,19
3851,i cant give you the ball,False,,,,,,,,,,,,False,,False,False,19
3852,no ?,False,,,,,,,,,,,No Deal,False,,False,True,2
3853,give me ball and hats,False,,,,,,,,,,,,False,,False,False,15
3854,gimme ball and books,False,,,,,,,,,,,,False,,False,False,-1
3855,no deal,False,,,,,,,,,,,No Deal,False,,False,True,1
3856,i need ball and books,False,,,,,,,,,,,,False,,False,False,-1
3857,no deal,False,,,,,,,,,,,No Deal,False,,False,True,1
3858,i don't really want to give up the book,False,,,,,,,,,,,,False,,False,False,-1
3859,so there is absolutley nothing else of value other than the book ? ? ?,False,,,,,,,,,,,,False,,False,False,34
3860,i will take the 2 hats and 2 balls thanks,False,,,,,,,,,,,,False,,False,False,19
3861,hey there ! how do you feel about letting me take the book and the balls in exchange for the hats to you ?,True,,,,,,,,,,,,False,,False,False,35
3862,unfortunately that's the only thing of value i have . so i can't really part with it .,False,,,,,,,,,,,,False,,False,False,16
3863,"the balls have minimal value ; i'd be willing to give you 2 balls , 2 hats for 1 book , 1 ball ?",False,,,,,,,,,,,,False,,False,False,-1
3864,you need to screw off . i'll take two books a ball .,False,,,,,,,,,,,,False,,False,False,25
3865,"no , sorry , i asked for too much . also , sorry for the rudeness , everyone's been hardballing . you can have the ball .",False,,,,,,,,,,,,False,,False,False,19
3866,mhmm ! deal .,False,,,,,,,,,,,,False,,False,False,-1
3867,i need both hats and both books and a ball,False,,,,,,,,,,,,False,,False,False,36
3868,how about two books and 1 ball and i get the rest ?,False,,,,,,,,,,,,False,,False,False,-1
3869,"lol no problem , so you'll take two books and i'll take the rest ? is that where we are ?",False,,,,,,,,,,,,False,,False,False,20
3870,2 hats would be great,False,,,,,2,,,,,,,False,,False,True,19
3871,how about i get 2 hats and 1 ball and you can have the rest,False,,,,,,,,,,,,False,,False,False,19
3872,can i have the rest ?,False,,,,,,,,,,,,False,,False,False,16
3873,"i'd like one hat , the ball and the book .",False,,,,,,,,,,,,False,,False,False,29
3874,ok . i'll take the book and the ball .,False,,,,,,,,,,,,False,,False,False,28
3875,you can have book and ball but i need the hats,False,,,,,,,,,,,,False,,False,False,36
3876,i will take 3 hats,False,,,,,,,,,,,,False,,False,False,7
3877,i'd like the ball and the books ; are the hats of any value to you ?,False,,,,,,,,,,,,False,,False,False,23
3878,ball is the highest value item . ; the only way i can get rid of the ball is for everything else on the table .,False,,,,,,1,,,,,,False,,False,True,19
3879,"kind of figured that , compromising isn't fun sometimes : ) - - if you're ok with that i do appreciate it .",False,,,,,,,,,,,,False,,False,False,16
3880,could you trade a hat for the ball ?,False,,,,,,,,,,,,False,,False,False,-1
3881,"ok , well books aren't worth anything for me so i'll take just the hats",False,,,,,,,,,,,,False,,False,False,34
3882,"no worries , this works for me .",False,,,,,,,,,,,,False,,False,False,16
3883,i can't make that deal . if i can have the book you can have everything else,False,,,,,,,,,,,,False,,False,False,31
3884,i'd like the book and hat,False,,,,,,,,,,,,False,,False,False,22
3885,deal,False,,,,,,,,,,,Full,False,,False,True,0
3886,"give me the ball , two hats and your first born",False,,,,,,,,,,,,False,,False,False,29
3887,the ball and two hats then,False,,,,,,,,,,,,False,,False,False,19
3888,ok fine,False,,,,,,,,,,,,False,,False,False,-1
3889,no deal,False,,,,,,,,,,,No Deal,False,,False,True,1
3890,i want the book and ball,False,,,,,,,,,,,,False,,False,False,-1
3891,thx,False,,,,,,,,,,,Full,True,,False,True,-1
3892,forget about it,False,,,,,,,,,,,,False,,False,False,16
3893,"sorry , ok i ll give you two books",False,,,,,,,,,,,,False,,False,False,20
3894,yeah no deal,False,,,,,,,,,,,,False,,False,False,-1
3895,no deal,False,,,,,,,,,,,No Deal,False,,False,True,1
3896,no deal,False,,,,,,,,,,,No Deal,False,,False,True,1
3897,"id like the hat and both balls , books are yours",False,,,,,,,,,,,,False,,False,False,-1
3898,"thats helpful . . . please counter . . . . hat and ball for me , ball and two books for you",False,,,,,,,,,,,,False,,False,False,25
3899,"the best i can do , else no deal , is the hat and a ball for me with the rest to you",False,,,,,,,,,,,,False,,False,False,19
3900,no deal,False,,,,,,,,,,,No Deal,False,,False,True,1
3901,no deal,False,,,,,,,,,,,No Deal,False,,False,True,1
3902,"no , i want the hats and two balls",False,,,,,,,,,,,,False,,False,False,19
3903,2 balls,False,,,2,,,,,,,,,False,,False,True,19
3904,2 balls,False,,,2,,,,,,,,,False,,False,True,19
3905,2 balls,False,,,2,,,,,,,,,False,,False,True,19
3906,you take all hats and i keep the rest,False,,,,,,,,,,,,False,,False,False,19
3907,one ball,False,,,,,,,,,,,,False,,False,False,19
3908,one ball,False,,,,,,,,,,,,False,,False,False,19
3909,no balls,False,,,,,,,,,,,,False,,False,False,-1
3910,"ok deal , hats and two balls",False,,,,,,,,,,,,False,,False,False,19
3911,i can offer you the balls,False,,,,,,,,,,,,False,,False,False,19
3912,then ill offer you nothing,False,,,,,,,,,,,,False,,False,False,16
3913,ill offer you nothing,False,,,,,,,,,,,,False,,False,False,16
3914,no deal,False,,,,,,,,,,,No Deal,False,,False,True,1
3915,fine ill give you the book,False,,,,,,,,,,,,False,,False,False,30
3916,i'd like the book . you can have the rest .,False,,,,,,,,,,,,False,,False,False,-1
3917,balls are 0 for me .,False,,,,,,0,,,,,,False,,False,True,19
3918,okay . no deal till the button pops up then .,False,,,,,,,,,,,,False,,False,False,16
3919,no deal .,False,,,,,,,,,,,No Deal,False,,False,True,10
3920,no deal . book is 10 for me .,False,,,,,,,,,,,,False,,False,False,26
3921,can i have your basketballs ?,False,,,,,,,,,,,,False,,False,False,14
3922,perfect !,False,,,,,,,,,,,,False,,False,False,-1
3923,"yes , and i get the rest",False,,,,,,,,,,,,False,,False,False,16
3924,i'll take the book and the hat .,False,,,,,,,,,,,,False,,False,False,18
3925,"i must have the hat , at least .",False,,,,,,,,,,,,False,,False,False,19
3926,"ok , i would like all the hats .",False,,,,,,,,,,,,False,,False,False,19
3927,i agree .,False,,,,,,,,,,,Full,False,,False,True,-1
3928,i would like all the books .,False,,,,,,,,,,,,False,,False,False,-1
3929,"fine , if we split the basketballs",False,,,,,,,,,,,,False,,False,False,14
3930,no deal,False,,,,,,,,,,,No Deal,False,,False,True,1
3931,deal,False,,,,,,,,,,,Full,False,,False,True,0
3932,i want the ball a hat and two books,False,,,,,,,,,,,,False,,False,False,25
3933,ball and two books ?,False,,,,2,,1,,,,,,False,,False,True,25
3934,what would you like,False,,,,,,,,,,True,,False,,False,True,6
3935,how about i get the hat and balls and you get all the books,False,,,,,,,,,,,,False,,False,False,37
3936,i will take the hat and one ball and 1 book,False,,,,,,,,,,,,False,,False,False,29
3937,i will give you 3 books and 1 ball,False,,,,,,,,,,,,False,,False,False,7
3938,or i can take both balls and 1 book,False,,,,,,,,,,,,False,,False,False,29
3939,yes,False,,,,,,,,,,,Full,False,,False,True,9
3940,1 of each,False,1,1,1,,,,,,,,,False,,False,True,16
3941,negative,False,,,,,,,,,,,,False,,False,False,16
3942,if you want hat i get 2 balls 1 book,False,,,,,,,,,,,,False,,False,False,25
3943,i don't think i,False,,,,,,,,,,,,False,,False,False,16
3944,ok i get hat and 2 books,False,,,,,,,,,,,,False,,False,False,20
3945,ok,False,,,,,,,,,,,Full,False,,False,True,5
3946,yeah i'd like the book but i'd also like one ball,False,,,,,,,,,,,,False,,False,False,-1
3947,i'd like the balls and hat . would you like the book ?,False,,,,,,,,,,,,False,,False,False,22
3948,i'll take two balls and the hat . you take one ball and the book . deal .,False,,,,,,,,,,,,False,,False,False,25
3949,i need to hats and a ball,False,,,,,,,,,,,,False,,False,False,19
3950,hiya . i need the book and two hats,False,,,,,,,,,,,,False,,False,False,20
3951,i can do that,False,,,,,,,,,,,Full,False,,False,True,16
3952,i want the hats and the books,False,,,,,,,,,,,,False,,False,False,-1
3953,what about both hats and one book ?,False,,,,,,,,,,,,False,,False,False,27
3954,"no , you can have both books if i can have both hats .",False,,,,,,,,,,,,False,,False,False,-1
3955,and i'll take both books and one hat ?,False,,,,2,1,,,,,,,False,,False,True,27
3956,"ok , deal",False,,,,,,,,,,,Full,False,,False,True,-1
3957,one hat and one book,False,,,,,,,,,,,,False,,False,False,27
3958,how about you get two books,False,,,,,,,,,,,,False,,False,False,20
3959,no i one hat and one ball then,False,,,,,,,,,,,,False,,False,False,19
3960,yes,False,,,,,,,,,,,Full,False,,False,True,9
3961,i'd like one of each object .,False,,,,,,,,,,,,False,,False,False,16
3962,i really need the hat .,False,,,,,,,,,,,,False,,False,False,19
3963,deal .,False,,,,,,,,,,,Full,False,,False,True,13
3964,i'll take the hat and 2 books and you can have the rest,False,,,,,,,,,,,,False,,False,False,20
3965,so you take the hat and i'll take the rest,False,,,,,,,,,,,,False,,False,False,19
3966,you can have the ball if i can have the books and hat,False,,,,,,,,,,,,False,,False,False,-1
3967,deal,False,,,,,,,,,,,Full,False,,False,True,0
3968,4 / 1 items is not very fair . i will give you all 3 books if i can have the hat and the ball,False,,,,,1,1,3,,,,Counter,False,,False,True,7
3969,ball and hats for me,False,,,,,all,1,,,,,,False,,False,True,15
3970,1 ball and 1 hat for me,False,,,,,1,1,,,,,,False,,False,True,19
3971,no deal then,False,,,,,,,,,,,No Deal,False,,False,True,-1
3972,ball and hat or both hats for me,False,,,,,1,1,,,,,,False,,False,True,15
3973,"right , so 1 ball 1 hat for me or both hats for me",False,,,,,,,,,,,,False,,False,False,19
3974,i get ball and 1 book you can have the rest,False,,,,,,,,,,,,False,,False,False,-1
3975,no dea,False,,,,,,,,,,,,False,,False,False,-1
3976,come on let's negotiate,False,,,,,,,,,,,,False,,False,False,16
3977,there is only 1 ball,False,,,,,,,,,,,,False,,False,False,19
3978,you get both hats and two books deal,False,,,,,,,,,,,,False,,False,False,20
3979,"hi , i would like the book and both balls .",True,,,,,,,,,,,,False,,False,False,21
3980,"i would need at least 1 ball , i can't give both",False,,,,,,,,,,,,False,,False,False,19
3981,"so i get the book , the hats and 1 ball ?",False,,,,,,,,,,,,False,,False,False,29
3982,hello,True,,,,,,,,,,,,False,,False,True,10
3983,i want both balls but i'll give you everything else,False,,,,,,,,,,,,False,,False,False,19
3984,ok we split the balls,False,,,,,,,,,,,,False,,False,False,19
3985,yep,False,,,,,,,,,,,Full,False,,False,True,16
3986,i would love the ball and two hats,False,,,,,,,,,,,,False,,False,False,19
3987,sorry won't work . how about i get a ball and one hat ?,False,,,,,,,,,,,,False,,False,False,19
3988,i can give you 1 ball .,False,,,,,,,,,,,,False,,False,False,19
3989,i can do that .,False,,,,,,,,,,,,False,,False,False,16
3990,"i'd like the ball and books , and can offer the hats to you ?",False,,,,,,,,,,,,False,,False,False,23
3991,i can work with that . it's been a pleasure !,False,,,,,,,,,,,,False,,False,False,16
3992,could i get the hats and one of the books ?,False,,,,,,,,,,,,False,,False,False,18
3993,i'd like the book please,False,,,,,,,,,,,,False,,False,False,-1
3994,can i have two balls also ?,False,,,,,,,,,,,,False,,False,False,19
3995,deal,False,,,,,,,,,,,Full,False,,False,True,0
3996,okay you can have the book if i can get everything else,False,,,,,,,,,,,,False,,False,False,31
3997,i can part with one of the balls,False,,,,,,,,,,,,False,,False,False,19
3998,great ! thank you !,False,,,,,,,,,,,Full,False,,False,True,-1
3999,if i can have the hats and the balls you can have the books,False,,,,,,,,,,,,False,,False,False,-1
4000,no i need both hats or i can not make a deal,False,,,,,,,,,,,,False,,False,False,19
4001,if i can have the hats you can have everything else,False,,,,,,,,,,,,False,,False,False,19
4002,thank you .,False,,,,,,,,,,,Full,False,,False,True,9
4003,can we share the hats ?,False,,,,,,,,,,,,False,,False,False,19
4004,we need to find a middle ground,False,,,,,,,,,,,,False,,False,False,16
4005,ok,False,,,,,,,,,,,Full,False,,False,True,5
4006,i need the ball and 3 books,False,,,,,,,,,,,,False,,False,False,7
4007,i would like 1 hat and 2 books please,False,,,,,,,,,,,,False,,False,False,20
4008,i'd like the book and the hats . you can have all the balls .,False,,,,,,,,,,,,False,,False,False,-1
4009,ok deal,False,,,,,,,,,,,Full,False,,False,True,8
4010,i' take the ball and 1 hat you can have the rest,False,,,,,,,,,,,,False,,False,False,19
