,sentences,greeting,need:books,need:hats,need:balls,offer:books,offer:hats,offer:balls,inquiry,agreement
1594,give me hat and books,,,,,,,,,
1595,what would you like,,,,,,,,,
1596,"hey , i really just want the hat",,,,,,,,,
1597,gimme the balls and a hat,,,,,,,,,
1598,"i want the ball and book , i'll give you the hats",,,,,,,,,
1599,i would like the ball and 2 hats,,,,,,,,,
1600,what would you like,,,,,,,,,
1601,i would like 4 books please,,,,,,,,,
1602,"i just need the balls , please",,,,,,,,,
1603,i would like the ball and books please,,,,,,,,,
1604,i get the book and you get 2 hats,,,,,,,,,
1605,"give me the books and the hat , you can have the ball ?",,,,,,,,,
1606,"i need the ball , rest to you",,,,,,,,,
1607,you can keep the book . i'll have the rest .,,,,,,,,,
1608,i'd like 1 of each,,,,,,,,,
1609,"i need the hat please , you can have the balls and books",,,,,,,,,
1610,one of each,,,,,,,,,
1611,hi want to split the hat and book ?,,,,,,,,,
1612,if i can have the balls you can have the hats and the book,,,,,,,,,
1613,i want the books and hat,,,,,,,,,
1614,love two hats and a ball .,,,,,,,,,
1615,i'd like the balls .,,,,,,,,,
1616,"hi , i need 3 books and 2 hats",,,,,,,,,
1617,"id like the hat and two books , the ball and a book for you",,,,,,,,,
1618,if i could have 2 hats and a book ?,,,,,,,,,
1619,i'll take the balls and hat if you want the books,,,,,,,,,
1620,"hey , i give you the books for a hat and ball for mysel",,,,,,,,,
1621,give me the hats and ball,,,,,,,,,
1622,i'd like two books and two balls please .,,,,,,,,,
1623,i'll take the hat and balls if you want the books,,,,,,,,,
1624,"hello , if you give me the 3 hats , you can have everything else",,,,,,,,,
1625,i keep the hat you get the rest,,,,,,,,,
1626,what would you like,,,,,,,,,
1627,what would you like,,,,,,,,,
1628,"hi , i'll take the hat , ball and 2 books .",,,,,,,,,
1629,if i can have all of the hats and one ball you can have the book and a ball,,,,,,,,,
1630,if i can have the hat and the ball you can have the books,,,,,,,,,
1631,i must have the hats . . . i can cede the books and the ball,,,,,,,,,
1632,ill take the hats and balls .,,,,,,,,,
1633,you can have the book,,,,,,,,,
1634,what if i take the books and we split up the hat and balls,,,,,,,,,
1635,what would you like,,,,,,,,,
1636,if i can have the book and the hat you can have the balls,,,,,,,,,
1637,if i can have the hats and the balls you can have the book,,,,,,,,,
1638,i'd like one book and two hats please,,,,,,,,,
1639,i would like the ball and one hat,,,,,,,,,
1640,ok what do you want,,,,,,,,,
1641,i'd love to have the ball and the book,,,,,,,,,
1642,ill give you the books for a ball,,,,,,,,,
1643,can i have the book and 3 balls .,,,,,,,,,
1644,2 balls and 2 books please,,,,,,,,,
1645,hey i want the balls and the book,,,,,,,,,
1646,i would like 2 hats and you can have the rest .,,,,,,,,,
1647,i'll take the ball and the books you take the three hats ? thoughts ?,,,,,,,,,
1648,i get hats you get books and ball,,,,,,,,,
1649,hello . i would like the book and 2 hats .,,,,,,,,,
1650,gimme ball and book,,,,,,,,,
1651,i need the hats and the ball . you can have both books .,,,,,,,,,
1652,i would like the balls and another object .,,,,,,,,,
1653,"how about 1 ball , 2 hats and 2 books ?",,,,,,,,,
1654,i'll take all three hats and a ball,,,,,,,,,
1655,what would you like,,,,,,,,,
1656,"hello , which items would you prefer ?",,,,,,,,,
1657,give me the ball . you can keep the rest .,,,,,,,,,
1658,gimme hat and two books,,,,,,,,,
1659,i'd like the ball and two hats,,,,,,,,,
1660,i want the book and the hats,,,,,,,,,
1661,"hello , i would like the book please",,,,,,,,,
1662,"can i get a ball , a book and one hat ?",,,,,,,,,
1663,i need the balls and the hats and you can have the books,,,,,,,,,
1664,if i can have the two hats you can have the rest .,,,,,,,,,
1665,three hats and one ball,,,,,,,,,
1666,hats for two books,,,,,,,,,
1667,what would you like,,,,,,,,,
1668,you take all the hats,,,,,,,,,
1669,i would like the ball and 2 hats,,,,,,,,,
1670,can i get the ball and hats ?,,,,,,,,,
1671,ill take both balls you can have the rest .,,,,,,,,,
1672,the book and two hats for me,,,,,,,,,
1673,i would like a hat and a ball,,,,,,,,,
1674,i would love both balls and you can have the rest,,,,,,,,,
1675,"i would like the ball and the books , you can have all the hats",,,,,,,,,
1676,i'll the hat and ball and give you books .,,,,,,,,,
1677,"i woud like the hats , you can have the rest",,,,,,,,,
1678,if i can have some of them hats that would be nice .,,,,,,,,,
1679,i would like the hat and the book and you can have the balls,,,,,,,,,
1680,"hey , can i have the balls ?",,,,,,,,,
1681,i'll take the ball . you can have everything else .,,,,,,,,,
1682,books and hats for me,,,,,,,,,
1683,if i can have the book and the hats you can have the balls,,,,,,,,,
1684,give me both hats and a ball,,,,,,,,,
1685,one book one hat for me,,,,,,,,,
1686,i would like both hats and the ball .,,,,,,,,,
1687,i'd like one book and one hat,,,,,,,,,
1688,i want the book and 1 hat . you can have the 2 balls .,,,,,,,,,
1689,i need the book and the balls . you can have the hats,,,,,,,,,
1690,do you have any books ?,,,,,,,,,
1691,if i can have the hat and the balls you can have the books,,,,,,,,,
1692,"if i can have the book , hat , and one ball you can have the other 3 balls",,,,,,,,,
1693,"hat and ball to me , all wonderful books to you",,,,,,,,,
1694,if i can have the hats and the ball you can have the books,,,,,,,,,
1695,ok you take two hats and i keep the rest,,,,,,,,,
1696,i keep book you get everythign else,,,,,,,,,
1697,i want the book and hat you can have the balls,,,,,,,,,
1698,i would like 1 hat and 2 books ?,,,,,,,,,
1699,i'd like the hats and the books please !,,,,,,,,,
1700,the hat and one and one book,,,,,,,,,
1701,can i have the ball ?,,,,,,,,,
1702,"hi there ! i would like the book and balls , and you can have the hats .",,,,,,,,,
1703,i want the book and two hats and ball,,,,,,,,,
1704,i need the balls and 1 hat,,,,,,,,,
1705,i would like the ball and 1 hat,,,,,,,,,
1706,could i have the ball and 2 books ?,,,,,,,,,
1707,can i have the ball ?,,,,,,,,,
1708,gimme books,,,,,,,,,
1709,i'll take two books and both balls .,,,,,,,,,
1710,i would like the books the balls and a hat .,,,,,,,,,
1711,can i have two hats and 1 book,,,,,,,,,
1712,i would like the hat and 4 balls,,,,,,,,,
1713,i would like two hats and one ball,,,,,,,,,
1714,i would like the book and atleast 1 hat .,,,,,,,,,
1715,"if i can take the book and a ball , you can have a ball and all the hats",,,,,,,,,
1716,i need the balls and the books,,,,,,,,,
1717,i would like both books and both balls .,,,,,,,,,
1718,"i just want the ball , you can have the rest",,,,,,,,,
1719,i would like the hat and ball please,,,,,,,,,
1720,what would you like,,,,,,,,,
1721,what would you like today ?,,,,,,,,,
1722,"hi , need the hat and one ball",,,,,,,,,
1723,i would like the hat and book,,,,,,,,,
1724,"i'd like the books , the rest to you",,,,,,,,,
1725,i want one of each,,,,,,,,,
1726,i would like the ball and the hats .,,,,,,,,,
1727,"i'd like the hat , rest to you",,,,,,,,,
1728,if i can have the book and the ball you can have all of the hats,,,,,,,,,
1729,i just wan the balls and book please you take the rest,,,,,,,,,
1730,i would like the ball and two books,,,,,,,,,
1731,ill take two hats and a ball you can have the rest .,,,,,,,,,
1732,can i have the hats and book and you can have the balls ?,,,,,,,,,
1733,i would like the 2 hats and you could keep the books and balls,,,,,,,,,
1734,i would like one of each .,,,,,,,,,
1735,"how about i take the hat and one ball , the rest to you ?",,,,,,,,,
1736,i'd like that book and ball if possible,,,,,,,,,
1737,i want the 4 books please,,,,,,,,,
1738,what would you like,,,,,,,,,
1739,i need the hat and two books,,,,,,,,,
1740,i need 3 books and the hat ?,,,,,,,,,
1741,can i have a ball and the book ?,,,,,,,,,
1742,would you have a couple basketballs to spare .,,,,,,,,,
1743,i need 1 hat and 2 balls,,,,,,,,,
1744,can i have 1 ball i ll give you a hat,,,,,,,,,
1745,book and hats for me,,,,,,,,,
1746,hi i would like the hat and ball and you can have the books,,,,,,,,,
1747,i want a hat and a ball .,,,,,,,,,
1748,if i can have the book and the hats you can have the balls,,,,,,,,,
1749,"i would be great with 4 books , you could have the hat and ball",,,,,,,,,
1750,can i get the book and basketballs and you get hats,,,,,,,,,
1751,ill take the balls and hat and you can have the books .,,,,,,,,,
1752,"you can have the balls , i'll take the rest",,,,,,,,,
1753,i'll take the hats you can have everything else,,,,,,,,,
1754,if i can have the balls you can have the hat and the book,,,,,,,,,
1755,i'd love to have the hat and two balls,,,,,,,,,
1756,i'll take both basketballs and you can have the rest,,,,,,,,,
1757,i would like the 3 hats,,,,,,,,,
1758,i would like 1 of each item,,,,,,,,,
1759,kind sir if i could beg you for 1 ball and 2 hats i would be much obliged,,,,,,,,,
1760,"hi there ! id like one of each , and the rest is yours .",,,,,,,,,
1761,how about you get 1 ball and one book,,,,,,,,,
1762,what would you be interested in ?,,,,,,,,,
1763,my offer is 1 book and 1 hat,,,,,,,,,
1764,i'd like all the balls and the book ; are the hats of value to you> ?,,,,,,,,,
1765,you can have the 3 hats,,,,,,,,,
1766,if i can have the books you can have the rest,,,,,,,,,
1767,"i would like both hats and the basketball , please .",,,,,,,,,
1768,i would like the books and the hats .,,,,,,,,,
1769,what do you need ?,,,,,,,,,
1770,gimme the hats,,,,,,,,,
1771,i would like the book and the hats .,,,,,,,,,
1772,i need two balls and one book,,,,,,,,,
1773,i would like both books,,,,,,,,,
1774,what would you like,,,,,,,,,
1775,i would like the book and basketball you can have the hats,,,,,,,,,
1776,i'd like hat and balls .,,,,,,,,,
1777,"i'd like the books , the rest to you",,,,,,,,,
1778,i would like the 2 books you can have the hats and ball,,,,,,,,,
1779,i will give all 3 balls and the book .,,,,,,,,,
1780,i would like the hat and the balls,,,,,,,,,
1781,you can have all the balls and the book if i can take the hats .,,,,,,,,,
1782,i would like the books and the ball,,,,,,,,,
1783,you can have the balls . i'll take the books and hats .,,,,,,,,,
1784,i would like one of each . straight down the line .,,,,,,,,,
1785,what would you like,,,,,,,,,
1786,"i need the books , the rest to you",,,,,,,,,
1787,hi i would like the ball and books and you can have the hats,,,,,,,,,
1788,can i have the hats and the ball ?,,,,,,,,,
1789,i'd like a basketball and a book .,,,,,,,,,
1790,"two hats and two balls for me , plus your firstborn",,,,,,,,,
1791,"i'd like the hats and balls , you can have the books",,,,,,,,,
1792,i'd like the ball and 2 books .,,,,,,,,,
1793,i want the hats and the balls,,,,,,,,,
1794,hi ! do you have any books or basketballs ?,,,,,,,,,
1795,i'd like the hat and 1 book .,,,,,,,,,
1796,i want the hat and all the books,,,,,,,,,
1797,i get book and hat you get balls,,,,,,,,,
1798,i can offer you the hats,,,,,,,,,
1799,i would like the book and the ball .,,,,,,,,,
1800,"greetings ! i the great cerise power ranger come to request of you one ball and one book , so i can set off in my ventures to save the world !",,,,,,,,,
1801,i'd like 1 of each please .,,,,,,,,,
1802,i'd like the ball and hat .,,,,,,,,,
1803,good evening ! i'd like the two books and we can negotiate on the rest !,,,,,,,,,
1804,hello !,,,,,,,,,
1805,hi . . . id like 2 balls and the hat,,,,,,,,,
1806,"i really want both balls , and would like to have the books too . you ?",,,,,,,,,
1807,i would like the hats and 1 book,,,,,,,,,
1808,i would love the two books and you can have the rest,,,,,,,,,
1809,"hi , i would like the hat and 1 ball please .",,,,,,,,,
1810,"i'd like 3 books , you can have the hats , and also i want one ball",,,,,,,,,
1811,"hello , if i can have the ball and the books i can let you have the hats .",,,,,,,,,
1812,i would like the balls and the book .,,,,,,,,,
1813,can i have the hat and 2 balls . you can have the rest .,,,,,,,,,
1814,i'd like the ball,,,,,,,,,
1815,i can offer both books,,,,,,,,,
1816,"how about 2 books and 2 balls for me , you can have the hat and the book ?",,,,,,,,,
1817,i would like the hats and the balls .,,,,,,,,,
1818,a ball and two books is what i need . nothing less .,,,,,,,,,
1819,i would like the basketball and book you can have the 3 hats,,,,,,,,,
1820,ok you take all hats i get the rest,,,,,,,,,
1821,i'd like the ball and two hats - you can have the 3 books ?,,,,,,,,,
1822,gimme hat and books,,,,,,,,,
1823,"can i get two balls , 1 book and a hat ?",,,,,,,,,
1824,"i'll take the books , you can have the rest",,,,,,,,,
1825,"hello , i can let you have both books if i get the hats and balls .",,,,,,,,,
1826,i would like the books and the basketball,,,,,,,,,
1827,i'll take 3 books and a ball if you want the rest ?,,,,,,,,,
1828,"all hats to you , rest to me",,,,,,,,,
1829,hi,,,,,,,,,
1830,gimme the balls,,,,,,,,,
1831,if i can have the books and one hat you can have the rest,,,,,,,,,
1832,i'll give you two balls for everything,,,,,,,,,
1833,if i can have the balls you can have the book and the hat,,,,,,,,,
1834,"i'd like the hat , and the two balls",,,,,,,,,
1835,i would like the hat and the books .,,,,,,,,,
1836,if i can have the hats and the ball you can have the books,,,,,,,,,
1837,i get 3 balls you get the rest ?,,,,,,,,,
1838,i'd like one book and two balls please,,,,,,,,,
1839,you can have the balls .,,,,,,,,,
1840,i'd like both hats,,,,,,,,,
1841,if i can have the hat and the books you can have the balls,,,,,,,,,
1842,i'll take the books and you can have the rest .,,,,,,,,,
1843,how about you tell me what you want and let's see what we can do,,,,,,,,,
1844,you can have the books,,,,,,,,,
1845,i really need to catch up on my reading . could i have all of the books please !,,,,,,,,,
1846,"ok , i'm looking for some hats , in exchange for some basketballs",,,,,,,,,
1847,i'd like hat . you can have the rest .,,,,,,,,,
1848,i would like both hats you can have the rest,,,,,,,,,
1849,i would like both basketballs,,,,,,,,,
1850,the book is critical for me . can't live without it . waht's going on for you ?,,,,,,,,,
1851,what if i take one of each ?,,,,,,,,,
1852,i need the books .,,,,,,,,,
1853,i would like 2 books and 2 balls,,,,,,,,,
1854,i just want the balls,,,,,,,,,
1855,i need the hat and ball you can have the books,,,,,,,,,
1856,which items do you want ?,,,,,,,,,
1857,"i'd like the ball , the rest to you .",,,,,,,,,
1858,i get balls and hat you get rest,,,,,,,,,
1859,i will give you the book and two balls,,,,,,,,,
1860,could i have the balls and one of the hats,,,,,,,,,
1861,i'd like three hats and the book .,,,,,,,,,
1862,i would like one ball and 2 books,,,,,,,,,
1863,hi i would like the book and hats and you can have the balls,,,,,,,,,
1864,i would like a ball and 1 book,,,,,,,,,
1865,what do you want ?,,,,,,,,,
1866,hi ! how about two books for me and one hat ? the rest to you .,,,,,,,,,
1867,could have two hats and a ball ?,,,,,,,,,
1868,the balls and book for me,,,,,,,,,
1869,i would love the hats and the ball but i'm almost positive that won't work for you,,,,,,,,,
1870,i want the basketball !,,,,,,,,,
1871,hello i would like the books and at 2 balls .,,,,,,,,,
1872,hey there ! i'll strike you a deal if i can have the book and the ball .,,,,,,,,,
1873,can i have the hats and the book,,,,,,,,,
1874,i need both hats and one book,,,,,,,,,
1875,i need the two books and hats,,,,,,,,,
1876,i would like the books,,,,,,,,,
1877,i would like the book,,,,,,,,,
1878,iwant the hat and book,,,,,,,,,
1879,i would like the books . you can have everything else .,,,,,,,,,
1880,"hi , i'm sending you 1 of each . what are you offering ?",,,,,,,,,
1881,i need the ball and two hats .,,,,,,,,,
1882,i'll take the books . you can have the rest .,,,,,,,,,
1883,"i could really do with like , three balls and two of those hats .",,,,,,,,,
1884,i'd be content with just the book,,,,,,,,,
1885,"i'll take the hat and ball , you can have all of the books",,,,,,,,,
1886,i want both hats,,,,,,,,,
1887,hi . i would like the ball and books and you can have the hat,,,,,,,,,
1888,i'd love the books and the hat or the books and the balls .,,,,,,,,,
1889,ill take 1 book 2 hats,,,,,,,,,
1890,you can have the hat .,,,,,,,,,
1891,i would like the hat and the ball .,,,,,,,,,
1892,i need the book both hats,,,,,,,,,
1893,you can have all the hats .,,,,,,,,,
1894,i'd like ball and 1 book .,,,,,,,,,
1895,i can let you have a hat and a ball if i get the rest .,,,,,,,,,
1896,2 books and a hat to me,,,,,,,,,
1897,"hi , i want 2 books and a ball if thats ok with you",,,,,,,,,
1898,i would like 2 balls and a book,,,,,,,,,
1899,i would like the hats and basketballs you can have the book,,,,,,,,,
1900,hi i would like the balls and books and you can have the hat,,,,,,,,,
1901,hi i would like the ball and hat and you can have the books,,,,,,,,,
1902,i can offer the ball,,,,,,,,,
1903,can i have the ball and the two books ?,,,,,,,,,
1904,i would like the hat and the ball,,,,,,,,,
1905,i would like the book and the hats . you can have the balls,,,,,,,,,
1906,"i would like one ball , all else to you",,,,,,,,,
1907,i want the ball and hats,,,,,,,,,
1908,i need the hat and 3 books,,,,,,,,,
1909,i would like 1 of each item,,,,,,,,,
1910,i'd like the balls and hat .,,,,,,,,,
1911,i'll take hats and book if you want the balls,,,,,,,,,
1912,i get books you get balls,,,,,,,,,
1913,ill giv eyou 3 books,,,,,,,,,
1914,i could use a book and 3 basketballs as gifts for my kids .,,,,,,,,,
1915,i will take the ball and 1 book,,,,,,,,,
1916,i want the hats and all the books .,,,,,,,,,
1917,"i'd like the ball , the rest to you",,,,,,,,,
1918,i'll take all 3 hats .,,,,,,,,,
1919,i'll take the hat abd ball if that's ok ?,,,,,,,,,
1920,u can have the book i get the rest,,,,,,,,,
1921,can i have the two hats and a book ?,,,,,,,,,
1922,"hi , can i have 2 books and 2 balls ?",,,,,,,,,
1923,i would be happy with 2 balls,,,,,,,,,
1924,i'll take all 3 balls you can have the rest,,,,,,,,,
1925,i need the hats and 1 book,,,,,,,,,
1926,can i have the two hats and the books ?,,,,,,,,,
1927,"hi , can i have the hats ?",,,,,,,,,
1928,if i can have the book and three balls you can have the rest,,,,,,,,,
1929,ok what do you want,,,,,,,,,
1930,need book and 2 hats,,,,,,,,,
1931,i'd like the ball for sure . what do you want ?,,,,,,,,,
1932,you can have the hats if i can have the book and ball,,,,,,,,,
1933,i want the ball and two books,,,,,,,,,
1934,i want some hats and a book,,,,,,,,,
1935,gimme hats and a book,,,,,,,,,
1936,i'll give you 1 ball and 1 hat,,,,,,,,,
1937,i would like the books and balls,,,,,,,,,
1938,"hi , i want the book and 2 balls . you can have the hats",,,,,,,,,
1939,"hi , can i have the book and 2 balls ?",,,,,,,,,
1940,hi i would like the hats and balls and you can have the book,,,,,,,,,
1941,"hi , i would like the book and ball and you can have the hats",,,,,,,,,
1942,you can have 2 books and a hat,,,,,,,,,
1943,i want the hat and two books,,,,,,,,,
1944,i'd like ball . you can have rest .,,,,,,,,,
1945,"hi , i would like the hat and books and you can have the hats",,,,,,,,,
1946,"hi there , how about i get 2 books , a hat , and a basketball , and you can have the rest ?",,,,,,,,,
1947,i'd like the hat and books .,,,,,,,,,
1948,i want to get my hands on that ball if possible,,,,,,,,,
1949,i need the hats and the ball .,,,,,,,,,
1950,hey there ! i'd like balls and the hat . . is the book a high value item for you ?,,,,,,,,,
1951,i'll take the balls and one book,,,,,,,,,
1952,hello ! how does one ball sound ?,,,,,,,,,
1953,i can give you 2 balls,,,,,,,,,
1954,give me hats and 2 books,,,,,,,,,
1955,i would like the ball and 2 hats please . you can have the book and 2 hats .,,,,,,,,,
1956,hi i would like the books and 1 hat and you can have the balls and 1 hat,,,,,,,,,
1957,"i would like 2 hats and one book , you can have the rest",,,,,,,,,
1958,i will give you all the hats and i will take the ball and the book .,,,,,,,,,
1959,how about you take the books and i take the hat and balls ?,,,,,,,,,
1960,i'll take all the items .,,,,,,,,,
1961,give me the book and the balls,,,,,,,,,
1962,i want the ball and one hat,,,,,,,,,
1963,if i can have one of each you can have the other three balls,,,,,,,,,
1964,how about i get 3 balls and a hat,,,,,,,,,
1965,i need the ball and 2 hats,,,,,,,,,
1966,i need both hats . you can have everything else .,,,,,,,,,
1967,i'd like the book and the basketball .,,,,,,,,,
1968,take all books and i keep the rest,,,,,,,,,
1969,can i have 1 hat and 2 balls ?,,,,,,,,,
1970,ill take the book and the hats,,,,,,,,,
1971,i'd like all balls and 1 hat please,,,,,,,,,
1972,i would like both balls and the book .,,,,,,,,,
1973,i would like the hats and the balls .,,,,,,,,,
1974,the book and the hat ?,,,,,,,,,
1975,"i'd like the hat , you can have the rest",,,,,,,,,
1976,i would like the book and the hats,,,,,,,,,
1977,how about you get book,,,,,,,,,
1978,"hello , can i have the hats and the balls ? you can have the books .",,,,,,,,,
1979,i just want the balls,,,,,,,,,
1980,"i need the book and the hat , the balls to you",,,,,,,,,
1981,any chance you want all four books while i take that hat and ball,,,,,,,,,
1982,i need the hat and one ball,,,,,,,,,
1983,you can have all the hats and one book if i get the balls and one book,,,,,,,,,
1984,if i can have the hat and the balls you can have the books,,,,,,,,,
1985,i would like 2 books and 1 ball .,,,,,,,,,
1986,"i'll take all the books , you can have the rest",,,,,,,,,
1987,i would like the ball and all the hats .,,,,,,,,,
1988,i'm a cowboy who's sick of life on the range . i'm trying to learn me some book reading . could i have the hat and book ?,,,,,,,,,
1989,i would like 2 hats and 2 balls,,,,,,,,,
1990,i would like the balls .,,,,,,,,,
1991,"if i can have the book and hat , you can have everything else .",,,,,,,,,
1992,i would like both balls and the book .,,,,,,,,,
1993,if i can have the book and the ball you can have the hats,,,,,,,,,
1994,gimme ball and hat,,,,,,,,,
1995,if i can have the hats you can have the books and the ball,,,,,,,,,
1996,i can take both books you have the rest of items,,,,,,,,,
1997,i want the ball and hat,,,,,,,,,
1998,you can have the hat and two balls if i can have the book and two balls,,,,,,,,,
1999,i would like the ball and all the hats,,,,,,,,,
2000,"you can have the books , i need the hat and the balls",,,,,,,,,
2001,gimme books,,,,,,,,,
2002,can i have the book and ball ?,,,,,,,,,
2003,i would like the hat and the ball . you can have the books,,,,,,,,,
2004,if i can have the hats and the book you can have the balls,,,,,,,,,
2005,can i have the balls and one hat ?,,,,,,,,,
2006,all hats 1 ball and the rest yours,,,,,,,,,
2007,i would like the 2 books and you may have the hats and ball .,,,,,,,,,
2008,you take the books and i get the rest,,,,,,,,,
2009,if i can have the books you can have the hat and ball,,,,,,,,,
2010,gimme the books and the hats,,,,,,,,,
2011,"i want the hat and the ball , you can have all the books .",,,,,,,,,
2012,i'd like the ball and some hats . . . you can keep the book and we can talk about the hats,,,,,,,,,
2013,you can have the hat and balls if i can have the 3 books,,,,,,,,,
2014,ill giv eyou the balls,,,,,,,,,
2015,"you take either both books or both hats , i get the other and the ball",,,,,,,,,
2016,hello,,,,,,,,,
2017,"i'd like the books and balls , you can have hats",,,,,,,,,
2018,hat and two balls for me .,,,,,,,,,
2019,i want all the hats,,,,,,,,,
2020,i'd like the ball and two books .,,,,,,,,,
2021,"i'd like to grab a ball , a hat and the book",,,,,,,,,
2022,"hello , i would like a book and a hat . you can have the rest .",,,,,,,,,
2023,i would like the book and 1 hat and 1 ball,,,,,,,,,
2024,"i am going to need 1 ball , 1 hat , and 1 book .",,,,,,,,,
2025,"i'd like both balls , rest is negotiable . thoughts ?",,,,,,,,,
2026,if i can have the balls and the books you can have the ht,,,,,,,,,
2027,give me both hats,,,,,,,,,
2028,"hi , i would like the ball and hats and you can have the book",,,,,,,,,
2029,"hello , ranger , can i have one hat and one ball ?",,,,,,,,,
2030,"hello , if i can have the hats i'll let you have everything else .",,,,,,,,,
2031,i would like the basketballs and books .,,,,,,,,,
2032,ok you take all balls and i keep the rest,,,,,,,,,
2033,"hello ! how about i have the hats and a book , and you can have the balls ?",,,,,,,,,
2034,i'm a cowboy who likes to play basketball while both my horse and i wear hats . whadda ya say ?,,,,,,,,,
2035,i would like 3 books and 1 hat .,,,,,,,,,
2036,i need the hats and the ball,,,,,,,,,
2037,take a book and a ball and i keep many hats,,,,,,,,,
2038,i like to read . could i have all of the books please ?,,,,,,,,,
2039,i'll take the balls and book if you want the hats,,,,,,,,,
2040,i just want two balls,,,,,,,,,
2041,i need the books and 1 hat,,,,,,,,,
2042,could i have the hats and the one ball ?,,,,,,,,,
2043,i would really like the book,,,,,,,,,
2044,the hat and both books to me,,,,,,,,,
2045,can i have the book and 1 hat,,,,,,,,,
2046,"hello , i would like a basketball and a hat .",,,,,,,,,
2047,i would like to offer you two hats,,,,,,,,,
2048,i'll take the hat ?,,,,,,,,,
2049,i would like one of everything .,,,,,,,,,
2050,i think you would look good in those hats if i get the rest,,,,,,,,,
2051,i would like the hat and the books .,,,,,,,,,
2052,i want book and ball,,,,,,,,,
2053,can i have the books and balls ?,,,,,,,,,
2054,i want a book and two hats,,,,,,,,,
2055,i shall have all the hats .,,,,,,,,,
2056,hi . ill take the hats and you can have the rest,,,,,,,,,
2057,i need the hats and the books,,,,,,,,,
2058,give me hat and balls,,,,,,,,,
2059,i would like the books and ball .,,,,,,,,,
2060,i would like everything but you can have a ball or two .,,,,,,,,,
2061,gimme hat and book,,,,,,,,,
2062,i need the book and the hats,,,,,,,,,
2063,i would like three hats and the book .,,,,,,,,,
2064,give me balls and 2 books,,,,,,,,,
2065,"hi there . id like all the books , and you can have the rest .",,,,,,,,,
2066,"i'd like the hat , the rest to you",,,,,,,,,
2067,hi there ! i'd really be happiest if i can have all 3 books and the ball .,,,,,,,,,
2068,what would you like,,,,,,,,,
2069,i would like 2 balls,,,,,,,,,
2070,ill take the hat and two balls and leave you the books ?,,,,,,,,,
2071,i will take the hat and the book,,,,,,,,,
2072,gimme the book,,,,,,,,,
2073,gimme the balls and a book,,,,,,,,,
2074,give me the balls and hat,,,,,,,,,
2075,can i get one book the hat and one ball,,,,,,,,,
2076,"hello . i'd like the ball and either two hats , or two books .",,,,,,,,,
2077,i want the books and hats,,,,,,,,,
2078,i would like the ball and one book atleast,,,,,,,,,
2079,hey there . . . i'd like the book and balls - will the hats be of value to you ?,,,,,,,,,
2080,i would like the hats .,,,,,,,,,
2081,gimme the hat you take rest,,,,,,,,,
2082,how about you take the ball,,,,,,,,,
2083,i need 2 balls and the hat,,,,,,,,,
2084,can i have the hats and you get the rest ?,,,,,,,,,
2085,i would like the 2 books please,,,,,,,,,
2086,take all the balls i keep everything else,,,,,,,,,
2087,i would like the balls and the hats,,,,,,,,,
2088,hey there . i'll take the hat and 2 balls you take the rest ?,,,,,,,,,
2089,i need two balls and the book,,,,,,,,,
2090,hi i would like the books and balls and you can have the hat,,,,,,,,,
2091,what would you like,,,,,,,,,
2092,"i'll take the hat and ball , ok ?",,,,,,,,,
2093,i would like your books,,,,,,,,,
2094,i just want the hats . . . i'm bald,,,,,,,,,
2095,i would like the hat and the book please .,,,,,,,,,
2096,"you take the hats , i take the book and balls",,,,,,,,,
2097,i would like the book and basketball you can have the 3 hats,,,,,,,,,
2098,i would like 2 balls and 2 hats,,,,,,,,,
2099,if i can have the hat and the balls you can have the books,,,,,,,,,
2100,i would like the basketball and the books you can have the hats,,,,,,,,,
2101,"i'm interested in the book and both balls , or the book and one hat",,,,,,,,,
2102,"hi , can i have the books ?",,,,,,,,,
2103,gimme the book and one hat,,,,,,,,,
2104,id like a book and a hat .,,,,,,,,,
2105,"hello , how about the ball and 2 hats for me , 2 hats and the book for you ?",,,,,,,,,
2106,it's very important to me to get the basketball . it has a lot of sentimental value to me . i'll give you three books for it .,,,,,,,,,
2107,ill take the hats and you can have the rest,,,,,,,,,
2108,"i need the ball and book , you can have the three hats",,,,,,,,,
2109,"can i have the hat , two balls and one book ?",,,,,,,,,
2110,i need the book and two balls,,,,,,,,,
2111,i'll take the hats . you can have the rest .,,,,,,,,,
2112,i would like 2 books . you can have the rest,,,,,,,,,
2113,i'll take the ball and the book,,,,,,,,,
2114,i want the hats and balls,,,,,,,,,
2115,i want the hat and 2 balls . you can have the other 2 balls and the book,,,,,,,,,
2116,i need the hat and a book,,,,,,,,,
2117,i want all the balls and the book,,,,,,,,,
2118,"i'll take the book and the hat , and one ball and you can have the rest of the balls",,,,,,,,,
2119,can i have the hats and a book please ?,,,,,,,,,
2120,i can give you both books,,,,,,,,,
2121,id like the book and the rest for you,,,,,,,,,
2122,i need the balls and one book,,,,,,,,,
2123,i'll take 3 books and a ball,,,,,,,,,
2124,i would like the hats and book please,,,,,,,,,
2125,if i can have the book and the ball i will give you the hats,,,,,,,,,
2126,if i can have the books you can have everything else,,,,,,,,,
2127,i want both hats and the book,,,,,,,,,
2128,"i would like the ball , and one book , if that's okay ?",,,,,,,,,
2129,"hi , can i have the 2 balls and a hat ?",,,,,,,,,
2130,i'd like 1 of each please,,,,,,,,,
