index,sentences,template
6662,as a last resort . i'll give you everything if i can have the hat .,_need (_hats:1 ) _offer (_books:rest _hats:rest _balls:rest) 
6681,alright deal .,_deal 
6694,and book to me .,_need (_books:1 ) 
6724,all th books and 1 hat for you,_offer (_books:all _hats:1 ) 
6777,1 ball and 1 hat for me !,_need (_hats:1 _balls:1) 
6842,agreed with the no deal .,_nodeal 
6849,a book and a hat seems pretty fair . two items to four,_misc (_books:1 _hats:1 ) 
6856,alright deal,_deal 
6890,no deal is it .,_nodeal 
6895,are you sure you cant come off the ball ?,_need (_balls:1) 
6930,books and two hats for you and that's a deal .,_offer (_books:all _hats:2 ) 
6931,ball and books for me,_need (_books:all _balls:1) 
6954,nd,_nodeal 
6957,at least give me one ball and the books then,_need (_books:all _balls:1) 
7003,"book and ball for me , hats for you then",_need (_books:1 _balls:1) _offer (_hats:all ) 
7011,aint gonna fly i need the hat and something else .,_counteroffer _need (_books:? _hats:1 _balls:?) 
7040,"2 books , 1 hat",_misc (_books:2 _hats:1 ) 
7074,and you don't want anything else ? can you give up one of the balls ?,_need (_balls:1) 
7079,2 hats .,_misc (_hats:2 ) 
7080,2 hats and you get everything else final offer .,_need (_hats:2 ) _offer (_books:rest _hats:rest _balls:rest) 
7096,book is zero to me .,_need (_books:0 ) 
7097,2 hats and ball for me ; book and 1 hat for you ? fair ?,_need (_hats:2 _balls:1) _offer (_books:1 _hats:1 ) 
7115,ball are zeros so lets split the books and hats,_need (_books:1 _hats:1 ) _offer (_books:1 _hats:1 ) 
7116,and one hat,_misc (_hats:1 ) 
7122,"1 one and the books , or both hats final offer",_need (_books:all _hats:1 ) 
7131,basketball,_misc (_balls:1) 
7140,"all hats to me , everything else to you",_need (_hats:all ) _offer (_books:rest _hats:rest _balls:rest) 
7164,any chance you'll take the ball and 1 book ? i take hats and 1 book ?,_need (_books:1 _hats:all ) _offer (_books:1 _balls:1) 
7170,"ok , thanks",_deal 
7248,and i have the books and the balls ?,_need (_books:all _balls:all) 
7283,2 hats 1 ball and one book .,_misc (_books:1 _hats:2 _balls:1) 
7309,ball and a book,_misc (_books:1 _balls:1) _offer (_books:rest _hats:rest _balls:rest) 
7410,all the books but i need the hat an dthe ball,_need (_hats:1 _balls:1) _offer (_books:all ) 
7426,books and balls for me,_need (_books:all _balls:all) 
7428,and i get only the hat ? give me at least one more item,_counteroffer _need (_books:? _hats:1 _balls:?) 
7441,"as said , no ball for me no deal",_need (_balls:1) 
7461,and we split the books ?,_need (_books:1 ) _offer (_books:1 ) 
7481,deal . you can have the rest .,_deal 
7507,"2 books and the hat to you , one book and the ball to me ?",_need (_books:1 _balls:1) _offer (_books:2 _hats:1 ) 
7511,"actually , i was thinking it's not fair to take all of the books . i'll take 2 books and 1 basketball . you can have 1 hat and 1 book !",_need (_books:2 _balls:1) _offer (_books:1 _hats:1 ) 
7513,are you sure i can't have the ball ? how about i take the ball and 2 books .,_need (_books:2 _balls:1) 
7536,ball is out,_misc (_balls:1) 
7537,"ball is five , i can't",_nodeal 
7583,ball and hat to me,_need (_hats:1 _balls:1) 
7598,yes ?,_deal 
7627,6 / 10 is too low . . . . . 7 / 10 is safe,_nodeal 
7641,and i can have the rest ? deal .,_need (_books:rest _hats:rest _balls:rest) 
7681,2 balls and the book . and i`ll take 2 hats,_misc (_books:1 _balls:2) _need (_hats:2 ) 
7747,no how,_nodeal 
7790,agreed !,_deal 
7798,3 books and one hat to me or no deal,_need (_books:3 _hats:1 ) 
7820,and i get the rest ? deal,_need (_books:rest _hats:rest _balls:rest) 
7885,yeah no,_nodeal 
7960,ball and three books for me then .,_need (_books:3 _balls:1) 
8013,"agreed , sometimes it stalls very early , legit",_deal 
8068,and i keep one book then,_need (_books:1 ) 
8078,1 book and 2 balls for each . who gets the hat ?,_misc (_hats:1 ) _need (_books:1 _balls:2) _offer (_books:1 _balls:2) 
8138,"alright hats and balls for you , books for me .",_yes _need (_books:all ) _offer (_hats:all _balls:1) 
8197,"a need two hats and a balls , please",_need (_hats:2 _balls:1) 
8200,book and hat for me you get all 3 balls .,_need (_books:1 _hats:1 ) _offer (_balls:all) 
8211,"alright , alright - you can have the book . i will take all the rest .",_deal _need (_books:rest _hats:rest _balls:rest) _offer (_books:1 ) 
8252,2 balls and book,_misc (_books:1 _balls:2) 
8253,3 balls to me,_need (_balls:3) 
8260,"and so would i , ill give up the book if i get the hat",_need (_hats:1 ) _offer (_books:1 ) 
8315,"all i really want is the hat . you can have the rest , including the two ball",_need (_hats:1 ) _offer (_books:rest _hats:rest _balls:rest) 
8378,1 book for 2 balls,_need (_books:1 ) _offer (_balls:2) 
8379,1 book for 1 ball then,_need (_books:1 ) _offer (_balls:1) 
8476,ball must be mine,_need (_balls:1) 
8490,ball is 7 points for me sorry cant let it go,_need (_balls:1) 
8507,"alas , not going to work , we'll have to do no deal",_nodeal 
8570,and my grandma also needs a hat,_need (_hats:1 ) 
8572,"alright , down the middle then ? one of each ?",_deal _need (_books:1 _hats:1 _balls:1) _offer (_books:1 _hats:1 _balls:1) 
8589,alright well if i can have all the hats and a ball .,_counteroffer _need (_hats:all _balls:1) 
8604,books are 0 for me . i can 1 hat and 1 ball or just 2 balls .,_need (_books:0 _hats:1 _balls:1) 
8659,no deal it is .,_nodeal 
8678,actually i wanted both books and will split the rest however you want,_need (_books:2 ) 
8684,"again , i'm going for fair or no deal . 3 items each , 1 of them being a book .",_counteroffer _need (_books:1 ) 
8713,books and hats and balls : x,_misc (_books:all _hats:all _balls:all) 
8714,1 ball then,_misc (_balls:1) 
8733,2 balls and 2 books please,_need (_books:2 _balls:2) 
8764,agreed no deal .,_nodeal 
8820,3 hats for the book,_need (_hats:3 ) _offer (_books:1 ) 
8922,agree to that deal,_deal 
8930,books and hats for me,_need (_books:all _hats:all ) 
8964,"ball is worthless to me , can i have one book and one hat",_need (_books:1 _hats:1 _balls:0) 
8999,alright i will take all the balls and the books . you can just have the hat .,_need (_books:all _balls:all) _offer (_hats:1 ) 
9126,how about no,_nodeal 
9129,all of the books and one ball,_misc (_books:all _balls:1) 
9134,yup works for me,_deal 
9141,"alright , deal . thank you !",_deal _thanks 
9163,are the books of any value to you ? i can definitely give you the ball . i would prefer to have both hats .,_misc (_books:all ) _need (_hats:2 ) _offer (_balls:1) 
9229,alrighty then .,_deal 
9263,book and hats for me,_need (_books:1 _hats:all ) 
9287,"1 book and 3 balls for you , 2 hats for me .",_need (_hats:2 ) _offer (_books:1 _balls:3) 
9320,alright i get 1 book and 1 hat you get 2 hats and 1 ball deal .,_yes _need (_books:1 _hats:1 ) _offer (_hats:2 _balls:1) 
9370,"alright , i can deal . . . with that . lol",_deal 
9384,deal . you can have the hats,_deal 
9476,ball is 5 points for me . everything else is 5 points together . i don't deal for less than 5 / 10 .,_need (_balls:1) 
9557,and i get the rest ? deal .,_need (_books:rest _hats:rest _balls:rest) 
9574,2 balls and that is the most i can do,_offer (_hats:1 _balls:2) 
9585,deal . thanks,_deal _thanks 
9609,"okay , deal",_deal 
9610,a ball and two books is what i need . nothing less .,_need (_books:2 _balls:1) 
9645,alright . i will take the books and you can have the rest,_yes _need (_books:all ) _offer (_books:rest _hats:rest _balls:rest) 
9656,"all hats to you , rest to me",_need (_books:rest _hats:rest _balls:rest) _offer (_hats:all ) 
9669,balls are 4 points for me . no deal .,_nodeal 
9682,and i need 1 ball,_need (_balls:1) 
9791,"books , hat and 1 ball for me deal",_need (_books:all _hats:1 _balls:1) 
9811,all i want are the hats you can have the rest,_need (_hats:all ) _offer (_books:rest _hats:rest _balls:rest) 
9828,mmm deal,_deal 
9837,any chance i can get 2 hats and the ball ?,_need (_hats:2 _balls:1) 
9860,"alright , i'll settle for that deal .",_deal 
9890,okay thanks,_deal 
9903,"1 book , 1 hat and 1 ball",_misc (_books:1 _hats:1 _balls:1) 
9965,book and one hat to me,_need (_books:1 _hats:1 ) 
9984,2 books and a hat to me,_need (_books:2 _hats:1 ) 
9988,best offer is i settle for 2 books,_need (_books:2 ) 
10012,"yup no deal , how about i get the ball and you keep the rest",_counteroffer _need (_balls:1) _offer (_books:rest _hats:rest _balls:rest) 
10143,"2 books for me 1 ball , deal",_need (_books:2 _balls:1) 
10205,books and balls,_misc (_books:all _balls:all) 
10206,1 ball and one book for me,_need (_books:1 _balls:1) 
10216,"book is even more valuable to me , its a gift from grandfather . book and 3 hats to me , rest to you .",_need (_books:1 _hats:3 ) _offer (_books:rest _hats:rest _balls:rest) 
10223,and i can get the rest ?,_need (_books:rest _hats:rest _balls:rest) 
10259,1 book and 1 ball for me .,_need (_books:1 _balls:1) 
10263,1 ball and a hat,_misc (_hats:1 _balls:1) 
10365,"yes , thanks",_deal 
10412,are you willing to take one of the hats instead of the book ?,_offer (_books:0 _hats:1 ) 
10432,2 hats for me and the rest for you ? i think i'd be able to deal with that .,_need (_hats:2 ) _offer (_books:rest _hats:rest _balls:rest) 
10449,"alright . you can take the hat . i'll take two balls , i don't need any books at this time .",_yes _need (_books:0 _balls:2) _offer (_hats:1 ) 
10470,"alright deal , thank you .",_deal _thanks 
10481,"balls and hat to me , book to you",_need (_hats:1 _balls:all) _offer (_books:1 ) 
10492,any chance you want all four books while i take that hat and ball,_need (_hats:1 _balls:1) _offer (_books:all ) 
10495,and two books and a hat for me ? that's good w me !,_yes _need (_books:2 _hats:1 ) 
10515,are you serious ? no way . i want 3 books and the hat,_counteroffer _need (_books:3 _hats:1 ) 
10546,a ball for the hat instead then ?,_need (_hats:1 ) _offer (_balls:1) 
10577,are the balls valuable to you ?,_misc (_balls:all) 
10610,1 book 3 balls for me,_need (_books:1 _balls:3) 
10621,deal . thank you !,_deal _thanks 
10624,all hats 1 ball and the rest yours,_need (_hats:all _balls:1) _offer (_books:rest _hats:rest _balls:rest) 
10625,3 hats 1 ball,_misc (_hats:3 _balls:1) 
10679,balls are 1 point for me . no deal .,_nodeal 
10683,4 balls 1 book thats it,_misc (_books:1 _balls:4) 
10804,"""no deal was agreed"" is unclickable for me",_nodeal 
10828,2 books and 1 hat,_misc (_books:2 _hats:1 ) 
10842,"best offer i can make is i get the book , you get everything else .",_need (_books:1 ) _offer (_books:rest _hats:rest _balls:rest) 
10908,1 book and 1 hat is all i can give you,_offer (_books:1 _hats:1 ) 
10941,no nice,_nodeal 
10969,"alright , that'll be the best we can do .",_deal 
10979,and i get the books ?,_need (_books:all ) 
11002,and i'll take the rest ?,_need (_books:rest _hats:rest _balls:rest) 
11044,and i get the ball and one book ?,_need (_books:1 _balls:1) 
11065,"along with hat , deal",_misc (_hats:1 ) 
11162,afraid we aren't going to make a deal on this one,_nodeal 
11195,and the hat for me ?,_need (_hats:1 ) 
11236,ball and all the hats,_misc (_hats:all _balls:1) 
11256,add a ball and you have a deal,_misc (_balls:1) 
11258,"1 book , 2 balls",_misc (_books:1 _balls:2) 
11314,"alright , that sounds good .",_deal 
11379,a book and three hats for me ?,_need (_books:1 _hats:3 ) 
11382,book and a hat for me,_need (_books:1 _hats:1 ) 
11401,and i get 1 ball ? no . i'll take the book and balls,_counteroffer _need (_books:1 _balls:all) 
11402,book and balls,_misc (_books:1 _balls:all) 
11407,2 balls and the book .,_misc (_books:1 _balls:2) 
11473,"agreed , yes",_deal 
11476,3 books 1 ball 2 hats,_misc (_books:3 _hats:2 _balls:1) 
11511,best i can do is guve you a hat and a book i know im being alittle selfish,_offer (_books:1 _hats:1 ) 
11531,and i get the hat ?,_need (_hats:1 ) 
11538,an icecream and the book and three balls,_misc (_books:1 _balls:3) 
11628,awesome .,_deal 
11648,any of your deals screw me .,_nodeal 
11730,"3 hats and one ball for you , how about this ? : d",_offer (_hats:3 _balls:1) 
11742,"alright , 2 books 2 balls for me , 3 hats for you . thank you .",_deal _need (_books:2 _balls:2) _offer (_hats:3 ) 
11752,ok . thanks,_deal 
11795,books are 0 for me - no deal,_nodeal _need (_books:0 ) 
11811,"all books to me , you have all the rest",_need (_books:all ) _offer (_books:rest _hats:rest _balls:rest) 
11869,agreed i will take the three books,_deal _need (_books:3 ) 
11876,"ball and hat for me , deal",_need (_hats:1 _balls:1) 
11888,alright so i will take the hat and you get 3 books and the ball deal ?,_need (_hats:1 ) _offer (_books:3 _balls:1) 
11895,"okay , thanks .",_deal 
11969,agreed . i get 2 books and a hat .,_deal _need (_books:2 _hats:1 ) 
11981,balls are 0 to me . i can do the book and 1 hat or just both hats .,_need (_books:1 _hats:1 _balls:0) 
12081,2 hats and a ball for me ?,_need (_hats:2 _balls:1) 
12120,a hat and a book is more than fair here .,_misc (_books:1 _hats:1 ) 
12146,a bit costly to me,_nodeal 
12170,book is ten,_need (_books:1 ) 
12200,2 hats 1 book,_misc (_books:1 _hats:2 ) 
12203,2 hats and a ball ?,_misc (_hats:2 _balls:1) 
12204,2 hats and 2 books ?,_misc (_books:2 _hats:2 ) 
12207,ball is 10 for me . that's the only deal i can do .,_need (_balls:1) 
12221,all the books and all the hats,_misc (_books:all _hats:all ) 
12223,balls are worth a lot for me so i won't trade it,_need (_balls:all) 
12347,"are you asking me ? yes , i'd like the book and balls .",_need (_books:1 _balls:all) 
12359,books and hats for me ?,_need (_books:all _hats:all ) 
12361,"book and a ball , thats good for you",_offer (_books:1 _balls:1) 
12431,1 ball and 1 hat is the best i can do,_misc (_hats:1 _balls:1) 
12467,book and ball are worth too much to me,_need (_books:1 _balls:1) 
12490,balls have a value of 0 on my end,_need (_balls:0) 
12492,6 / 10 is a weak hand . . . . we should pass on this deal,_nodeal 
12494,! of each for me,_need (_books:1 _hats:1 _balls:1) 
12508,alright i will take the hat and the book . you take all of the balls .,_need (_books:1 _hats:1 ) _offer (_balls:all) 
12560,are you able to give up one ball ?,_need (_balls:1) 
12569,balls are 0,_need (_balls:0) 
12606,"better than less than half the point , i suppose . i'll take it .",_deal 
12626,all i want is the ball,_need (_balls:1) 
12631,1 hat,_misc (_hats:1 ) 
12639,any chance i can get 1 book instead of 1 hat ?,_need (_books:1 _hats:0 ) 
12645,2 hats 1 ball,_misc (_hats:2 _balls:1) 
12697,1 book and 1 hat,_misc (_books:1 _hats:1 ) 
12791,no thats it,_nodeal 
12793,1 book isnt woth 4 points . . im was only offering you 1 book,_offer (_books:1 ) 
12822,"1 ball , hat , 1 book",_misc (_books:1 _hats:1 _balls:1) 
12865,2 hats 1 ball 1 book for m,_need (_books:1 _hats:2 _balls:1) 
12918,"alright , 2 balls and 1 hat for you , 1 book and 3 hats for me .",_deal _need (_books:1 _hats:3 ) _offer (_hats:1 _balls:2) 
12943,5 basketballs,_misc (_balls:5) 
12957,"1 ball , 1 book , 1 hat for me ?",_need (_books:1 _hats:1 _balls:1) 
12975,any chance you'll accept just 1 hat ?,_offer (_books:0 _hats:1 _balls:0) 
13070,"bad deal for me , gimme hat and 2 balls",_counteroffer _need (_hats:1 _balls:2) 
13074,"agreed , i have hat and 1 ball .",_deal _need (_hats:1 _balls:1) 
13185,all the books how about ?,_misc (_books:all ) 
13244,"alright . so ill take the hats and the ball , and you can have the books .",_yes _need (_hats:all _balls:1) _offer (_books:all ) 
13260,4 / 10 is no deal for me . . . . . .,_nodeal 
13322,ball 6 books 2 hats 0,_misc (_books:2 _balls:6) 
13349,1 ball 1 book,_misc (_books:1 _balls:1) 
13350,1 ball 2 books,_misc (_books:2 _balls:1) 
13430,ok dealz,_deal 
13431,1 book and 1 hat for you . 1 ball 2 hats for me . ok deal .,_need (_hats:2 _balls:1) _offer (_books:1 _hats:1 ) 
13517,"3 hats , 1 book . deal ?",_misc (_books:1 _hats:3 ) 
13576,and i'll take the book and 2 hats . that will work !,_yes _need (_books:1 _hats:2 ) 
13605,"4 : 1 isn't fair , can i atleast have the book and ball , you can have all the hats",_counteroffer _need (_books:1 _balls:1) _offer (_hats:all ) 
13615,4 points . if i do books i have to have 2 hats .,_misc (_books:all ) _need (_hats:2 ) 
13664,"balls are worthless to me , i need a hat",_need (_hats:1 _balls:0) 
13735,and the hat,_misc (_hats:1 ) 
13752,1 only need the hat and ball,_need (_hats:1 _balls:1) 
13767,"a sword , and a magic fairy . plus one basketball .",_misc (_balls:1) 
13848,balls have no value to me,_need (_balls:0) 
13874,"3 hats for me , or 2 hats and the book",_misc (_books:1 _hats:2 ) _need (_hats:3 ) 
13927,"books and a hat , work with me here .",_misc (_books:all _hats:1 ) 
14029,"alright , so in that case ; will you concede to earning 5 points each by splitting the balls as i had originally suggested or waste our time here tonight ? : )",_need (_balls:1) _offer (_balls:1) 
14091,deal . thanks !,_deal _thanks 
14108,"alright ,",_deal 
14118,ball and 2 books for me,_need (_books:2 _balls:1) 
14169,2 hats and 1 book then,_misc (_books:1 _hats:2 ) 
14269,1 ball and 1 book for me ? deal,_need (_books:1 _balls:1) 
14380,"all hats to you , book and balls to me",_need (_books:all _balls:all) _offer (_hats:all ) 
14405,all books for you and we call it even,_offer (_books:all ) 
14408,all books and the ball or hat,_misc (_books:all _hats:? _balls:?) 
14447,alright if i give you the ball then i take the rest .,_need (_books:rest _hats:rest _balls:rest) _offer (_balls:1) 
14456,all the hats ?,_misc (_hats:all ) 
14500,and i can take everything else ?,_need (_books:rest _hats:rest _balls:rest) 
14504,"book , two hats and one ball",_misc (_books:1 _hats:2 _balls:1) 
14558,"agreed , need hat or no deal",_counteroffer _need (_hats:1 ) 
14640,ball and two books,_need (_books:2 _balls:1) 
14776,book and hats,_misc (_books:1 _hats:all ) 
14777,book is mine or no deal,_need (_books:1 ) 
14817,all balls and either the hats or books to me,_need (_balls:all) 
14842,basketball and 4 books for me . hat for you ?,_need (_books:4 _balls:1) _offer (_hats:1 ) 
14845,4 books and the ball ?,_misc (_books:4 _balls:1) 
14958,"alright , alright - you take the books and the ball . i will ride off on my horse with that hat .",_deal _need (_hats:1 ) _offer (_books:all _balls:1) 
15115,alright no deal .,_nodeal 
15147,"alright then , i will take the balls and you can have the rest .",_need (_balls:all) _offer (_books:rest _hats:rest _balls:rest) 
15149,all the books and all the balls,_misc (_books:all _balls:all) 
15182,best i can do is book and 2 hats or book and 2 balls,_misc (_books:1 _hats:2 ) 
15191,book and two hats for me,_need (_books:1 _hats:2 ) 
15202,"all the hats and the book , you get the ball .",_need (_books:1 _hats:all ) _offer (_balls:1) 
15245,balls and one hat for me,_need (_hats:1 _balls:all) 
15308,"alright . is it 0 or minimal value ? i'll take books , but we need to know who gets the hat . i don't need it .",_yes _need (_books:all _hats:0 ) 
15324,2 hats for 1 book and 2 balls,_need (_hats:2 ) _offer (_books:1 _balls:2) 
15325,3 hats for 1 book and 2 balls,_need (_hats:3 ) _offer (_books:1 _balls:2) 
15327,1 book and 1 ball for me,_need (_books:1 _balls:1) 
15330,book and 2 hats for me,_need (_books:1 _hats:2 ) 
15331,all hats and balls for me,_need (_hats:all _balls:all) 
15443,and you get the 3 books ?,_offer (_books:3 ) 
15521,best i can do is the hat and all three books .,_misc (_books:3 _hats:1 ) 
15634,1 hat and the balls for you ?,_offer (_hats:1 _balls:all) 
15676,3 balls and 1 book,_misc (_books:1 _balls:3) 
15749,books and one hat to me,_need (_books:all _hats:1 ) 
15804,ball for you and rest for me . . . . deal,_need (_books:rest _hats:rest _balls:rest) _offer (_balls:1) 
15815,"a ball , 2 hats , and a side of slaw",_misc (_hats:2 _balls:1) 
15844,okay thanks .,_deal 
15855,"all hats to me , you have rest",_need (_hats:all ) _offer (_books:rest _hats:rest _balls:rest) 
15902,all books and ball to me,_need (_books:all _balls:all) 
15915,any chance i can have the book and 2 hats ?,_need (_books:1 _hats:2 ) 
15974,and i get the hat,_need (_hats:1 ) 
16073,"awesome , deal .",_deal 
16141,bet no deal,_nodeal 
16199,and i told you no .,_nodeal 
16258,"book is 7 for me , so no",_counteroffer _need (_books:1 ) 
16259,indeed,_deal 
16283,"ball and book to me , else to you",_need (_books:1 _balls:1) _offer (_books:rest _hats:rest _balls:rest) 
16285,ball you can have the rest,_need (_balls:1) _offer (_books:rest _hats:rest _balls:rest) 
16300,"again , i get 2 balls and 1 hat and then i have 3 items and you have 4",_need (_hats:1 _balls:2) 
16392,alright i'll take a hat and a book,_need (_books:1 _hats:1 ) 
16396,awesome . pleasure doing business with you .,_deal 
16405,yup no deal,_nodeal 
16422,3 balls ? gimme hats and book,_need (_books:1 _hats:all ) _offer (_balls:3) 
16447,and i get the hat and basketballs ?,_need (_hats:1 _balls:all) 
16543,balls and hat then,_misc (_hats:1 _balls:all) 
16557,alright then it wont work,_nodeal 
16560,"ball to me , along with 3 hats",_need (_hats:3 _balls:1) 
16599,are you taking the hat or book ?,_offer (_books:? _hats:? ) 
16600,"actually that was a typo on my end , sorry . i'll take the 1 hat and the 1 ball , you take the 3 books ?",_need (_hats:1 _balls:1) _offer (_books:3 ) 
16615,1 hat and 1 ball,_misc (_hats:1 _balls:1) 
16646,add another ball and we call it the,_misc (_balls:1) 
16679,"all balls to me , the rest to you",_need (_balls:all) _offer (_books:rest _hats:rest ) 
16711,agreed . now just waiting for the button .,_deal 
16737,2 balls and the hat .,_misc (_hats:1 _balls:2) 
16767,and the hat ?,_misc (_hats:1 ) 
16777,"alright then , i will take 2 books and you can have the rest .",_need (_books:2 ) _offer (_books:rest _hats:rest _balls:rest) 
16804,"ball to you , rest to me",_need (_books:rest _hats:rest _balls:rest) _offer (_balls:1) 
16824,1 book 4 hat 1 ball,_misc (_books:1 _hats:4 _balls:1) 
16842,: / that doesn't add up for me . i guess you can have the rest if i get the hat,_counteroffer _need (_hats:1 ) _offer (_books:all _balls:all) 
16890,all i want is the hats .,_need (_hats:all ) 
16930,any chance you'll take the hat and two books and leave me one book and two balls ?,_need (_books:1 _balls:2) _offer (_books:2 _hats:1 ) 
16988,agreed i will take the rest,_deal _need (_books:rest _hats:rest _balls:rest) 
17060,are we agreeing on no deal,_nodeal 
17137,balls and hats to me,_need (_hats:all _balls:all) 
17157,book is my sine qua non too,_need (_books:1 ) 
17214,"alright , you can have the rest , deal ?",_offer (_books:rest _hats:rest _balls:rest) 
17237,1 ball,_misc (_balls:1) 
17312,all the hats to you for both balls and the book,_need (_books:1 _balls:all) _offer (_hats:all ) 
17372,"0 , they are worth 0 . i need ball .",_need (_balls:all) 
17402,2 hats and a book for me,_need (_books:1 _hats:2 ) 
17421,"agreed , you get the hats and a book , i get the ball and a book .",_deal _need (_books:1 _balls:1) _offer (_books:1 _hats:all ) 
17427,"ball worth little , gimme hat and 2 books",_need (_books:2 _hats:1 ) 
17436,and i need one hat and 1 book,_need (_books:1 _hats:1 ) 
17493,and still no deal,_nodeal 
17508,"book i ment sorry , 2 books for me rrest for you",_need (_books:2 ) _offer (_books:rest _hats:rest _balls:rest) 
17593,all i need is the ball,_need (_balls:all) 
17643,1 hat 1 book 1 ball and you tak the rest,_need (_books:1 _hats:1 _balls:1) _offer (_books:rest _hats:rest _balls:rest) 
17644,2 books 1 hat 1 ball,_misc (_books:2 _hats:1 _balls:1) 
17646,allbooks all hats and you th ball,_need (_books:all _hats:all ) _offer (_balls:1) 
17647,2 hats 1 ball for u,_offer (_hats:2 _balls:1) 
17692,are the books not worth for you ?,_misc (_books:all ) 
17705,"again , we have different values to each item . i'm open to a counter offer . i am treating you with respect and i would appreciate the same from you .",_nodeal 
17706,deal . you see how we can work together ? hope you have a wonderful and blessed day !,_deal 
17707,are you kidding ? this is not how this works,_nodeal 
17710,"same , thanks",_deal 
17719,all you want is the hats and i can take everything else ?,_need (_books:rest _hats:rest _balls:rest) _offer (_hats:all ) 
17727,2 hats and a ball or 2 balls and a hat .,_misc (_hats:2 _balls:1) 
17730,alright 1 hat and 1 ball for me and you get the rest,_yes _need (_hats:1 _balls:1) _offer (_books:rest _hats:rest _balls:rest) 
17733,as long as i can have everything else ?,_need (_books:rest _hats:rest _balls:rest) 
17816,balls are 0 . hat is 1 .,_need (_balls:0) 
17877,balls are 0 - no hat no deal,_need (_hats:1 _balls:0) 
17912,2 balls 1 hat for me,_need (_hats:1 _balls:2) 
17926,"alright , i take book and 1 ball ; you take hats and 1 ball ?",_deal _need (_books:1 _balls:1) _offer (_hats:all _balls:1) 
17941,alright . i will give you the book and 2 hats .,_yes _offer (_books:1 _hats:2 ) 
18007,a book and a ball .,_misc (_books:1 _balls:1) 
18040,book mine or no deal,_need (_books:1 ) 
18128,book and 4 hats for me will work,_need (_books:1 _hats:4 ) 
18142,alright . i guess i'll take the hat .,_yes _need (_hats:1 ) 
18154,"balls are nothing to me , need hat and 1 book",_need (_books:1 _hats:1 _balls:0) 
18217,"are you able to select ""no deal was agreed"" ?",_nodeal 
18250,book and one hat for me,_need (_books:1 _hats:1 ) 
18272,all i can give you is hats and one ball,_offer (_hats:all _balls:1) 
18286,alright i will take the book . you take the rest .,_need (_books:1 ) _offer (_books:rest _hats:rest _balls:rest) 
18287,book only,_misc (_books:1 ) 
18350,beautiful,_deal 
18360,"2 books for me , you can have all the rest",_need (_books:2 ) _offer (_books:rest _hats:rest _balls:rest) 
18479,alright 1 hat and 2 books deal,_yes _misc (_books:2 _hats:1 ) 
18487,2 books and a hat please .,_need (_books:2 _hats:1 ) 
18509,deal 4 hats for you and 1 book and 1 ball for me,_deal 
18536,2 hats and a ball or the book,_misc (_books:? _hats:2 _balls:?) 
18683,"agree , no deal",_nodeal 
18743,"1 ball , 1 hat and 2 books for me",_need (_books:2 _hats:1 _balls:1) 
18793,": ) okay , you can have the ball , i'll take the hat and the 3 books",_deal _need (_books:3 _hats:1 ) _offer (_balls:1) 
18794,2 balls . . . you can have everything else,_need (_balls:2) _offer (_books:rest _hats:rest _balls:rest) 
18891,books and one ball for me,_need (_books:all _balls:1) 
18919,2 hats and one book for one ball,_need (_books:1 _hats:2 ) _offer (_books:1 ) 
19027,all three hats,_misc (_hats:3 ) 
19047,all i want is the hat . . but its unfortunately non - negotiable . . . . all 10 points for me are the hat,_need (_hats:1 ) 
19048,"as i said , , , the hat is 10 for me , the book and balls are 0 . . . so if no hat for me we're done . . . sorry , , , , its a weird one",_nodeal 
19103,"ball , book , hat",_misc (_books:1 _hats:1 _balls:1) 
19122,yup !,_deal 
19166,agreed . which means i get two books and the ball .,_deal _need (_books:2 _balls:1) 
19198,agreed i will take that deaa,_deal 
19233,"alright , thank you !",_deal _thanks 
19243,"and i will take the rest , good deal",_need (_books:rest _hats:rest _balls:rest) 
19290,books and hats to me,_need (_books:all _hats:all ) 
19302,"balls to you , the rest to me",_need (_books:rest _hats:rest _balls:rest) _offer (_balls:all) 
19392,any way you will take the hat and the ball instead ?,_offer (_books:0 _hats:1 _balls:1) 
19448,"2 hats and book for me , rest for you",_need (_books:1 _hats:2 ) _offer (_books:rest _hats:rest _balls:rest) 
19461,"and i will take the hat and the book , good deal",_yes _need (_books:1 _hats:1 ) 
19522,2 balls and 1 hat for me ; the rest is yours,_need (_hats:1 _balls:2) _offer (_books:rest _hats:rest _balls:rest) 
19569,2 hats and 1 ball,_misc (_hats:2 _balls:1) 
19572,2 hats rest for you,_need (_hats:2 ) _offer (_books:rest _hats:rest _balls:rest) 
19638,a little . how about i take two hats and a book and you take the rest ?,_need (_books:1 _hats:2 ) _offer (_books:rest _hats:rest _balls:rest) 
19673,book is mine,_need (_books:1 ) 
19674,and i get one ball,_need (_balls:1) 
19677,"alright , then i get the rest ?",_counteroffer _need (_books:rest _hats:rest _balls:rest) 
19693,alright i'm taking 3 books and the hat .,_need (_books:3 _hats:1 ) 
19716,"book and ball to me , rest to you",_need (_books:1 _balls:1) _offer (_books:rest _hats:rest _balls:rest) 
19729,alright i guess that'll do . it better not be those awful candy hearts though . hats away,_deal 
19749,book and three hats,_misc (_books:1 _hats:3 ) 
19753,book and all hats for me if you get ball,_need (_books:1 _hats:all ) _offer (_balls:all) 
19754,"ball to costly to me , book and all hats is worth less then ball for me",_need (_balls:1) 
19764,"agrred , deal",_deal 
19803,got it thanks,_deal 
