g,dialog,selection,reward,outcome
1 2 1 2 3 2 ,"['YOU: i would like the balls and another item . ', ' THEM: you can have balls and 1 book ', ' YOU: i agree to that . ', ' THEM: ok sounds good . ']", item0=1 item1=0 item2=3 ,8 agree, 1 2 1 8 3 0
2 4 1 2 2 0 ,"['THEM: if i can have the hat and the balls you can have the books ', ' YOU: that sounds okay to me . i agree . ', ' THEM: okay great ! thank you ! ']", item0=2 item1=0 item2=0 ,8 agree, 2 0 1 6 2 2
2 0 1 6 2 2 ,"['YOU: if i can have the hat and the balls you can have the books ', ' THEM: that sounds okay to me . i agree . ', ' YOU: okay great ! thank you ! ']", item0=0 item1=1 item2=2 ,10 agree, 2 4 1 2 2 0
4 0 1 7 1 3 ,"[""YOU: i'll take the hat . you can have the rest . "", ' THEM: sounds good to me ! ']", item0=0 item1=1 item2=0 ,7 agree, 4 1 1 1 1 5
4 1 1 1 1 5 ,"[""THEM: i'll take the hat . you can have the rest . "", ' YOU: sounds good to me ! ']", item0=4 item1=0 item2=1 ,9 agree, 4 0 1 7 1 3
1 6 2 1 2 1 ,"['THEM: i need both hats ', ' YOU: you can have both hats if i get the book and the balls . ', ' THEM: deal ']", item0=1 item1=0 item2=2 ,8 agree, 1 2 2 4 2 0
1 2 2 4 2 0 ,"['YOU: i need both hats ', ' THEM: you can have both hats if i get the book and the balls . ', ' YOU: deal ']", item0=0 item1=2 item2=0 ,8 agree, 1 6 2 1 2 1
2 4 4 0 1 2 ,"['THEM: hi i would like the ball and hats and you can have the books ', ' YOU: sorry , i need the ball and both books ', ' THEM: sorry the best i can offer you is the books and 1 hat ', ' YOU: only way this can work is if i get both books and 2 hats . deal ? ', ' THEM: deal ', ' YOU: thanks ! ']", item0=2 item1=2 item2=0 ,8 agree, 2 1 4 1 1 4
2 1 4 1 1 4 ,"['YOU: hi i would like the ball and hats and you can have the books ', ' THEM: sorry , i need the ball and both books ', ' YOU: sorry the best i can offer you is the books and 1 hat ', ' THEM: only way this can work is if i get both books and 2 hats . deal ? ', ' YOU: deal ', ' THEM: thanks ! ']", item0=0 item1=2 item2=1 ,6 agree, 2 4 4 0 1 2
1 2 3 1 1 5 ,"['THEM: i would like the book and basketball ', ' YOU: i need the ball and 2 hats ', "" THEM: so i'l take the book and 1 hat "", ' YOU: ok ']", item0=0 item1=2 item2=1 ,7 agree, 1 8 3 0 1 2
1 8 3 0 1 2 ,"['YOU: i would like the book and basketball ', ' THEM: i need the ball and 2 hats ', "" YOU: so i'l take the book and 1 hat "", ' THEM: ok ']", item0=1 item1=1 item2=0 ,8 agree, 1 2 3 1 1 5
2 2 3 1 1 3 ,"['THEM: what would you like ', ' YOU: how about you get the hats and i get the rest ? ', "" THEM: my brother's birthday is coming up and i really need the basketball . i will split the rest "", ' YOU: so you just want the ball or did you want something else ? ', ' THEM: i will take the ball and 2 other items of your choice ', ' YOU: sorry , if you get the ball i need a little more to make up for it . how about you get the ball and 1 hat ? ', "" THEM: i'll take that deal ""]", item0=2 item1=2 item2=0 ,6 agree, 2 1 3 1 1 5
2 1 3 1 1 5 ,"['YOU: what would you like ', ' THEM: how about you get the hats and i get the rest ? ', "" YOU: my brother's birthday is coming up and i really need the basketball . i will split the rest "", ' THEM: so you just want the ball or did you want something else ? ', ' YOU: i will take the ball and 2 other items of your choice ', ' THEM: sorry , if you get the ball i need a little more to make up for it . how about you get the ball and 1 hat ? ', "" YOU: i'll take that deal ""]", item0=0 item1=1 item2=1 ,6 agree, 2 2 3 1 1 3
1 0 2 4 2 1 ,"['YOU: i will take 2 hats and 1 ball ', ' THEM: could you get by with just the hats ? ', ' YOU: you can have the balls and the books . and i will take the hats ', ' THEM: deal ']", item0=0 item1=2 item2=0 ,8 agree, 1 8 2 0 2 1
1 8 2 0 2 1 ,"['THEM: i will take 2 hats and 1 ball ', ' YOU: could you get by with just the hats ? ', ' THEM: you can have the balls and the books . and i will take the hats ', ' YOU: deal ']", item0=1 item1=0 item2=2 ,10 agree, 1 0 2 4 2 1
4 1 1 4 1 2 ,"['THEM: all books to me , u have else ', ' YOU: sure ']", item0=0 item1=1 item2=1 ,6 agree, 4 2 1 0 1 2
4 2 1 0 1 2 ,"['YOU: all books to me , u have else ', ' THEM: sure ']", item0=4 item1=0 item2=0 ,8 agree, 4 1 1 4 1 2
1 1 3 3 2 0 ,"[""YOU: i'd like hats . "", "" THEM: i'll take the book and balls ""]", item0=0 item1=3 item2=0 ,9 agree, 1 8 3 0 2 1
1 8 3 0 2 1 ,"[""THEM: i'd like hats . "", "" YOU: i'll take the book and balls ""]", item0=1 item1=0 item2=2 ,10 agree, 1 1 3 3 2 0
3 0 1 9 1 1 ,"['YOU: i want the hat and ball ', ' THEM: ill give you the hat and 1 book ']", item0=1 item1=1 item2=0 ,9 agree, 3 1 1 3 1 4
3 1 1 3 1 4 ,"['THEM: i want the hat and ball ', ' YOU: ill give you the hat and 1 book ']", item0=2 item1=0 item2=1 ,6 agree, 3 0 1 9 1 1
2 0 1 4 2 3 ,"['THEM: hello . ', ' YOU: hi , i would like the hat and balls and you can have the books . ', ' THEM: i would prefer to have the hat , and you can have the balls and books . ', ' YOU: ok , i can do that . ', ' THEM: thanks . ']", item0=2 item1=0 item2=2 ,6 agree, 2 2 1 6 2 0
2 2 1 6 2 0 ,"['YOU: hello . ', ' THEM: hi , i would like the hat and balls and you can have the books . ', ' YOU: i would prefer to have the hat , and you can have the balls and books . ', ' THEM: ok , i can do that . ', ' YOU: thanks . ']", item0=0 item1=1 item2=0 ,6 agree, 2 0 1 4 2 3
2 1 2 2 2 2 ,"['THEM: i would like the 2 balls and the 2 hats . ', "" YOU: can't do it . "", ' THEM: what can you do ? ', ' YOU: 1 of each ? ', ' THEM: i can give you one hat and the two books ? ', ' YOU: ok ', ' THEM: sounds good , 1 hat and 2 books , i keep both balls ? ']", item0=2 item1=1 item2=0 ,4 agree, 2 0 2 2 2 3
2 0 2 2 2 3 ,"['YOU: i would like the 2 balls and the 2 hats . ', "" THEM: can't do it . "", ' YOU: what can you do ? ', ' THEM: 1 of each ? ', ' YOU: i can give you one hat and the two books ? ', ' THEM: ok ', ' YOU: sounds good , 1 hat and 2 books , i keep both balls ? ']", item0=0 item1=1 item2=2 ,8 agree, 2 1 2 2 2 2
1 4 2 2 2 1 ,"[""THEM: i'd like the book and a hat , you keep the rest ? "", ' YOU: ok ', ' THEM: i do agree on this , but is there any chance the balls are 5 / 5 for you ? ']", item0=0 item1=1 item2=2 ,4 agree, 1 6 2 2 2 0
1 6 2 2 2 0 ,"[""YOU: i'd like the book and a hat , you keep the rest ? "", ' THEM: ok ', ' YOU: i do agree on this , but is there any chance the balls are 5 / 5 for you ? ']", item0=1 item1=1 item2=0 ,8 agree, 1 4 2 2 2 1
1 1 3 0 3 3 ,"['THEM: i need 1 book and 2 hats ', ' YOU: ok deal ']", item0=0 item1=1 item2=3 ,9 agree, 1 4 3 2 3 0
1 4 3 2 3 0 ,"['YOU: i need 1 book and 2 hats ', ' THEM: ok deal ']", item0=1 item1=2 item2=0 ,8 agree, 1 1 3 0 3 3
1 1 4 2 1 1 ,"['YOU: i would like all the hats ', ' THEM: deal ', ' YOU: cool beans ']", item0=0 item1=4 item2=0 ,8 agree, 1 2 4 1 1 4
1 2 4 1 1 4 ,"['THEM: i would like all the hats ', ' YOU: deal ', ' THEM: cool beans ']", item0=1 item1=0 item2=1 ,6 agree, 1 1 4 2 1 1
2 4 3 0 2 1 ,"['YOU: hello , can i have the books and balls ? you can have the hats . ', ' THEM: can you give me one of the books , in that case ? ', ' YOU: i will need at least the 2 books . would you like everything else ? ', "" THEM: i don't need the balls , i'll just take the hats then . "", ' YOU: alright , deal . thank you . ']", item0=2 item1=0 item2=2 ,10 agree, 2 2 3 2 2 0
2 2 3 2 2 0 ,"['THEM: hello , can i have the books and balls ? you can have the hats . ', ' YOU: can you give me one of the books , in that case ? ', ' THEM: i will need at least the 2 books . would you like everything else ? ', "" YOU: i don't need the balls , i'll just take the hats then . "", ' THEM: alright , deal . thank you . ']", item0=0 item1=3 item2=0 ,6 agree, 2 4 3 0 2 1
1 1 4 1 1 5 ,"['YOU: i want the ball and a hat . ', ' THEM: i need the ball ', ' YOU: how do you feel about the book ? ', ' THEM: eh , if i get the ball you can have the book and all the hats ', "" YOU: i guess that's okay . i'll take book and all hats then . ""]", item0=1 item1=4 item2=0 ,5 agree, 1 3 4 0 1 7
1 3 4 0 1 7 ,"['THEM: i want the ball and a hat . ', ' YOU: i need the ball ', ' THEM: how do you feel about the book ? ', ' YOU: eh , if i get the ball you can have the book and all the hats ', "" THEM: i guess that's okay . i'll take book and all hats then . ""]", item0=0 item1=0 item2=1 ,7 agree, 1 1 4 1 1 5
2 3 2 1 2 1 ,"[""THEM: so , i'd like 2 hats and 2 balls . "", "" YOU: no i'm sorry can't do that . i can give you one hat and one ball . "", ' THEM: 2 hats and one ball ? ', ' YOU: 1 hat and 1 ball . ', ' THEM: 1 hat , 1 ball , 2 books and a stick of butter ', ' YOU: 1 hat , 1 ball , no book , extra butter ', ' THEM: 1 hat , 1 ball , 1 book . ', ' YOU: 2 hats no balls no books . ', ' THEM: nope . either 2 hats and 1 ball or 1 of each . ', ' YOU: fine , 1 ball 1 book ', ' THEM: and 1 hat ', ' YOU: no hat ', ' THEM: no deal . ']", no agreement ,no agreement agree, 2 0 2 2 2 3
2 0 2 2 2 3 ,"[""YOU: so , i'd like 2 hats and 2 balls . "", "" THEM: no i'm sorry can't do that . i can give you one hat and one ball . "", ' YOU: 2 hats and one ball ? ', ' THEM: 1 hat and 1 ball . ', ' YOU: 1 hat , 1 ball , 2 books and a stick of butter ', ' THEM: 1 hat , 1 ball , no book , extra butter ', ' YOU: 1 hat , 1 ball , 1 book . ', ' THEM: 2 hats no balls no books . ', ' YOU: nope . either 2 hats and 1 ball or 1 of each . ', ' THEM: fine , 1 ball 1 book ', ' YOU: and 1 hat ', ' THEM: no hat ', ' YOU: no deal . ']", no agreement ,no agreement agree, 2 3 2 1 2 1
3 0 1 0 2 5 ,"['YOU: if i get the balls you can have the rest ', ' THEM: can you take just one ball and we can split books ? ', ' YOU: i need both of the ball ', ' THEM: okay , but only because you need them . and i get the rest ? ', ' YOU: yes ', ' THEM: done . ']", item0=0 item1=0 item2=2 ,10 agree, 3 1 1 3 2 2
3 1 1 3 2 2 ,"['THEM: if i get the balls you can have the rest ', ' YOU: can you take just one ball and we can split books ? ', ' THEM: i need both of the ball ', ' YOU: okay , but only because you need them . and i get the rest ? ', ' THEM: yes ', ' YOU: done . ']", item0=3 item1=1 item2=0 ,6 agree, 3 0 1 0 2 5
2 2 1 2 2 2 ,"['THEM: i would like the hat and books , you can have the balls ', ' YOU: i need three items , any three ']", item0=2 item1=1 item2=2 ,10 disagree, 2 2 1 4 2 1
3 2 1 3 1 1 ,"['THEM: hi , i want the ball and the hat , you can have the rest ', ' YOU: i can do all the books ok ']", item0=3 item1=0 item2=0 ,6 agree, 3 0 1 2 1 8
3 0 1 2 1 8 ,"['YOU: hi , i want the ball and the hat , you can have the rest ', ' THEM: i can do all the books ok ']", item0=0 item1=1 item2=1 ,10 agree, 3 2 1 3 1 1
2 1 2 2 2 2 ,"['YOU: i would like 1 hat , 1 ball , and 1 book please ', ' THEM: ok ']", item0=1 item1=1 item2=1 ,5 agree, 2 2 2 0 2 3
2 2 2 0 2 3 ,"['THEM: i would like 1 hat , 1 ball , and 1 book please ', ' YOU: ok ']", item0=1 item1=1 item2=1 ,5 agree, 2 1 2 2 2 2
1 2 3 1 1 5 ,"['THEM: i need the book you can have the rest only way ', ' YOU: deal ']", item0=0 item1=3 item2=1 ,8 agree ,1 10 3 0 1 0
1 10 3 0 1 0,"[' YOU: i need the book you can have the rest only way ', ' THEM: deal ']", item0=1 item1=0 item2=0 ,10 agree, 1 2 3 1 1 5
3 1 2 3 1 1 ,"['YOU: may i have 2 hats and 1 ball ? ', ' THEM: that is exactly what i need ', ' YOU: split the hats , i can have 1 ball 1 book ? ', ' THEM: sure ']", item0=1 item1=1 item2=1 ,5 disagree, 3 0 2 3 1 4
1 5 4 1 1 1 ,"[""THEM: i'd like book . "", ' YOU: sorry cant give you the book ', "" THEM: i can't not have the book . it's worth 8 points for me . "", ' YOU: sorry i cant let it go ', ' THEM: then no deal . we just need to type back and forth until the no deal button lights up . ', ' YOU: no deal ', ' THEM: blah blah blah books . ', ' YOU: no deal ', ' THEM: stupid books . ', ' YOU: no deal ']", no agreement ,no agreement agree, 1 8 4 0 1 2
1 8 4 0 1 2 ,"[""YOU: i'd like book . "", ' THEM: sorry cant give you the book ', "" YOU: i can't not have the book . it's worth 8 points for me . "", ' THEM: sorry i cant let it go ', ' YOU: then no deal . we just need to type back and forth until the no deal button lights up . ', ' THEM: no deal ', ' YOU: blah blah blah books . ', ' THEM: no deal ', ' YOU: stupid books . ', ' THEM: no deal ']", no agreement ,no agreement agree, 1 5 4 1 1 1
3 1 1 0 1 7 ,"['YOU: i get ball and 1 book you get the rest ', ' THEM: would you be willing to take just the ball ? ', ' YOU: the ball has the least value ', "" THEM: ok . let's go with that . i'll take two books and the hat . you take one book and the ball . deal ? "", ' YOU: deal ']", item0=1 item1=0 item2=1 ,8 agree, 3 2 1 2 1 2
3 2 1 2 1 2 ,"['THEM: i get ball and 1 book you get the rest ', ' YOU: would you be willing to take just the ball ? ', ' THEM: the ball has the least value ', "" YOU: ok . let's go with that . i'll take two books and the hat . you take one book and the ball . deal ? "", ' THEM: deal ']", item0=2 item1=1 item2=0 ,6 agree, 3 1 1 0 1 7
4 0 1 7 1 3 ,"[""THEM: i'd like ball and 3 books "", "" YOU: any chance you'll give me the hat and ball , you can keep all 4 books ? "", "" THEM: i have to have the ball , i'd take ball and 1 book "", "" YOU: books are nothing to me . . . so you can take all 4 - - i wish you'd reconsider the ball , but let me know and i'll accept either one . "", "" THEM: i'll take just the books then "", "" YOU: you're the best . good luck on the next rounds ! ""]", item0=0 item1=1 item2=1 ,10 agree, 4 1 1 0 1 6
4 1 1 0 1 6 ,"[""YOU: i'd like ball and 3 books "", "" THEM: any chance you'll give me the hat and ball , you can keep all 4 books ? "", "" YOU: i have to have the ball , i'd take ball and 1 book "", "" THEM: books are nothing to me . . . so you can take all 4 - - i wish you'd reconsider the ball , but let me know and i'll accept either one . "", "" YOU: i'll take just the books then "", "" THEM: you're the best . good luck on the next rounds ! ""]", item0=4 item1=0 item2=0 ,4 agree, 4 0 1 7 1 3
3 0 1 4 2 3 ,"['YOU: i need the hat and balls ', ' THEM: deal ']", item0=0 item1=1 item2=2 ,10 agree, 3 1 1 5 2 1
3 1 1 5 2 1 ,"['THEM: i need the hat and balls ', ' YOU: deal ']", item0=3 item1=0 item2=0 ,3 agree, 3 0 1 4 2 3
2 0 2 2 2 3 ,"['YOU: ill take 2 balls and 2 hats ', ' THEM: how about 2 balls and 1 hat ', ' YOU: fine deal ']", item0=0 item1=1 item2=2 ,8 agree, 2 2 2 2 2 1
2 2 2 2 2 1 ,"['THEM: ill take 2 balls and 2 hats ', ' YOU: how about 2 balls and 1 hat ', ' THEM: fine deal ']", item0=2 item1=1 item2=0 ,6 agree, 2 0 2 2 2 3
1 6 1 1 3 1 ,"['THEM: u would like the hat and the book please ', ' YOU: i also would like the book ', ' THEM: okay , i will take the hat and ball and you could keep the book ? ', ' YOU: can i get 1 book and 1 ball , you can have 1 hat and 2 balls ? ', ' THEM: sure ', ' YOU: thanks ! deal ! ', ' THEM: deal ! ']", item0=1 item1=0 item2=1 ,7 agree, 1 1 1 9 3 0
1 1 1 9 3 0 ,"['YOU: u would like the hat and the book please ', ' THEM: i also would like the book ', ' YOU: okay , i will take the hat and ball and you could keep the book ? ', ' THEM: can i get 1 book and 1 ball , you can have 1 hat and 2 balls ? ', ' YOU: sure ', ' THEM: thanks ! deal ! ', ' YOU: deal ! ']", item0=0 item1=1 item2=2 ,9 agree, 1 6 1 1 3 1
2 2 1 6 2 0 ,"['YOU: hello ', ' THEM: hi , i want the books and the hat . ', ' YOU: i will give you the books and balls , but i need the hat , it makes me look sexy . ', ' THEM: deal . ']", item0=0 item1=1 item2=0 ,6 agree, 2 3 1 2 2 1
2 3 1 2 2 1 ,"['THEM: hello ', ' YOU: hi , i want the books and the hat . ', ' THEM: i will give you the books and balls , but i need the hat , it makes me look sexy . ', ' YOU: deal . ']", item0=2 item1=0 item2=2 ,8 agree, 2 2 1 6 2 0
3 1 1 1 1 6 ,"['YOU: how about 1 of each for me and you can have 2 books ? ', ' THEM: hats are all that have value for me ', ' YOU: ok , in that case you can have the hat and i get everything else ? ']", disconnect ,disconnect agree ,3 0 1 10 1 0
3 0 1 10 1 0,"[' THEM: how about 1 of each for me and you can have 2 books ? ', ' YOU: hats are all that have value for me ', ' THEM: ok , in that case you can have the hat and i get everything else ? ']", disconnect ,disconnect agree, 3 1 1 1 1 6
3 0 1 1 1 9 ,"['THEM: i want the hat and 2 books ', ' YOU: can i have the hat and the ball if you can have all the books ? ', ' THEM: i absolutely need the hat ', ' YOU: ok , i agree to your first offer then . ']", item0=1 item1=0 item2=1 ,9 agree, 3 1 1 7 1 0
3 1 1 7 1 0 ,"['YOU: i want the hat and 2 books ', ' THEM: can i have the hat and the ball if you can have all the books ? ', ' YOU: i absolutely need the hat ', ' THEM: ok , i agree to your first offer then . ']", item0=2 item1=1 item2=0 ,9 agree, 3 0 1 1 1 9
2 2 4 1 1 2 ,"['THEM: 2 books 1 ball for me and you keep the rest ', ' YOU: give me the books and hats ', ' THEM: 1 book and all hats for you ', ' YOU: deall ']", item0=1 item1=4 item2=0 ,6 agree, 2 2 4 1 1 2
2 2 4 1 1 2 ,"['YOU: 2 books 1 ball for me and you keep the rest ', ' THEM: give me the books and hats ', ' YOU: 1 book and all hats for you ', ' THEM: deall ']", item0=1 item1=0 item2=1 ,4 agree, 2 2 4 1 1 2
3 0 2 3 1 4 ,"['YOU: if i can have the ball and the hats you can have the books ', ' THEM: i need the ball and 2 books ', ' YOU: i can not give up the ball . if i can have the ball and the hats you can have all of the books ', ' THEM: hats have no valuse , need the ball as well ', ' YOU: you can have the ball if i can have everything else ', ' THEM: i would also need at least 1 book ', ' YOU: you can have one book and the ball . final deal . ', "" THEM: i'll have to pass "", ' YOU: okay no deal . ', ' THEM: click on no deal then ']", no agreement ,no agreement agree, 3 2 2 0 1 4
3 2 2 0 1 4 ,"['THEM: if i can have the ball and the hats you can have the books ', ' YOU: i need the ball and 2 books ', ' THEM: i can not give up the ball . if i can have the ball and the hats you can have all of the books ', ' YOU: hats have no valuse , need the ball as well ', ' THEM: you can have the ball if i can have everything else ', ' YOU: i would also need at least 1 book ', ' THEM: you can have one book and the ball . final deal . ', "" YOU: i'll have to pass "", ' THEM: okay no deal . ', ' YOU: click on no deal then ']", no agreement ,no agreement agree, 3 0 2 3 1 4
2 2 1 0 2 3 ,"['THEM: i can give you one ball ', ' YOU: 2 balls ', ' THEM: okay you can have both balls and ill take the rest ']", item0=0 item1=0 item2=2 ,6 agree, 2 4 1 2 2 0
2 4 1 2 2 0 ,"['YOU: i can give you one ball ', ' THEM: 2 balls ', ' YOU: okay you can have both balls and ill take the rest ']", item0=2 item1=1 item2=0 ,10 agree, 2 2 1 0 2 3
1 5 4 1 1 1 ,"['YOU: i would love the book and 2 hats . ', ' THEM: deal ']", item0=1 item1=2 item2=0 ,7 agree, 1 1 4 0 1 9
1 1 4 0 1 9 ,"['THEM: i would love the book and 2 hats . ', ' YOU: deal ']", item0=0 item1=2 item2=1 ,9 agree, 1 5 4 1 1 1
1 0 1 7 3 1 ,"['YOU: i want the hat and balls ', ' THEM: can i have one ball ? ', ' YOU: ok deal ', ' THEM: thanks ! ']", item0=0 item1=1 item2=2 ,9 agree, 1 7 1 3 3 0
1 7 1 3 3 0 ,"['THEM: i want the hat and balls ', ' YOU: can i have one ball ? ', ' THEM: ok deal ', ' YOU: thanks ! ']", item0=1 item1=0 item2=1 ,7 agree, 1 0 1 7 3 1
2 1 1 8 4 0 ,"['THEM: i would like the balls and the hat . ', ' YOU: you can have the balls but no hat ', ' THEM: deal . ', ' YOU: deal ! ']", item0=2 item1=1 item2=0 ,10 agree, 2 0 1 2 4 2
2 0 1 2 4 2 ,"['YOU: i would like the balls and the hat . ', ' THEM: you can have the balls but no hat ', ' YOU: deal . ', ' THEM: deal ! ']", item0=0 item1=0 item2=4 ,8 agree, 2 1 1 8 4 0
2 2 3 1 1 3 ,"[""THEM: i'd like a ball , hat and book please . deal ? "", ' YOU: i need 2 books and 2 hats or 1 ball , 1 book and 1 hat or 1 ball and 3 hats . ', "" THEM: no deal , that's a lot to ask for . i can give you everything if i get 1 book . "", ' YOU: deal . ']", item0=1 item1=3 item2=1 ,8 disagree ,2 0 3 0 1 10
2 3 1 4 3 0 ,"['YOU: balls to you , i take rest ', ' THEM: deal . ']", item0=2 item1=1 item2=0 ,10 agree, 2 1 1 2 3 2
2 1 1 2 3 2 ,"['THEM: balls to you , i take rest ', ' YOU: deal . ']", item0=0 item1=0 item2=3 ,6 agree, 2 3 1 4 3 0
1 3 4 1 1 3 ,"['THEM: i would love the book and the ball ', ' YOU: how about 1 hat 1 book ', ' THEM: sure ', ' YOU: okay ']", item0=0 item1=3 item2=1 ,6 agree, 1 8 4 0 1 2
1 8 4 0 1 2 ,"['YOU: i would love the book and the ball ', ' THEM: how about 1 hat 1 book ', ' YOU: sure ', ' THEM: okay ']", item0=1 item1=1 item2=0 ,8 agree, 1 3 4 1 1 3
1 0 4 1 2 3 ,"['YOU: you can have book and i keep the rest ', ' THEM: i need the book and one ball and you can have the rest ', ' YOU: no balls , one hat for you ', "" THEM: that won't work for me . one book and one ball . "", ' YOU: fine ', ' THEM: thank you . ']", item0=0 item1=4 item2=1 ,7 agree, 1 6 4 0 2 2
1 6 4 0 2 2 ,"['THEM: you can have book and i keep the rest ', ' YOU: i need the book and one ball and you can have the rest ', ' THEM: no balls , one hat for you ', "" YOU: that won't work for me . one book and one ball . "", ' THEM: fine ', ' YOU: thank you . ']", item0=1 item1=0 item2=1 ,8 agree, 1 0 4 1 2 3
4 1 1 0 1 6 ,"[""THEM: i'd be happy with the ball , 1 hat and all the books . , , "", "" YOU: like . . . everything ? lol - - i'll take the ball and 1 book . how about that ? "", ' THEM: you can have 4 books and the hat if you want . but i think it only fair that you leave me that ball . . . ', "" YOU: the ball is my only high value item , and hat is worth nothing . i'd like the ball and 1 book . "", "" THEM: i'll give you the ball , but i'm taking everything else . "", ' YOU: ok ']", item0=0 item1=0 item2=1 ,6 agree, 4 0 1 1 1 9
4 0 1 1 1 9 ,"[""YOU: i'd be happy with the ball , 1 hat and all the books . , , "", "" THEM: like . . . everything ? lol - - i'll take the ball and 1 book . how about that ? "", ' YOU: you can have 4 books and the hat if you want . but i think it only fair that you leave me that ball . . . ', "" THEM: the ball is my only high value item , and hat is worth nothing . i'd like the ball and 1 book . "", "" YOU: i'll give you the ball , but i'm taking everything else . "", ' THEM: ok ']", item0=4 item1=1 item2=0 ,1 agree, 4 1 1 0 1 6
2 3 3 0 1 4 ,"['YOU: i just want two books ', ' THEM: i can not make that deal . i need the same items . if i take one book and two hats you can have the rest ', ' YOU: deal ', ' THEM: great ! deal ', ' YOU: thx ']", item0=1 item1=1 item2=1 ,7 agree, 2 3 3 1 1 1
2 3 3 1 1 1 ,"['THEM: i just want two books ', ' YOU: i can not make that deal . i need the same items . if i take one book and two hats you can have the rest ', ' THEM: deal ', ' YOU: great ! deal ', ' THEM: thx ']", item0=1 item1=2 item2=0 ,5 agree, 2 3 3 0 1 4
2 0 1 4 3 2 ,"['THEM: hi . ill take the books and balls . you can have the hats ', ' YOU: but there is only the one hat . how about i get the hat and two balls . you can have the books and one ball . ', ' THEM: ok . ']", item0=0 item1=1 item2=2 ,8 agree, 2 3 1 1 3 1
2 3 1 1 3 1 ,"['YOU: hi . ill take the books and balls . you can have the hats ', ' THEM: but there is only the one hat . how about i get the hat and two balls . you can have the books and one ball . ', ' YOU: ok . ']", item0=2 item1=0 item2=1 ,7 agree, 2 0 1 4 3 2
3 2 1 4 2 0 ,"['YOU: can i have the hat and books ? ', ' THEM: before i say yes , any chance you can leave the hat and just take the books ? : ) ', ' YOU: not really ', "" THEM: worth a shot . i'll take the balls . "", ' YOU: okay deal ']", item0=3 item1=1 item2=0 ,10 agree, 3 0 1 2 2 4
3 0 1 2 2 4 ,"['THEM: can i have the hat and books ? ', ' YOU: before i say yes , any chance you can leave the hat and just take the books ? : ) ', ' THEM: not really ', "" YOU: worth a shot . i'll take the balls . "", ' THEM: okay deal ']", item0=0 item1=0 item2=2 ,8 agree, 3 2 1 4 2 0
1 2 4 1 2 2 ,"['YOU: hi i would like the balls and hats and you can have the book ', ' THEM: i will need at least two hats . ', ' YOU: sorry , that wont work for me . would you accept the book and 1 hat ? ']", item0=1 item1=4 item2=2 ,10 disagree, 1 2 4 2 2 0
3 2 1 3 1 1 ,"[""THEM: i'd like the hat and the ball . "", ' YOU: okay ', ' THEM: do we have a deal ? ']", item0=3 item1=0 item2=0 ,6 agree, 3 0 1 6 1 4
3 0 1 6 1 4 ,"[""YOU: i'd like the hat and the ball . "", ' THEM: okay ', ' YOU: do we have a deal ? ']", item0=0 item1=1 item2=1 ,10 agree, 3 2 1 3 1 1
2 0 1 1 3 3 ,"[""THEM: good evening , i'd like the hat and books , you keep the balls ? "", ' YOU: ok ']", item0=0 item1=0 item2=3 ,9 agree, 2 2 1 6 3 0
2 2 1 6 3 0 ,"[""YOU: good evening , i'd like the hat and books , you keep the balls ? "", ' THEM: ok ']", item0=2 item1=1 item2=0 ,10 agree, 2 0 1 1 3 3
3 0 1 6 2 2 ,"['YOU: you can have the books ', "" THEM: i'll also require one of another item . which would you rather give up ? "", ' YOU: i can give you 2 books and 1 ball best i can do . ', ' THEM: deal . ', ' YOU: deal ']", item0=1 item1=1 item2=1 ,8 agree, 3 1 1 5 2 1
3 1 1 5 2 1 ,"['THEM: you can have the books ', "" YOU: i'll also require one of another item . which would you rather give up ? "", ' THEM: i can give you 2 books and 1 ball best i can do . ', ' YOU: deal . ', ' THEM: deal ']", item0=2 item1=0 item2=1 ,3 agree, 3 0 1 6 2 2
1 5 1 5 3 0 ,"['YOU: hi , i would like the hat and book and you can have the balls ', ' THEM: deal . ']", item0=1 item1=1 item2=0 ,10 agree, 1 2 1 2 3 2
1 2 1 2 3 2 ,"['THEM: hi , i would like the hat and book and you can have the balls ', ' YOU: deal . ']", item0=0 item1=0 item2=3 ,6 agree, 1 5 1 5 3 0
2 0 1 4 2 3 ,"['THEM: i would like the books and the hat . ', ' YOU: i can give you the books but i need the hat and the balls . ', ' THEM: deal . ']", item0=0 item1=1 item2=2 ,10 agree, 2 4 1 2 2 0
2 4 1 2 2 0 ,"['YOU: i would like the books and the hat . ', ' THEM: i can give you the books but i need the hat and the balls . ', ' YOU: deal . ']", item0=2 item1=0 item2=0 ,8 agree, 2 0 1 4 2 3
3 1 2 1 1 5 ,"['THEM: i can offer you two books ', "" YOU: i'll take two books and the ball . "", ' THEM: how about i give you all the books and i take the rest ', ' YOU: oooo . no can do . i can give you both hats . ', ' THEM: ill take the basketball and one hat how about that ? ', "" YOU: can't give up the ball . i can give up the hats and a book . "", ' THEM: ill give you the basketball for everything else ']", item0=3 item1=2 item2=1 ,10 disagree, 3 0 2 3 1 4
1 6 2 1 2 1 ,"['THEM: ok how about that ? ', "" YOU: i didn't see anything , but i how about that , so i'll ask for one book , the rest to you "", ' THEM: nah i ll take the book and the rest is yours ', ' YOU: deal ']", item0=0 item1=2 item2=2 ,4 agree, 1 8 2 0 2 1
