,sentences,Actual,Predicted
756,_deal,deal,ok
757,_deal,sure,deal.
758,_deal,deal,ok
759,_greeting,hi,hi
760,_deal,yes,ok
761,_deal,thank you!,ok
762,_deal _thanks,thanks,thx
763,_nodeal,no deal,no deal
764,_misc( _balls 1),add another ball and we call it the,1 ball
765,_deal,deal,deal
766,_nodeal,no deal,no deal
767,_deal,sure,deal
768,_need( _balls all) _offer( _books rest _hats rest ),"all balls to me, the rest to you","balls and books for me, rest for you"
769,_deal,ok,deal
770,_deal,deal,ok
771,_deal,okay,ok
772,_need( _books 2 ) _offer( rest),"alright then, i will take 2 books and you can have the rest.","2 books for me, rest for you"
773,_deal,deal,yes.
774,_deal,ok,deal
775,_deal,"okay, deal.",ok
776,_deal,deal.,deal.
777,_nodeal,no deal,no deal
778,_nodeal,no deal,no deal
779,_nodeal,no deal,no deal
780,_nodeal,no deal,no deal
781,_need( _hats all ),all i want is the hats.,all hats to me
782,_deal,ok,deal
783,_deal _thanks,thanks!,thanks
784,_nodeal,no deal.,no deal
785,_need( _books all _balls all),balls and books for me,books and balls for me
786,_deal,ok.,ok
787,_deal,ok deal,ok
788,_deal,okay deal,ok
789,_deal,deal,ok
790,_deal,yes,deal
791,_deal,yes,deal
792,_deal,deal,deal
793,_deal,ok deal,ok
794,_nodeal,no deal,no deal
795,_nodeal,no deal,no deal
796,_deal,deal,deal
797,_deal,deal.,deal
798,_nodeal,nope,no deal
799,_deal,sounds good,ok
800,_nodeal,no deal,no deal
801,_deal,agreed.,ok
802,_deal,deal,deal
803,_deal,okay.,deal.
804,_deal,ok,deal
805,_nodeal,no deal,no deal
806,_deal,ok,deal
807,_nodeal,no deal,no deal
808,_nodeal,no deal,no deal
809,_deal _thanks,thanks!,thanks!
810,_nodeal,then no deal,no deal
811,_deal,okay deal,deal
812,_nodeal,no deal,no deal
813,_deal,ok deal,deal
814,_deal,deal.,deal
815,_deal,deal.,ok
816,_deal,deal,deal
817,_deal,okay,ok
818,_offer( _hats 2 _balls 1),2 hats 1 ball for u,2 hats and 1 ball
819,_deal,deal,deal
820,_nodeal,no deal,no deal
821,_nodeal,no deal,no deal
822,_deal,ok,deal
823,_deal,ok deal,deal
824,_nodeal,no deal,no deal
825,_misc( _books all ),are the books not worth for you?,all books
826,_nodeal,are you kidding? this is not how this works,no deal
827,_deal,ok deal.,deal
828,_need( rest) _offer( _hats all ),all you want is the hats and i can take everything else?,all hats to me
829,_deal,deal.,deal
830,_deal,ok,ok
831,_deal,"ok, deal",deal
832,_nodeal,no deal.,no deal
833,_deal,deal,deal.
834,_deal,ok deal,ok
835,_deal,deal.,ok
836,_deal,deal,deal
837,_deal,okay,deal
838,_deal,great! thank you!,deal
839,_greeting,hello,hello
840,_deal,okay deal,ok
841,_deal,sounds good.,ok
842,_deal,ok deal,ok
843,_nodeal,are you able to select no deal was agreed?,no deal
844,_deal,deal.,ok
845,_need( _books 1 _hats 1 ),book and one hat for me,1 book and 1 hat for me
846,_deal,ok,ok
847,_deal,deal,deal
848,_need( _books 1 ) _offer( rest),alright i will take the book. you take the rest.,"i need the book, you can have the rest"
849,_misc( _books 1 ),book only,1 book
850,_deal,deal,ok
851,_deal,deal,deal
852,_deal,beautiful,ok
853,_deal,deal,deal
854,_need( _books 2 ) _offer( rest),"2 books for me, you can have all the rest",2 books and you can have the rest
855,_deal,ok deal.,deal
856,_deal _thanks,thanks,thanks
857,_deal,yes,deal
858,_deal,sounds good.,deal
859,_nodeal,no deal,no deal
860,_deal,yes.,deal
861,_misc( _books? _hats 2 _balls?),2 hats and a ball or the book,2 hats and two balls?
862,_deal,deal,deal
863,_deal,deal,deal
864,_nodeal,no deal,no deal
865,_deal,ok,deal
866,_nodeal,no deal,no deal
867,_need( _books 2 _hats 1 _balls 1),"1 ball, 1 hat and 2 books for me",book and one hat for me
868,_deal,deal,ok
869,_deal,deal,deal
870,_deal,deal!,deal
871,_deal _need( _books 3 _hats 1 ) _offer( _balls 1),": ) okay, you can have the ball, i'll take the hat and the 3 books",i'll take the ball and 3 books and 1 hat?
872,_need( _balls 2) _offer( rest),2 balls... you can have everything else,ball and i get the rest
873,_deal,ok,deal
874,_nodeal,no deal.,no deal
875,_deal,okay thank you!,deal.
876,_deal,great,ok
877,_nodeal,no deal,no deal
878,_nodeal,no deal.,no deal
879,_deal,deal,deal
880,_need( _books 1 _hats 2 ) _offer( _books 1 ),2 hats and one book for one ball,"alright, you can have the book and 2 hats."
881,_deal,okay great! thank you!,ok
882,_nodeal,no deal.,no deal.
883,_nodeal,ok no deal,no deal
884,_deal,okay,deal
885,_deal,deal,deal
886,_deal,deal,ok
887,_misc( _hats 3 ),all three hats,3 hats
888,_deal,ok,deal
889,_deal,great,ok
890,_deal _thanks,thanks,thanks
891,_deal,yes,deal.
892,_deal _need( _books 2 _balls 1),agreed. which means i get two books and the ball.,deal. i will take 2 books and 1 ball
893,_deal,okay deal.,deal
894,_deal,deal.,ok
895,_deal,deal,ok
896,_need( rest),"and i will take the rest, good deal",i would like the rest
897,_deal,okay deal,deal
898,_deal,deal.,deal
899,_nodeal,agreed. no deal,no deal
900,_deal,ok,deal
901,_deal,fine,deal
902,_offer( _books 0 _hats 1 _balls 1),any way you will take the hat and the ball instead?,1 ball and 1 hat for me
903,_deal,okay,ok
904,_nodeal,no deal,no deal
905,_nodeal,no deal,no deal
906,_deal,deal,deal
907,_deal,great,ok
908,_deal,deal,ok
909,_deal,yep,deal
910,_nodeal,no deal.,no deal
911,_deal,deal,deal
912,_deal,okay,deal
913,_deal,ok,deal
914,_deal,deal,deal
915,_need( _balls 1),and i get one ball,i need the ball
916,_deal,sure,deal
917,_need( _books 3 _hats 1 ),alright i'm taking 3 books and the hat.,3 books and 1 hats for me
918,_nodeal,nope,no deal
919,_deal,sure,ok
920,_misc( _books 1 _hats 3 ),book and three hats,1 book 3 hats
921,_need( _balls 1),"ball to costly to me, book and all hats is worth less then ball for me",ball and i can have it
922,_nodeal,no deal,no deal
923,_deal,sure,deal
924,_deal,deal.,ok
925,_nodeal,no deal.,no deal
926,_deal,sure,ok
927,_need( _hats 1 ),all i need is the hat,and i get the hat?
928,_deal,ok deal,deal
929,_nodeal,no deal,no deal
930,_deal,deal,ok
931,_nodeal,no deal,no deal
932,_deal,deal,deal
933,_deal,sure,ok
934,_deal,ok deal,deal.
935,_deal,great! thank you!,ok
936,_deal,deal.,deal
937,_nodeal,no deal,no deal
938,_deal,ok,ok
939,_need( _books 3 ) _offer( _hats 1 _balls 1),"alright, you can have the hat, and the ball. i will take three books.","3 books for you, hat and ball to me."
940,_deal,deal!,ok
941,_deal,okay thank you!,deal
942,_deal,deal,deal
943,_deal,deal,deal
944,_deal,okay,deal
945,_deal,yep,deal
946,_deal,deal,deal
947,_deal,awesome.,deal
948,_nodeal,yup impossible unless one person gets low points glad you understand,no deal
949,_nodeal,no deal,no deal
950,_deal,deal,deal.
951,_deal,i can do that,ok
952,_misc( _books 1 _hats 3 ),"a book, a ball and three hats",3 hats and one book
953,_deal,deal!,deal
954,_deal _thanks,thanks,thanks
955,_deal,yes,ok
956,_deal,deal,deal
957,_deal,yes,deal
958,_deal,yep,ok
959,_deal,sounds good,deal
960,_nodeal,never,no deal
961,_misc( _hats 1 ),are you interested in the hat at all?,1 hat
962,_need( _hats 1 _balls 2),1 hat 2 balls for m,balls and hats for me
963,_deal,deal,deal
964,_deal,ok,ok
965,_nodeal,no deal,no deal
966,_deal,deal,deal
967,_deal,thank you!,deal
968,_deal,okay great! thank you!,deal
969,_deal,deal,ok
970,_deal,ok deal,deal.
971,_deal,deal,ok
972,_deal,ok deal,deal
973,_deal,yes,ok
974,_deal _need( _hats 1 _balls 1) _offer( _books 4 ),"agreed, you take the 4 books and i take ball and hat.",i can't do that
975,_deal,ok,deal
976,_deal,ok,ok
977,_nodeal,no deal,no deal
978,_nodeal,no deal,no deal
979,_nodeal,no deal,no deal
980,_nodeal,no deal,no deal
981,_need( _books all _hats 1 ),"and we're still going to roll with an uneven split. in that case, i'll take the books and a hat, then?",book and hat for me
982,_misc( _books all ),all thebooks,all books
983,_deal,yes,deal
984,_need( _hats 1 ) _offer( rest),all i want is the hat you can have everything else,i can give you the rest
985,_nodeal,"ok, no deal",no deal
986,_deal,deal.,deal
987,_deal,okay,ok
988,_nodeal,no deal,no deal
989,_need( _books 1 _balls 0),"balls arnt doing much for me, that book though.",book and ball for me
990,_nodeal,no,no deal
991,_deal,deal.,ok
992,_nodeal,ok no deal,no deal
993,_deal _need( rest) _offer( _books 1 ),agreed you get 1 book and i get everything else,"alright, i'll take the rest. i'll take the book?"
994,_deal,deal,deal
995,_deal,deal,ok
996,_nodeal,no deal,no deal
997,_nodeal,no deal,no deal
998,_deal,sounds good,ok
999,_deal,okay deal,deal.
1000,_deal,deal,deal
1001,_deal,ok deal,ok
1002,_deal,ok,deal.
1003,_deal,fine,ok
1004,_deal,ok,ok
1005,_deal,ok,deal
1006,_deal,deal,okay
1007,_nodeal,no deal.,no deal
1008,_deal,deal,okay deal
1009,_nodeal,i can't do that,no deal
1010,_deal,okay,ok
1011,_deal,okay deal.,deal
1012,_deal,okay great! thank you!,deal
1013,_deal,deal,deal
1014,_deal,deal.,ok
1015,_deal,deal.,deal
1016,_need( _hats 0 ),balls are not 5 each for me i have not value for the hat also does not indicate no value just no value to me.,i need the hat 0
1017,_deal,ok,deal
1018,_deal,deal,deal
1019,_deal,deal,ok
1020,_deal,ok,deal
1021,_nodeal,no deal,no deal
1022,_deal,deal.,ok
1023,_deal,sure,deal
1024,_deal,great,deal
1025,_deal,deal,deal
1026,_offer( _hats 1 _balls 2),2 balls 1 hat for you,2 balls and 1 hat for you?
1027,_deal,deal,deal
1028,_deal,deal.,ok
1029,_deal,okay thank you!,ok
1030,_yes _need( _books 1 ) _offer( rest),alright. i take the book. you take the rest.,"ok, i'll take the book and you get the rest"
1031,_deal,deal.,deal
1032,_nodeal,"no, for me.",no deal
1033,_deal,sounds good.,ok
1034,_misc( _hats 3 _balls 1),3 hats and 1 ball?,3 hats 1 ball
1035,_deal,deal,deal
1036,_deal,deal,deal
1037,_deal,deal.,ok
1038,_deal,deal,ok
1039,_deal,ok deal,deal.
1040,_deal,deal.,ok
1041,_nodeal,no deal.,no deal
1042,_deal,yes.,deal
1043,_deal,deal.,ok
1044,_deal,ok deal,deal
1045,_deal,deal.,deal
1046,_deal,deal,ok
1047,_deal,deal,deal
1048,_nodeal,then no deal,no deal
1049,_deal,ok deal,deal.
1050,_deal,deal,deal
1051,_need( _books 1 _hats 2 ),book and 2 hats to me,book and two hats for me
1052,_deal,deal.,deal
1053,_greeting,hi,hi
1054,_deal,great,ok
1055,_need( _hats 1 ) _offer( _balls all),all the balls if i get the hat too.,ball and hat for you?
1056,_nodeal,no deal,no deal
1057,_deal,yes,deal
1058,_deal,sounds good,deal
1059,_deal,deal.,ok
1060,_deal,agreed,ok
1061,_need( _books 1 _hats 2 ),2 hats and a book for me,book and 2 hats for me
1062,_deal,deal,ok
1063,_deal,ok deal,ok
1064,_deal,deal.,deal
1065,_deal,ok,deal
1066,_deal,cool,ok
1067,_need( _books 1 ),book is worth 7 to me,book is a must for me
1068,_deal,deal,deal
1069,_nodeal,i can't do that,no deal
1070,_deal,great,ok
1071,_nodeal,no deal,no deal
1072,_deal,ok,deal
1073,_deal,yes,ok
1074,_deal,deal,ok
1075,_deal,yes,ok
1076,_deal,fine,deal
1077,_deal,deal,ok
1078,_deal,yes,deal
1079,_misc( _books 1 _hats 1 ),1 book and 1 hat,book and one hat
1080,_deal,i agree.,deal
1081,_deal,deal,deal
1082,_deal _need( rest) _offer( _books 1 ),"alright, even though its a loss for me, you take the book, and i'll take the rest.","alright, you can have the book."
1083,_deal,ok,deal
1084,_nodeal,then no deal,no deal
1085,_misc( _books 1 _hats 1 ),1 book and 1 hat. final offer,1 book and 1 hat
1086,_nodeal,no deal then,no deal
1087,_deal,annoyingly reasonable... 8 <unk> )... ill agree,ok
1088,_deal,deal,deal
1089,_deal,fine,ok
1090,_nodeal,no deal,no deal
1091,_nodeal,no deal,no deal
1092,_deal,okay deal,deal
1093,_deal,ok deal,deal
1094,_deal,deal,ok
1095,_deal,deal,deal.
1096,_deal,okay deal,deal
1097,_deal,deal.,ok
1098,_deal,okay.,ok
1099,_deal,ok,deal
1100,_nodeal,never,no deal
1101,_deal,ok deal,ok
1102,_deal,yup,deal
1103,_deal,deal,ok
1104,_deal,ok deal.,ok
1105,_deal,i agree.,deal
1106,_deal,deal,deal
1107,_deal _thanks,thanks,thanks
1108,_deal,deal,ok
1109,_deal,deal.,deal
1110,_nodeal,no deal,no deal
1111,_deal,okay great! thank you!,deal
1112,_nodeal,no,no deal
1113,_nodeal,no deal then.,no deal
1114,_deal,deal,deal
1115,_deal,deal,deal
1116,_nodeal,no deal.,no deal
1117,_nodeal,no deal.,no deal
1118,_deal,yep,deal
1119,_deal _thanks,deal. thank you,thanks
1120,_deal,ok deal,ok
1121,_deal _thanks,thanks,thanks
1122,_deal,okay.,ok
1123,_deal,deal,ok
1124,_deal,ok thanks,ok
1125,_deal,yes,deal
1126,_deal,ok,deal
1127,_deal,deal.,deal.
1128,_nodeal,alright no deal.,no deal
1129,_deal,ok,deal
1130,_deal,i agree.,deal
1131,_deal,"ok, deal",ok
1132,_need( _balls 3),are you sure you can't take all three balls?,3 balls for me
1133,_deal,ok deal.,deal
1134,_greeting,hi,hi
1135,_deal,deal.,deal
1136,_deal,deal,ok
1137,_deal,deal,okay
1138,_misc( _books 1 _balls 1),1 book 1 ball,1 book and 1 ball
1139,_deal,great,ok
1140,_deal,ok deal,ok
1141,_deal,ok deal,deal
1142,_deal,ok,ok
1143,_deal,ok,ok
1144,_nodeal,no can do,no deal
1145,_deal,fine,deal
1146,_deal _thanks,thanks,thanks
1147,_deal,ok,deal
1148,_deal,deal,deal
1149,_deal,ok,ok
1150,_deal,ok,deal
1151,_nodeal,no deal.,no deal
1152,_deal,deal,deal
1153,_deal,ok deal.,deal
1154,_deal,i agree.,ok
1155,_nodeal,no deal,no deal
1156,_deal,agreed,deal.
1157,_deal,okay thank you!,ok
1158,_deal,yes,deal
1159,_counteroffer _offer( _books 1 _hats 2 ),4 : 1 is not fair. you can have both hats and one book.,2 hats 1 book and no deal
1160,_deal,alright.,ok
1161,_deal,deal,deal
1162,_deal,deal,deal
1163,_offer( _books 1 _hats 1 ),1 book and 1 hat for you,1 hat and 1 book to you?
1164,_deal,great,deal
1165,_deal,"ok, deal.",ok
1166,_deal,ok deal,ok
1167,_deal _thanks,thanks,thanks
1168,_deal,great,ok
1169,_deal,deal,deal
1170,_deal,fine,deal
1171,_nodeal,no deal.,no deal
1172,_deal,deal,deal
1173,_misc( _balls 2),2 balls and we have a deal,2 balls
1174,_deal,deal,deal
1175,_deal,deal.,ok
1176,_nodeal,okay no deal.,no deal
1177,_deal,sure,ok
1178,_deal,yup,ok
1179,_deal,deal,ok
1180,_deal,deal,deal
1181,_nodeal,no deal,no deal
1182,_need( _hats 3 ) _offer( _books 1 _balls 2),3 hats for 1 book and 3 balls,3 hats for 2 balls and 1 book
1183,_deal,ok deal,deal.
1184,_deal,deal,deal
1185,_deal,yes,ok
1186,_deal,deal,ok
1187,_nodeal,no deal,no deal
1188,_deal,sounds good,deal
1189,_offer( _books 1 _hats 3 ),alright youcan have three hats and one book?,3 hats and 1 book
1190,_nodeal,no deal,no deal
1191,_deal,ok,deal.
1192,_need( _books 1 ),"book is straight up the only thing that has value for me, i would like it and nothing else.",i need the book
1193,_need( _hats all _balls 1),and i need the hats and ball,ball and hats for me
1194,_nodeal,no deal,no deal
1195,_deal,deal.,ok
1196,_deal,deal,ok
1197,_deal,ok,ok
1198,_deal,i can do that,deal
1199,_nodeal,no deal,no deal
1200,_deal,ok,deal
1201,_deal,deal!,okay
1202,_deal,okay.,ok
1203,_offer( _books 1 _balls 1),book and one ball for you,1 book and 1 ball?
1204,_deal,alright sounds good.,ok
1205,_deal,okay.,ok
1206,_nodeal,okay no deal.,no deal
1207,_need( _books 1 _hats 3 ),book and 3 hats for me,book and 3 hats for me
1208,_deal,ok deal,deal
1209,_need( _hats 1 ),"1 hat or the rest are the same amount of points for me, and its low",i'll take the hat
1210,_deal,ok,deal
1211,_deal,ok,deal
1212,_deal,ok,ok
1213,_need( _books 1 ) _offer( _hats 1 ),book yes but only one hat for you,i'll take the book and you can have the hat
1214,_deal,ok,deal
1215,_deal,great,deal
1216,_deal,deal,deal
1217,_deal,ok deal,deal
1218,_deal,deal,okay
1219,_deal,"ok, deal.",deal
1220,_deal,ok,ok
1221,_deal,ok,ok
1222,_deal,okay,ok
1223,_nodeal,no deal,no deal
1224,_nodeal,no deal,no deal
1225,_counteroffer _misc( _books 1 _balls all),"alright, the balls and one book?",all the books and the balls?
1226,_nodeal,nope,no deal
1227,_need( _hats 1 ) _offer( _balls all),any way you'd give up the book for balls?,i'd like the hat and you can have the balls.
1228,_nodeal,no deal,no deal
1229,_nodeal,no deal,no deal
1230,_deal,deal,ok
1231,_deal,deal,deal
1232,_deal,deal,deal.
1233,_deal,deal,deal
1234,_deal,deal,deal
1235,_deal,deal,deal
1236,_misc( _hats 2 _balls 2),2 balls and 2 hats?,2 hats and 2 balls
1237,_deal,ok deal,ok
1238,_nodeal,no deal.,no deal
1239,_nodeal,no deal,no deal
1240,_nodeal,no deal.,no deal
1241,_deal,great,deal
1242,_deal,yes,deal.
1243,_deal,okay deal,ok
1244,_deal,yes,ok
1245,_nodeal,no,no deal
1246,_deal,deal!,deal
1247,_deal,deal.,ok
1248,_deal,deal,deal
1249,_need( _balls 0),balls are zero for me =<unk>,balls are 0 for me
1250,_deal,ok,deal
1251,_offer( _books 1 _balls 1),and i would only have 3 if you get the ball and book.,1 book and 1 ball
1252,_misc( _books 1 _hats all ),book and hats is only 4,book and hats
1253,_deal,yes,deal
1254,_nodeal,no way,no deal
1255,_deal,deal,deal
1256,_deal,ok deal,deal.
1257,_deal,okay,ok
1258,_deal,deal,deal
1259,_greeting,hi,hi
1260,_nodeal,no deal,no deal
1261,_misc( _books 1 _hats 3 ),at least one book. 3 hats and one book,1 book 3 hats
1262,_need( _balls 0),balls hace zero value on my end,balls are 0 to me
1263,_nodeal,no deal.,no deal
1264,_deal,ok,ok
1265,_deal,deal,deal
1266,_nodeal,no deal,no deal
1267,_deal,deal.,ok
1268,_need( rest) _offer( _hats 1 _balls 1),1 hat 1 ball and i keep the rest,1 hat and 1 ball for you
1269,_nodeal,haha no,no deal
1270,_nodeal,no deal,no deal
1271,_need( _hats 1 ) _offer( _books all ),books all yours but not the hat,"book for me, hats and hat for me"
1272,_deal,deal,deal
1273,_deal,deal,deal
1274,_deal,agreed.,ok
1275,_misc( _books all _hats all ),books and hats,all the books and hats
1276,_nodeal,no deal,no deal
1277,_deal,ok,ok
1278,_need( _books 1 _hats 2 ) _offer( rest),"2 hats and a book for me, you get rest?",2 hats and 1 book for me. you can have the rest
1279,_deal,ok,deal
1280,_deal,ok deal,ok
1281,_deal,deal,deal.
1282,_deal _thanks,thanks,thx
1283,_deal _thanks,thank you,thanks
1284,_deal,deal.,ok
1285,_need( _balls 1),ball is 7.,ball and a ball for me
1286,_deal,deal.,deal
1287,_deal,deal,deal
1288,_deal,ok deal.,ok
1289,_deal,deal,ok
1290,_deal,ok,ok
1291,_nodeal,no deal,no deal
1292,_deal,ok deal,deal
1293,_need( _hats 1 ) _offer( rest),"as it is to me, you can have everything else if i can have the hat",alright i can give you the rest?
1294,_deal,okay,okay
1295,_misc( _hats 1 _balls 1),ball and one hat,1 hat and 1 ball
1296,_deal,ok,ok
1297,_deal,okay,deal
1298,_deal,sounds good,ok
1299,_nodeal,no deal.,no deal
1300,_deal,deal,deal
1301,_deal,ok deal,deal
1302,_deal,thank you.,deal
1303,_deal,deal,ok
1304,_deal,great,deal
1305,_need( _books all _balls 1),ball and books for me,book and 1 ball for me
1306,_deal,ok deal,deal
1307,_nodeal,no deal,no deal
1308,_nodeal,no deal.,no deal
1309,_nodeal,no can do,no deal
1310,_deal,ok,deal
1311,_greeting,hi,hi
1312,_nodeal,okay no deal.,no deal
1313,_deal,ok,deal
1314,_deal,sure,ok
1315,_deal,ok,ok
1316,_deal,ok,ok
1317,_deal,deal,deal
1318,_deal,deal,ok
1319,_need( _hats 1 ) _offer( rest),"best i can do is i keep the hat, you get everything else.",all i need is the hat and you get the rest
1320,_offer( _books 2 _balls 1),ball and two books for you,2 books and one ball for you
1321,_deal,deal,deal.
1322,_deal,okay thank you!,deal
1323,_deal,ok,ok
1324,_nodeal,no deal then,no deal
1325,_deal,deal,deal
1326,_need( _balls 0),balls have 0 value on my end,ball is 0 for me.
1327,_nodeal,no deal.,no deal
1328,_misc( _books 1 _hats 2 ),2 hats and the book.,1 book and 2 hats
1329,_deal,deal,ok
1330,_nodeal,no deal,no deal
1331,_misc( _books 1 _balls 2),2 balls 1 book is my best offer,2 balls and 1 book
1332,_deal,ok,deal
1333,_nodeal,no deal,no deal
1334,_deal,yep,ok
1335,_deal,ok deal,ok
1336,_deal,ok deal,ok
1337,_nodeal,no deal,no deal
1338,_deal,deal.,ok deal
1339,_deal,deal,deal
1340,_deal,ok,ok
1341,_deal,ok,deal
1342,_deal,ok,ok
1343,_need( rest) _offer( _balls 3),"3 balls to you, the rest to me",3 balls for me
1344,_deal,okay thank you!,ok
1345,_deal,ok,deal
1346,_nodeal,no deal then,no deal
1347,_deal,deal,deal.
1348,_deal,deal,deal
1349,_deal,sure,ok
1350,_deal,deal,deal
1351,_deal,deal,yes
1352,_deal,ok,deal
1353,_deal,okay,deal
1354,_misc( _hats 2 _balls 3),2 hats 3 balls,2 hats and 3 balls for me
1355,_deal,okay deal,ok
1356,_need( _balls 0),balls have zero value for me,balls are 0 for me.
1357,_deal,deal.,ok
1358,_deal,sounds good,deal
1359,_nodeal,no deal,no deal
1360,_deal,deal,deal
1361,_misc( _books 1 _balls 1),ball and 1 book is my best offer.,book and 1 ball
1362,_misc( _books 2 _hats 1 ),2 books and a hat,2 books and 1 hat
1363,_deal,deal,ok
1364,_deal,okay,deal
1365,_deal,sounds good,ok deal
1366,_deal,okay,deal
1367,_misc( _books 2 _hats 2 ),2 books and 2 hats,book and 2 hats
1368,_deal,ok,ok
1369,_deal,deal,ok
1370,_counteroffer _need( _hats 1 _balls 1),"bad deal for me, i take hat and one ball","alright, i can't get the hat and one ball?"
1371,_misc( _books 1 _balls 1),book plus one ball?,1 book and one ball
1372,_misc( _books 1 _hats 3 ),3 hats and 1 book and we have a deal,3 hats and 1 book
1373,_misc( _books 1 _hats 1 ),1 hat 1 book,1 book and 1 hat
1374,_deal,deal,deal
1375,_deal,deal.,ok
1376,_deal,okay deal,ok
1377,_deal,deal,ok
1378,_deal,ok,deal
1379,_deal,deal,ok
1380,_deal,ok,ok
1381,_nodeal,no deal,no deal
1382,_deal,deal,deal
1383,_offer( _books 1 ),book for you,i can have the book
1384,_need( _hats all _balls all),balls and hats for me,balls and hats for me
1385,_need( _books 2 _balls 1),and i get the two books and the ball,ball and 2 books for me
1386,_deal,great,deal
1387,_nodeal,no.,no deal
1388,_deal,ok,deal
1389,_deal,ok,ok
1390,_deal,yup,ok
1391,_nodeal,no deal,no deal
1392,_deal,deal.,deal
1393,_need( _balls all) _offer( _books 1 ),balls are mine you can have one book though,all the balls for me and you can have the book
1394,_deal,deal.,deal
1395,_deal,okay,ok
1396,_nodeal,are you serious? how is that a legitmate offer?,no deal
1397,_misc( _books 1 _hats 1 ),1 book 1 hat,1 book and 1 hat
1398,_deal,deal,deal
1399,_deal,deal,ok
1400,_deal,okay thank you!,deal
1401,_deal,okay,ok
1402,_deal,deal,deal
1403,_deal,sounds good,ok
