,input,actual,predicted
447,any chance i can get 2 hats and the ball ?,_need( _hats 2 _balls 1) ,"(447, '_need( _hats 2 _balls 1)')"
448,"alright , i'll settle for that deal .",_deal ,"(448, '_deal')"
449,i can do that,_deal ,"(449, '_deal')"
450,no deal,_nodeal ,"(450, '_nodeal _deal')"
451,great,_deal ,"(451, '_deal')"
452,no deal,_nodeal ,"(452, '_nodeal _deal')"
453,book and one hat to me,_need( _books 1 _hats 1 ) ,"(453, '_need( _books 1 _hats 1 )')"
454,ok,_deal ,"(454, '_deal')"
455,deal,_deal ,"(455, '_deal')"
456,yep,_deal ,"(456, '_deal')"
457,no,_nodeal ,"(457, '_nodeal')"
458,no deal,_nodeal ,"(458, '_nodeal _deal')"
459,sounds good,_deal ,"(459, '_deal')"
460,yup,_deal ,"(460, '_deal')"
461,nope,_nodeal ,"(461, '_nodeal')"
462,ok,_deal ,"(462, '_deal')"
463,ok,_deal ,"(463, '_deal')"
464,no deal .,_nodeal ,"(464, '_nodeal')"
465,ok,_deal ,"(465, '_deal')"
466,deal,_deal ,"(466, '_deal')"
467,fine,_deal ,"(467, '_deal')"
468,deal,_deal ,"(468, '_deal')"
469,no,_nodeal ,"(469, '_nodeal')"
470,deal,_deal ,"(470, '_deal')"
471,deal,_deal ,"(471, '_deal')"
472,yes,_deal ,"(472, '_deal')"
473,are you willing to take one of the hats instead of the book ?,_offer( _books 0 _hats 1 ) ,"(473, '_offer( _books 1 _hats 1 )')"
474,ok deal,_deal ,"(474, '_deal')"
475,deal .,_deal ,"(475, '_deal')"
476,great,_deal ,"(476, '_deal')"
477,ok deal,_deal ,"(477, '_deal')"
478,"alright deal , thank you .",_deal _thanks ,"(478, '_deal _thanks')"
479,no deal,_nodeal ,"(479, '_nodeal _deal')"
480,deal,_deal ,"(480, '_deal')"
481,sounds good,_deal ,"(481, '_deal')"
482,ok,_deal ,"(482, '_deal')"
483,thanks !,_deal _thanks ,"(483, '_deal _thanks')"
484,no deal,_nodeal ,"(484, '_nodeal _deal')"
485,deal . thank you !,_deal _thanks ,"(485, '_deal _thanks')"
486,deal,_deal ,"(486, '_deal')"
487,deal .,_deal ,"(487, '_deal')"
488,no deal,_nodeal ,"(488, '_nodeal _deal')"
489,deal,_deal ,"(489, '_deal')"
490,balls are 1 point for me . no deal .,_nodeal ,"(490, '_need( _balls 0 _deal')"
491,4 balls 1 book thats it,_misc( _books 1 _balls 4) ,"(491, '_misc( _books 1 _balls 4 )')"
492,okay deal,_deal ,"(492, '_deal')"
493,no,_nodeal ,"(493, '_nodeal')"
494,no deal .,_nodeal ,"(494, '_nodeal')"
495,deal,_deal ,"(495, '_deal')"
496,sorry no deal,_nodeal ,"(496, '_nodeal')"
497,no deal,_nodeal ,"(497, '_nodeal _deal')"
498,"ok , no deal",_nodeal ,"(498, '_nodeal _deal')"
499,no deal,_nodeal ,"(499, '_nodeal _deal')"
500,ok,_deal ,"(500, '_deal')"
501,yes,_deal ,"(501, '_deal')"
502,deal,_deal ,"(502, '_deal')"
503,deal .,_deal ,"(503, '_deal')"
504,okay deal .,_deal ,"(504, '_deal')"
505,2 books and 1 hat,_misc( _books 2 _hats 1 ) ,"(505, '_misc( _books 2 _hats 1 )')"
506,deal,_deal ,"(506, '_deal')"
507,deal,_deal ,"(507, '_deal')"
508,sounds good,_deal ,"(508, '_deal')"
509,1 book and 1 hat is all i can give you,_offer( _books 1 _hats 1 ) ,"(509, '_offer( _books 1 _hats 1 )')"
510,deal .,_deal ,"(510, '_deal')"
511,yes,_deal ,"(511, '_deal')"
512,thanks,_deal _thanks ,"(512, '_deal _thanks')"
513,yes,_deal ,"(513, '_deal')"
514,yes,_deal ,"(514, '_deal')"
515,yes,_deal ,"(515, '_deal')"
516,thx,_deal _thanks ,"(516, '_deal _thanks')"
517,no deal .,_nodeal ,"(517, '_nodeal')"
518,sure,_deal ,"(518, '_deal')"
519,deal,_deal ,"(519, '_deal')"
520,deal,_deal ,"(520, '_deal')"
521,yes,_deal ,"(521, '_deal')"
522,deal,_deal ,"(522, '_deal')"
523,no can do,_nodeal ,"(523, '_nodeal')"
524,deal,_deal ,"(524, '_deal')"
525,nd,_nodeal ,"(525, '_nodeal')"
526,deal .,_deal ,"(526, '_deal')"
527,deal,_deal ,"(527, '_deal')"
528,ball and all the hats,_misc( _hats all _balls 1) ,"(528, '_misc( _hats all _balls all)')"
529,no deal,_nodeal ,"(529, '_nodeal _deal')"
530,ok,_deal ,"(530, '_deal')"
531,deal .,_deal ,"(531, '_deal')"
532,all i need is the book,_need( _books 1 ) ,"(532, '_need( _books 1 )')"
533,ok,_deal ,"(533, '_deal')"
534,okay deal,_deal ,"(534, '_deal')"
535,2 balls and the book .,_misc( _books 1 _balls 2) ,"(535, '_misc( _books 1 _balls 2)')"
536,no deal,_nodeal ,"(536, '_nodeal _deal')"
537,no deal,_nodeal ,"(537, '_nodeal _deal')"
538,no deal,_nodeal ,"(538, '_nodeal _deal')"
539,3 books 1 ball 2 hats,_misc( _books 3 _hats 2 _balls 1) ,"(539, '_misc( _books 3 _hats 2 _balls 1)')"
540,okay,_deal ,"(540, '_deal')"
541,deal,_deal ,"(541, '_deal')"
542,ok,_deal ,"(542, '_deal')"
543,ok,_deal ,"(543, '_deal')"
544,deal .,_deal ,"(544, '_deal')"
545,sure,_deal ,"(545, '_deal')"
546,thx,_deal _thanks ,"(546, '_deal _thanks')"
547,deal,_deal ,"(547, '_deal')"
548,deal .,_deal ,"(548, '_deal')"
549,agreed,_deal ,"(549, '_deal')"
550,agreed,_deal ,"(550, '_deal')"
551,deal,_deal ,"(551, '_deal')"
552,deal,_deal ,"(552, '_deal')"
553,agreed i will take the three books,_deal _need( _books 3 ) ,"(553, '_deal _need( _books 3 )')"
554,deal,_deal ,"(554, '_deal')"
555,deal !,_deal ,"(555, '_deal')"
556,deal,_deal ,"(556, '_deal')"
557,agreed . i get 2 books and a hat .,_deal _need( _books 2 _hats 1 ) ,"(557, '_deal _need( _books 2 _hats 1 )')"
558,no deal .,_nodeal ,"(558, '_nodeal')"
559,okay no deal .,_nodeal ,"(559, '_nodeal')"
560,deal .,_deal ,"(560, '_deal')"
561,deal,_deal ,"(561, '_deal')"
562,deal,_deal ,"(562, '_deal')"
563,deal .,_deal ,"(563, '_deal')"
564,deal,_deal ,"(564, '_deal')"
565,"ok , thanks",_deal ,"(565, '_deal _thanks')"
566,yes,_deal ,"(566, '_deal')"
567,deal,_deal ,"(567, '_deal')"
568,great !,_deal ,"(568, '_deal')"
569,yes,_deal ,"(569, '_deal')"
570,2 hats and 2 books ?,_misc( _books 2 _hats 2 ) ,"(570, '_misc( _books 2 _hats 2 )')"
571,deal,_deal ,"(571, '_deal')"
572,deal .,_deal ,"(572, '_deal')"
573,deal .,_deal ,"(573, '_deal')"
574,deal,_deal ,"(574, '_deal')"
575,"are you asking me ? yes , i'd like the book and balls .",_need( _books 1 _balls all) ,"(575, '_yes _need( _books 1 _balls 1)')"
576,"book and a ball , thats good for you",_offer( _books 1 _balls 1) ,"(576, '_offer( _books 1 _balls 1)')"
577,ok deal,_deal ,"(577, '_deal')"
578,no deal .,_nodeal ,"(578, '_nodeal')"
579,no deal .,_nodeal ,"(579, '_nodeal')"
580,yes .,_deal ,"(580, '_deal')"
581,ok,_deal ,"(581, '_deal')"
582,6 / 10 is a weak hand . . . . we should pass on this deal,_nodeal ,"(582, '_deal')"
583,great !,_deal ,"(583, '_deal')"
584,no deal,_nodeal ,"(584, '_nodeal _deal')"
585,fine,_deal ,"(585, '_deal')"
586,deal .,_deal ,"(586, '_deal')"
587,ok,_deal ,"(587, '_deal')"
588,ok,_deal ,"(588, '_deal')"
589,1 book and 1 hat,_misc( _books 1 _hats 1 ) ,"(589, '_misc( _books 1 _hats 1 )')"
590,deal,_deal ,"(590, '_deal')"
591,deal,_deal ,"(591, '_deal')"
592,no deal .,_nodeal ,"(592, '_nodeal')"
593,no deal .,_nodeal ,"(593, '_nodeal')"
594,deal,_deal ,"(594, '_deal')"
595,awesome !,_deal ,"(595, '_deal')"
596,okay great !,_deal ,"(596, '_deal')"
597,no deal,_nodeal ,"(597, '_nodeal _deal')"
598,no deal .,_nodeal ,"(598, '_nodeal')"
599,no deal .,_nodeal ,"(599, '_nodeal')"
600,deal,_deal ,"(600, '_deal')"
601,no deal,_nodeal ,"(601, '_nodeal _deal')"
602,ok,_deal ,"(602, '_deal')"
603,deal,_deal ,"(603, '_deal')"
604,no deal .,_nodeal ,"(604, '_nodeal')"
605,no deal,_nodeal ,"(605, '_nodeal _deal')"
606,no deal,_nodeal ,"(606, '_nodeal _deal')"
607,sure,_deal ,"(607, '_deal')"
608,okay great ! thank you !,_deal ,"(608, '_deal _thanks')"
609,sounds good,_deal ,"(609, '_deal')"
610,deal,_deal ,"(610, '_deal')"
611,thanks,_deal _thanks ,"(611, '_deal _thanks')"
612,deal .,_deal ,"(612, '_deal')"
613,no deal,_nodeal ,"(613, '_nodeal _deal')"
614,okay thank you !,_deal ,"(614, '_deal _thanks')"
615,deal,_deal ,"(615, '_deal')"
616,deal,_deal ,"(616, '_deal')"
617,deal,_deal ,"(617, '_deal')"
618,deal .,_deal ,"(618, '_deal')"
619,okay thank you !,_deal ,"(619, '_deal _thanks')"
620,sounds good,_deal ,"(620, '_deal')"
621,4 / 10 is no deal for me . . . . . .,_nodeal ,"(621, '_nodeal _offer( _books 4 _ 10 _deal')"
622,deal,_deal ,"(622, '_deal')"
623,deal,_deal ,"(623, '_deal')"
624,deal,_deal ,"(624, '_deal')"
625,1 ball 2 books,_misc( _books 2 _balls 1) ,"(625, '_misc( _books 2 _balls 1)')"
626,ok,_deal ,"(626, '_deal')"
627,yes,_deal ,"(627, '_deal')"
628,yes,_deal ,"(628, '_deal')"
629,no deal,_nodeal ,"(629, '_nodeal _deal')"
630,ok,_deal ,"(630, '_deal')"
631,ok,_deal ,"(631, '_deal')"
632,deal,_deal ,"(632, '_deal')"
633,okay great ! thank you !,_deal ,"(633, '_deal _thanks')"
634,deal,_deal ,"(634, '_deal')"
635,hello,_greeting ,"(635, '_greeting')"
636,deal,_deal ,"(636, '_deal')"
637,yes,_deal ,"(637, '_deal')"
638,deal,_deal ,"(638, '_deal')"
639,"balls are worthless to me , i need a hat",_need( _hats 1 _balls 0) ,"(639, '_need( _hats 1 _balls 1)')"
640,yep,_deal ,"(640, '_deal')"
641,no deal .,_nodeal ,"(641, '_nodeal')"
642,ok no deal,_nodeal ,"(642, '_nodeal _deal')"
643,nope,_nodeal ,"(643, '_nodeal')"
644,deal,_deal ,"(644, '_deal')"
645,deal,_deal ,"(645, '_deal')"
646,yep,_deal ,"(646, '_deal')"
647,"books and a hat , work with me here .",_misc( _books all _hats 1 ) ,"(647, '_need( _books all _hats 1 )')"
648,sounds good .,_deal ,"(648, '_deal')"
649,ok no deal,_nodeal ,"(649, '_nodeal _deal')"
650,deal .,_deal ,"(650, '_deal')"
651,sounds good,_deal ,"(651, '_deal')"
652,no deal,_nodeal ,"(652, '_nodeal _deal')"
653,yes,_deal ,"(653, '_deal')"
654,"alright ,",_deal ,"(654, '_deal')"
655,ball and 2 books for me,_need( _books 2 _balls 1) ,"(655, '_need( _books 2 _balls 1)')"
656,deal .,_deal ,"(656, '_deal')"
657,deal,_deal ,"(657, '_deal')"
658,okay,_deal ,"(658, '_deal')"
659,deal,_deal ,"(659, '_deal')"
660,ok deal,_deal ,"(660, '_deal')"
661,deal,_deal ,"(661, '_deal')"
662,thank you,_deal _thanks ,"(662, '_deal _thanks')"
663,deal,_deal ,"(663, '_deal')"
664,no deal,_nodeal ,"(664, '_nodeal _deal')"
665,no deal,_nodeal ,"(665, '_nodeal _deal')"
666,yes,_deal ,"(666, '_deal')"
667,okay,_deal ,"(667, '_deal')"
668,deal,_deal ,"(668, '_deal')"
669,yes,_deal ,"(669, '_deal')"
670,deal,_deal ,"(670, '_deal')"
671,deal,_deal ,"(671, '_deal')"
672,ok,_deal ,"(672, '_deal')"
673,hi,_greeting ,"(673, '_greeting')"
674,ball and two books,_need( _books 2 _balls 1) ,"(674, '_misc( _books 2 _balls 1)')"
675,great !,_deal ,"(675, '_deal')"
676,fine,_deal ,"(676, '_deal')"
677,okay,_deal ,"(677, '_deal')"
678,ok deal,_deal ,"(678, '_deal')"
679,thank you,_deal _thanks ,"(679, '_deal _thanks')"
680,no deal,_nodeal ,"(680, '_nodeal _deal')"
681,no deal,_nodeal ,"(681, '_nodeal _deal')"
682,great ! thank you !,_deal ,"(682, '_deal _thanks')"
683,deal,_deal ,"(683, '_deal')"
684,deal,_deal ,"(684, '_deal')"
685,no,_nodeal ,"(685, '_nodeal')"
686,deal,_deal ,"(686, '_deal')"
687,"alright then , i will take the balls and you can have the rest .",_need( _balls all) _offer( rest) ,"(687, '_yes _need( _balls all) _offer( rest)')"
688,deal,_deal ,"(688, '_deal')"
689,deal,_deal ,"(689, '_deal')"
690,no deal,_nodeal ,"(690, '_nodeal _deal')"
691,great ! thank you !,_deal ,"(691, '_deal _thanks')"
692,"ok , deal",_deal ,"(692, '_deal')"
693,sorry no deal,_nodeal ,"(693, '_nodeal')"
694,yes,_deal ,"(694, '_deal')"
695,okay deal .,_deal ,"(695, '_deal')"
696,no deal,_nodeal ,"(696, '_nodeal _deal')"
697,deal,_deal ,"(697, '_deal')"
698,ok,_deal ,"(698, '_deal')"
699,okay deal .,_deal ,"(699, '_deal')"
700,thanks,_deal _thanks ,"(700, '_deal _thanks')"
701,no deal,_nodeal ,"(701, '_nodeal _deal')"
702,no deal,_nodeal ,"(702, '_nodeal _deal')"
703,okay thank you !,_deal ,"(703, '_deal _thanks')"
704,ok deal,_deal ,"(704, '_deal')"
705,no deal,_nodeal ,"(705, '_nodeal _deal')"
706,no deal,_nodeal ,"(706, '_nodeal _deal')"
707,no deal,_nodeal ,"(707, '_nodeal _deal')"
708,ok deal,_deal ,"(708, '_deal')"
709,ok deal,_deal ,"(709, '_deal')"
710,no deal,_nodeal ,"(710, '_nodeal _deal')"
711,deal,_deal ,"(711, '_deal')"
712,okay deal .,_deal ,"(712, '_deal')"
713,deal,_deal ,"(713, '_deal')"
714,no deal,_nodeal ,"(714, '_nodeal _deal')"
715,ok deal,_deal ,"(715, '_deal')"
716,yes,_deal ,"(716, '_deal')"
717,no deal,_nodeal ,"(717, '_nodeal _deal')"
718,deal,_deal ,"(718, '_deal')"
719,3 balls and 1 book,_misc( _books 1 _balls 3) ,"(719, '_misc( _books 1 _balls 3 )')"
720,balls are 0 for me .,_need( _balls 0) ,"(720, '_need( _balls 0)')"
721,no deal,_nodeal ,"(721, '_nodeal _deal')"
722,thx,_deal _thanks ,"(722, '_deal _thanks')"
723,ok,_deal ,"(723, '_deal')"
724,no deal .,_nodeal ,"(724, '_nodeal')"
725,ok,_deal ,"(725, '_deal')"
726,agreed !,_deal ,"(726, '_deal')"
727,sorry no deal,_nodeal ,"(727, '_nodeal')"
728,deal,_deal ,"(728, '_deal')"
729,"all hats to me , you have rest",_need( _hats all ) _offer( rest) ,"(729, '_need( _hats all ) _offer( rest)')"
730,deal,_deal ,"(730, '_deal')"
731,no deal,_nodeal ,"(731, '_nodeal _deal')"
732,yes,_deal ,"(732, '_deal')"
733,deal,_deal ,"(733, '_deal')"
734,deal,_deal ,"(734, '_deal')"
735,yes,_deal ,"(735, '_deal')"
736,yes,_deal ,"(736, '_deal')"
737,no deal,_nodeal ,"(737, '_nodeal _deal')"
738,nope,_nodeal ,"(738, '_nodeal')"
739,no deal,_nodeal ,"(739, '_nodeal _deal')"
740,no deal,_nodeal ,"(740, '_nodeal _deal')"
741,ok,_deal ,"(741, '_deal')"
742,ok,_deal ,"(742, '_deal')"
743,no deal then,_nodeal ,"(743, '_nodeal _deal')"
744,no deal,_nodeal ,"(744, '_nodeal _deal')"
745,cool,_deal ,"(745, '_deal')"
746,then no deal,_nodeal ,"(746, '_nodeal _deal')"
747,no deal,_nodeal ,"(747, '_nodeal _deal')"
748,okay,_deal ,"(748, '_deal')"
749,great !,_deal ,"(749, '_deal')"
750,deal,_deal ,"(750, '_deal')"
751,"again , i get 2 balls and 1 hat and then i have 3 items and you have 4",_need( _hats 1 _balls 2) ,"(751, '_need( _hats 1 _balls 2 ) _offer( 3)')"
752,i can't do that,_nodeal ,"(752, '_nodeal')"
753,ok .,_deal ,"(753, '_deal')"
754,deal,_deal ,"(754, '_deal')"
755,okay,_deal ,"(755, '_deal')"
756,deal,_deal ,"(756, '_deal')"
757,sure,_deal ,"(757, '_deal')"
758,deal,_deal ,"(758, '_deal')"
759,hi,_greeting ,"(759, '_greeting')"
760,yes,_deal ,"(760, '_deal')"
761,thank you !,_deal ,"(761, '_deal _thanks')"
762,thanks,_deal _thanks ,"(762, '_deal _thanks')"
763,no deal,_nodeal ,"(763, '_nodeal _deal')"
764,add another ball and we call it the,_misc( _balls 1) ,"(764, '_need( _balls 1)')"
765,deal,_deal ,"(765, '_deal')"
766,no deal,_nodeal ,"(766, '_nodeal _deal')"
767,sure,_deal ,"(767, '_deal')"
768,"all balls to me , the rest to you",_need( _balls all) _offer( _books rest _hats rest ) ,"(768, '_need( rest) _offer( _balls all)')"
769,ok,_deal ,"(769, '_deal')"
770,deal,_deal ,"(770, '_deal')"
771,okay,_deal ,"(771, '_deal')"
772,"alright then , i will take 2 books and you can have the rest .",_need( _books 2 ) _offer( rest) ,"(772, '_need( _books 2 ) _offer( rest)')"
773,deal,_deal ,"(773, '_deal')"
774,ok,_deal ,"(774, '_deal')"
775,"okay , deal .",_deal ,"(775, '_deal')"
776,deal .,_deal ,"(776, '_deal')"
777,no deal,_nodeal ,"(777, '_nodeal _deal')"
778,no deal,_nodeal ,"(778, '_nodeal _deal')"
779,no deal,_nodeal ,"(779, '_nodeal _deal')"
780,no deal,_nodeal ,"(780, '_nodeal _deal')"
781,all i want is the hats .,_need( _hats all ) ,"(781, '_need( _hats all )')"
782,ok,_deal ,"(782, '_deal')"
783,thanks !,_deal _thanks ,"(783, '_deal _thanks')"
784,no deal .,_nodeal ,"(784, '_nodeal')"
785,balls and books for me,_need( _books all _balls all) ,"(785, '_need( _books all _balls all)')"
786,ok .,_deal ,"(786, '_deal')"
787,ok deal,_deal ,"(787, '_deal')"
788,okay deal,_deal ,"(788, '_deal')"
789,deal,_deal ,"(789, '_deal')"
790,yes,_deal ,"(790, '_deal')"
791,yes,_deal ,"(791, '_deal')"
792,deal,_deal ,"(792, '_deal')"
793,ok deal,_deal ,"(793, '_deal')"
794,no deal,_nodeal ,"(794, '_nodeal _deal')"
795,no deal,_nodeal ,"(795, '_nodeal _deal')"
796,deal,_deal ,"(796, '_deal')"
797,deal .,_deal ,"(797, '_deal')"
798,nope,_nodeal ,"(798, '_nodeal')"
799,sounds good,_deal ,"(799, '_deal')"
800,no deal,_nodeal ,"(800, '_nodeal _deal')"
801,agreed .,_deal ,"(801, '_deal')"
802,deal,_deal ,"(802, '_deal')"
803,okay .,_deal ,"(803, '_deal')"
804,ok,_deal ,"(804, '_deal')"
805,no deal,_nodeal ,"(805, '_nodeal _deal')"
806,ok,_deal ,"(806, '_deal')"
807,no deal,_nodeal ,"(807, '_nodeal _deal')"
808,no deal,_nodeal ,"(808, '_nodeal _deal')"
809,thanks !,_deal _thanks ,"(809, '_deal _thanks')"
810,then no deal,_nodeal ,"(810, '_nodeal _deal')"
811,okay deal,_deal ,"(811, '_deal')"
812,no deal,_nodeal ,"(812, '_nodeal _deal')"
813,ok deal,_deal ,"(813, '_deal')"
814,deal .,_deal ,"(814, '_deal')"
815,deal .,_deal ,"(815, '_deal')"
816,deal,_deal ,"(816, '_deal')"
817,okay,_deal ,"(817, '_deal')"
818,2 hats 1 ball for u,_offer( _hats 2 _balls 1) ,"(818, '_need( _hats 2 _balls 1)')"
819,deal,_deal ,"(819, '_deal')"
820,no deal,_nodeal ,"(820, '_nodeal _deal')"
821,no deal,_nodeal ,"(821, '_nodeal _deal')"
822,ok,_deal ,"(822, '_deal')"
823,ok deal,_deal ,"(823, '_deal')"
824,no deal,_nodeal ,"(824, '_nodeal _deal')"
825,are the books not worth for you ?,_misc( _books all ) ,"(825, '_offer( _books all )')"
826,are you kidding ? this is not how this works,_nodeal ,"(826, '_nodeal')"
827,ok deal .,_deal ,"(827, '_deal')"
828,all you want is the hats and i can take everything else ?,_need( rest) _offer( _hats all ) ,"(828, '_need( _hats all ) _offer( rest)')"
829,deal .,_deal ,"(829, '_deal')"
830,ok,_deal ,"(830, '_deal')"
831,"ok , deal",_deal ,"(831, '_deal')"
832,no deal .,_nodeal ,"(832, '_nodeal')"
833,deal,_deal ,"(833, '_deal')"
834,ok deal,_deal ,"(834, '_deal')"
835,deal .,_deal ,"(835, '_deal')"
836,deal,_deal ,"(836, '_deal')"
837,okay,_deal ,"(837, '_deal')"
838,great ! thank you !,_deal ,"(838, '_deal _thanks')"
839,hello,_greeting ,"(839, '_greeting')"
840,okay deal,_deal ,"(840, '_deal')"
841,sounds good .,_deal ,"(841, '_deal')"
842,ok deal,_deal ,"(842, '_deal')"
843,"are you able to select ""no deal was agreed"" ?",_nodeal ,"(843, '_nodeal _offer( _deal')"
844,deal .,_deal ,"(844, '_deal')"
845,book and one hat for me,_need( _books 1 _hats 1 ) ,"(845, '_need( _books 1 _hats 1 )')"
846,ok,_deal ,"(846, '_deal')"
847,deal,_deal ,"(847, '_deal')"
848,alright i will take the book . you take the rest .,_need( _books 1 ) _offer( rest) ,"(848, '_need( _books 1 ) _offer( rest)')"
849,book only,_misc( _books 1 ) ,"(849, '_need( _books 1 )')"
850,deal,_deal ,"(850, '_deal')"
851,deal,_deal ,"(851, '_deal')"
852,beautiful,_deal ,"(852, '_deal')"
853,deal,_deal ,"(853, '_deal')"
854,"2 books for me , you can have all the rest",_need( _books 2 ) _offer( rest) ,"(854, '_need( _books 2 ) _offer( rest)')"
855,ok deal .,_deal ,"(855, '_deal')"
856,thanks,_deal _thanks ,"(856, '_deal _thanks')"
857,yes,_deal ,"(857, '_deal')"
858,sounds good .,_deal ,"(858, '_deal')"
859,no deal,_nodeal ,"(859, '_nodeal _deal')"
860,yes .,_deal ,"(860, '_deal')"
861,2 hats and a ball or the book,_misc( _books ? _hats 2 _balls ?) ,"(861, '_misc( _books 1 _hats 2 _balls 1)')"
862,deal,_deal ,"(862, '_deal')"
863,deal,_deal ,"(863, '_deal')"
864,no deal,_nodeal ,"(864, '_nodeal _deal')"
865,ok,_deal ,"(865, '_deal')"
866,no deal,_nodeal ,"(866, '_nodeal _deal')"
867,"1 ball , 1 hat and 2 books for me",_need( _books 2 _hats 1 _balls 1) ,"(867, '_need( _books 2 _hats 1 _balls 1)')"
868,deal,_deal ,"(868, '_deal')"
869,deal,_deal ,"(869, '_deal')"
870,deal !,_deal ,"(870, '_deal')"
871,":  okay , you can have the ball , i'll take the hat and the 3 books",_deal _need( _books 3 _hats 1 ) _offer( _balls 1) ,"(871, '_offer( _books 3 _hats 1 _balls 1)')"
872,2 balls . . . you can have everything else,_need( _balls 2) _offer( rest) ,"(872, '_need( _balls 2 ) _offer( rest)')"
873,ok,_deal ,"(873, '_deal')"
874,no deal .,_nodeal ,"(874, '_nodeal')"
875,okay thank you !,_deal ,"(875, '_deal _thanks')"
876,great,_deal ,"(876, '_deal')"
877,no deal,_nodeal ,"(877, '_nodeal _deal')"
878,no deal .,_nodeal ,"(878, '_nodeal')"
879,deal,_deal ,"(879, '_deal')"
880,2 hats and one book for one ball,_need( _books 1 _hats 2 ) _offer( _books 1 ) ,"(880, '_misc( _books 1 _hats 2 _balls 1)')"
881,okay great ! thank you !,_deal ,"(881, '_deal _thanks')"
882,no deal .,_nodeal ,"(882, '_nodeal')"
883,ok no deal,_nodeal ,"(883, '_nodeal _deal')"
884,okay,_deal ,"(884, '_deal')"
885,deal,_deal ,"(885, '_deal')"
886,deal,_deal ,"(886, '_deal')"
887,all three hats,_misc( _hats 3 ) ,"(887, '_misc( _hats 3 )')"
888,ok,_deal ,"(888, '_deal')"
889,great,_deal ,"(889, '_deal')"
890,thanks,_deal _thanks ,"(890, '_deal _thanks')"
891,yes,_deal ,"(891, '_deal')"
892,agreed . which means i get two books and the ball .,_deal _need( _books 2 _balls 1) ,"(892, '_deal _need( _books 2 _balls 1)')"
893,okay deal .,_deal ,"(893, '_deal')"
894,deal .,_deal ,"(894, '_deal')"
895,deal,_deal ,"(895, '_deal')"
896,"and i will take the rest , good deal",_need( rest) ,"(896, '_need( rest) _deal')"
897,okay deal,_deal ,"(897, '_deal')"
898,deal .,_deal ,"(898, '_deal')"
899,agreed . no deal,_nodeal ,"(899, '_nodeal _deal')"
900,ok,_deal ,"(900, '_deal')"
901,fine,_deal ,"(901, '_deal')"
902,any way you will take the hat and the ball instead ?,_offer( _books 0 _hats 1 _balls 1) ,"(902, '_offer( _hats 1 _balls 1)')"
903,okay,_deal ,"(903, '_deal')"
904,no deal,_nodeal ,"(904, '_nodeal _deal')"
905,no deal,_nodeal ,"(905, '_nodeal _deal')"
906,deal,_deal ,"(906, '_deal')"
907,great,_deal ,"(907, '_deal')"
908,deal,_deal ,"(908, '_deal')"
909,yep,_deal ,"(909, '_deal')"
910,no deal .,_nodeal ,"(910, '_nodeal')"
911,deal,_deal ,"(911, '_deal')"
912,okay,_deal ,"(912, '_deal')"
913,ok,_deal ,"(913, '_deal')"
914,deal,_deal ,"(914, '_deal')"
915,and i get one ball,_need( _balls 1) ,"(915, '_need( _balls 1)')"
916,sure,_deal ,"(916, '_deal')"
917,alright i'm taking 3 books and the hat .,_need( _books 3 _hats 1 ) ,"(917, '_need( _books 3 _hats 1 )')"
918,nope,_nodeal ,"(918, '_nodeal')"
919,sure,_deal ,"(919, '_deal')"
920,book and three hats,_misc( _books 1 _hats 3 ) ,"(920, '_misc( _books 1 _hats 3 )')"
921,"ball to costly to me , book and all hats is worth less then ball for me",_need( _balls 1) ,"(921, '_need( _books 1 _hats all _balls 1)')"
922,no deal,_nodeal ,"(922, '_nodeal _deal')"
923,sure,_deal ,"(923, '_deal')"
924,deal .,_deal ,"(924, '_deal')"
925,no deal .,_nodeal ,"(925, '_nodeal')"
926,sure,_deal ,"(926, '_deal')"
927,all i need is the hat,_need( _hats 1 ) ,"(927, '_need( _hats 1 )')"
928,ok deal,_deal ,"(928, '_deal')"
929,no deal,_nodeal ,"(929, '_nodeal _deal')"
930,deal,_deal ,"(930, '_deal')"
931,no deal,_nodeal ,"(931, '_nodeal _deal')"
932,deal,_deal ,"(932, '_deal')"
933,sure,_deal ,"(933, '_deal')"
934,ok deal,_deal ,"(934, '_deal')"
935,great ! thank you !,_deal ,"(935, '_deal _thanks')"
936,deal .,_deal ,"(936, '_deal')"
937,no deal,_nodeal ,"(937, '_nodeal _deal')"
938,ok,_deal ,"(938, '_deal')"
939,"alright , you can have the hat , and the ball . i will take three books .",_need( _books 3 ) _offer( _hats 1 _balls 1) ,"(939, '_need( _books 3 _hats 1 _balls 1)')"
940,deal !,_deal ,"(940, '_deal')"
941,okay thank you !,_deal ,"(941, '_deal _thanks')"
942,deal,_deal ,"(942, '_deal')"
943,deal,_deal ,"(943, '_deal')"
944,okay,_deal ,"(944, '_deal')"
945,yep,_deal ,"(945, '_deal')"
946,deal,_deal ,"(946, '_deal')"
947,awesome .,_deal ,"(947, '_deal')"
948,yup impossible unless one person gets low points glad you understand,_nodeal ,"(948, '_offer( _need( 1)')"
949,no deal,_nodeal ,"(949, '_nodeal _deal')"
950,deal,_deal ,"(950, '_deal')"
951,i can do that,_deal ,"(951, '_deal')"
952,"a book , a ball and three hats",_misc( _books 1 _hats 3 ) ,"(952, '_misc( _books 1 _hats 3 _balls 1)')"
953,deal !,_deal ,"(953, '_deal')"
