,sentences,Actual,Predicted
682,great! thank you!,_deal,_deal
683,deal,_deal,_deal
684,deal,_deal,_deal
685,no,_nodeal,_no
686,deal,_deal,_deal
687,"alright then, i will take the balls and you can have the rest.",_need( _balls all) _offer( rest),_need( _balls all) _offer( rest)
688,deal,_deal,_deal
689,deal,_deal,_deal
690,no deal,_nodeal,_no
691,great! thank you!,_deal,_deal
692,"ok, deal",_deal,_deal
693,sorry no deal,_nodeal,_nodeal
694,yes,_deal,_deal
695,okay deal.,_deal,_deal
696,no deal,_nodeal,_nodeal
697,deal,_deal,(deal
698,ok,_deal,_deal
699,okay deal.,_deal,_deal
700,thanks,_deal _thanks,_deal
701,no deal,_nodeal,_nodeal
702,no deal,_nodeal,_nodeal
703,okay thank you!,_deal,_deal
704,ok deal,_deal,_deal
705,no deal,_nodeal,_no
706,no deal,_nodeal,_nodeal
707,no deal,_nodeal,_odeal
708,ok deal,_deal,_deal
709,ok deal,_deal,_deal
710,no deal,_nodeal,_nodeal
711,deal,_deal,_deal
712,okay deal.,_deal,_deal
713,deal,_deal,_deal
714,no deal,_nodeal,_nodeal
715,ok deal,_deal,_deal
716,yes,_deal,_deal
717,no deal,_nodeal,_nodeal
718,deal,_deal,"""deal"
719,3 balls and 1 book,_misc( _books 1 _balls 3),_misc( _books 1 _balls 3)
720,balls are 0 for me.,_need( _balls 0),_need( _balls 0)
721,no deal,_nodeal,_need
722,thx,_deal _thanks,_deal
723,ok,_deal,_deal
724,no deal.,_nodeal,_deal
725,ok,_deal,_deal
726,agreed!,_deal,_deal
727,sorry no deal,_nodeal,_nodeal
728,deal,_deal,_deal
729,"all hats to me, you have rest",_need( _hats all ) _offer( rest),_need( _hats all ) _offer( rest)
730,deal,_deal,_deal
731,no deal,_nodeal,_nodeal
732,yes,_deal,_deal
733,deal,_deal,_deal
734,deal,_deal,_deal
735,yes,_deal,_deal
736,yes,_deal,_deal
737,no deal,_nodeal,_nodeal
738,nope,_nodeal,_no
739,no deal,_nodeal,_nodeal
740,no deal,_nodeal,_nodeal
741,ok,_deal,_deal
742,ok,_deal,_deal
743,no deal then,_nodeal,_nodeal
744,no deal,_nodeal,_nodeal
745,cool,_deal,_deal
746,then no deal,_nodeal,_no
747,no deal,_nodeal,_odeal
748,okay,_deal,_deal
749,great!,_deal,_deal
750,deal,_deal,_deal
751,"again, i get 2 balls and 1 hat and then i have 3 items and you have 4",_need( _hats 1 _balls 2),_need( _hats 1 _balls 2) _offer( _books 3 )
752,i can't do that,_nodeal,_nodeal
753,ok.,_deal,_deal
754,deal,_deal,_deal
755,okay,_deal,_deal
756,deal,_deal,_deal
757,sure,_deal,_deal
758,deal,_deal,_deal
759,hi,_greeting,_greing
760,yes,_deal,_deal
761,thank you!,_deal,_deal
762,thanks,_deal _thanks,_deal _thanks
763,no deal,_nodeal,_nodeal
764,add another ball and we call it the,_misc( _balls 1),_need( _balls 1)
765,deal,_deal,_deal
766,no deal,_nodeal,_nodeal
767,sure,_deal,0
768,"all balls to me, the rest to you",_need( _balls all) _offer( _books rest _hats rest ),_need( rest) _offer( _balls all)
769,ok,_deal,deal
770,deal,_deal,_deal
771,okay,_deal,_deal
772,"alright then, i will take 2 books and you can have the rest.",_need( _books 2 ) _offer( rest),_offer( _books 2 )
773,deal,_deal,_deal
774,ok,_deal,_deal
775,"okay, deal.",_deal,_deal
776,deal.,_deal,_deal
777,no deal,_nodeal,1
778,no deal,_nodeal,_nodeal
779,no deal,_nodeal,_nodeal
780,no deal,_nodeal,_nodeal
781,all i want is the hats.,_need( _hats all ),_need( _hats all )
782,ok,_deal,_deal
783,thanks!,_deal _thanks,_deal _thanks
784,no deal.,_nodeal,_nodeal
785,balls and books for me,_need( _books all _balls all),_need( _books all _balls all)
786,ok.,_deal,_deal
787,ok deal,_deal,_deal
788,okay deal,_deal,_deal
789,deal,_deal,"""deal"
790,yes,_deal,_deal
791,yes,_deal,/deal
792,deal,_deal,_deal
793,ok deal,_deal,_deal
794,no deal,_nodeal,_odeal
795,no deal,_nodeal,_nodeal
796,deal,_deal,_deal
797,deal.,_deal,_deal
798,nope,_nodeal,_nodeal
799,sounds good,_deal,_deal
800,no deal,_nodeal,_nodeal
801,agreed.,_deal,_deal
802,deal,_deal,_deal
803,okay.,_deal,_deal
804,ok,_deal,_deal
805,no deal,_nodeal,_no
806,ok,_deal,_deal
807,no deal,_nodeal,_nova
808,no deal,_nodeal,_nodeal
809,thanks!,_deal _thanks,_deal _thanks
810,then no deal,_nodeal,_nodeal
811,okay deal,_deal,_deal
812,no deal,_nodeal,_nodeal
813,ok deal,_deal,_deal
814,deal.,_deal,_deal
815,deal.,_deal,_deal
816,deal,_deal,_deal
817,okay,_deal,_deal
818,2 hats 1 ball for u,_offer( _hats 2 _balls 1),_misc( _hats 2 _balls 1)
819,deal,_deal,:
820,no deal,_nodeal,#nodeal
821,no deal,_nodeal,_nodeal
822,ok,_deal,_deal
823,ok deal,_deal,_deal
824,no deal,_nodeal,_nodeal
825,are the books not worth for you?,_misc( _books all ),_nodeal
826,are you kidding? this is not how this works,_nodeal,_nodeal
827,ok deal.,_deal,_deal
828,all you want is the hats and i can take everything else?,_need( rest) _offer( _hats all ),_need( _hats all )
829,deal.,_deal,_deal
830,ok,_deal,_deal
831,"ok, deal",_deal,_deal
832,no deal.,_nodeal,_nodeal
833,deal,_deal,_deal
834,ok deal,_deal,_deal
835,deal.,_deal,_deal
836,deal,_deal,_deal
837,okay,_deal,"""("
838,great! thank you!,_deal,_deal
839,hello,_greeting,_greeting
840,okay deal,_deal,_deal
841,sounds good.,_deal,_deal
842,ok deal,_deal,_deal
843,are you able to select no deal was agreed?,_nodeal,_nodeal
844,deal.,_deal,""""
845,book and one hat for me,_need( _books 1 _hats 1 ),_need( _books 1 _hats 1 )
846,ok,_deal,_deal
847,deal,_deal,_deal
848,alright i will take the book. you take the rest.,_need( _books 1 ) _offer( rest),_need( _books 1 ) _offer( rest)
849,book only,_misc( _books 1 ),_need( _books 1 )
850,deal,_deal,_deal
851,deal,_deal,_deal
852,beautiful,_deal,_deal
853,deal,_deal,_deal
854,"2 books for me, you can have all the rest",_need( _books 2 ) _offer( rest),_need( _books 2 ) _offer( rest)
855,ok deal.,_deal,_deal
856,thanks,_deal _thanks,_deal _thanks
857,yes,_deal,_deal
858,sounds good.,_deal,_deal
859,no deal,_nodeal,_nodeal
860,yes.,_deal,_deal
861,2 hats and a ball or the book,_misc( _books? _hats 2 _balls?),_misc( _hats 2 _balls 1)
862,deal,_deal,_deal
863,deal,_deal,_deal
864,no deal,_nodeal,_nodeal
865,ok,_deal,_deal
866,no deal,_nodeal,_nodeal
867,"1 ball, 1 hat and 2 books for me",_need( _books 2 _hats 1 _balls 1),_need( _hats 1 _books 2 _balls 1)
868,deal,_deal,_deal
869,deal,_deal,_deal
870,deal!,_deal,_deal
871,": ) okay, you can have the ball, i'll take the hat and the 3 books",_deal _need( _books 3 _hats 1 ) _offer( _balls 1),_need( _books 3 _hats 1 ) _offer( _balls 1)
872,2 balls... you can have everything else,_need( _balls 2) _offer( rest),_need( _balls 2) _offer( rest)
873,ok,_deal,_deal
874,no deal.,_nodeal,_nodeal
875,okay thank you!,_deal,_deal
876,great,_deal,_deal
877,no deal,_nodeal,_nodeal
878,no deal.,_nodeal,_nodeal
879,deal,_deal,_deal
880,2 hats and one book for one ball,_need( _books 1 _hats 2 ) _offer( _books 1 ),_misc( _books 1 _hats 2 _balls 1)
881,okay great! thank you!,_deal,_deal
882,no deal.,_nodeal,_nodeal
883,ok no deal,_nodeal,_nodeal
884,okay,_deal,_deal
885,deal,_deal,_deal
886,deal,_deal,_deal
887,all three hats,_misc( _hats 3 ),_misc( _hats 3 )
888,ok,_deal,_deal
889,great,_deal,_deal
890,thanks,_deal _thanks,_deal _thanks
891,yes,_deal,_deal
892,agreed. which means i get two books and the ball.,_deal _need( _books 2 _balls 1),_need( _books 2 _balls 1)
893,okay deal.,_deal,"""deal"
894,deal.,_deal,_deal
895,deal,_deal,_deal
896,"and i will take the rest, good deal",_need( rest),_need( rest)
897,okay deal,_deal,_deal
898,deal.,_deal,_deal
899,agreed. no deal,_nodeal,_nodeal
900,ok,_deal,_deal
901,fine,_deal,_deal
902,any way you will take the hat and the ball instead?,_offer( _books 0 _hats 1 _balls 1),_need( _hats 1 _balls 1)
903,okay,_deal,_deal
904,no deal,_nodeal,_nodeal
905,no deal,_nodeal,_nodeal
906,deal,_deal,_deal
907,great,_deal,_deal
908,deal,_deal,_deal
909,yep,_deal,_deal
910,no deal.,_nodeal,_nodeal
911,deal,_deal,_deal
912,okay,_deal,"""deal"
913,ok,_deal,_deal
914,deal,_deal,_deal
915,and i get one ball,_need( _balls 1),_need( _balls 1)
916,sure,_deal,""""
917,alright i'm taking 3 books and the hat.,_need( _books 3 _hats 1 ),_need( _hats 1 _books 3 )
918,nope,_nodeal,_no
919,sure,_deal,_deal
920,book and three hats,_misc( _books 1 _hats 3 ),_misc( _books 1 _hats 3 )
921,"ball to costly to me, book and all hats is worth less then ball for me",_need( _balls 1),_need( _books 1 _hats all?)
922,no deal,_nodeal,_odeal
923,sure,_deal,_deal
924,deal.,_deal,_deal
925,no deal.,_nodeal,1
926,sure,_deal,_deal
927,all i need is the hat,_need( _hats 1 ),_need( _hats 1 )
928,ok deal,_deal,_deal
929,no deal,_nodeal,_nodeal
930,deal,_deal,"""deal"
931,no deal,_nodeal,_nodeal
932,deal,_deal,_deal
933,sure,_deal,_deal
934,ok deal,_deal,_deal
935,great! thank you!,_deal,_deal
936,deal.,_deal,""""
937,no deal,_nodeal,_yes
938,ok,_deal,_deal
939,"alright, you can have the hat, and the ball. i will take three books.",_need( _books 3 ) _offer( _hats 1 _balls 1),_yes _need( _hats 1 _balls 1) _offer( _books 3 )
940,deal!,_deal,_deal
941,okay thank you!,_deal,_deal
942,deal,_deal,_deal
943,deal,_deal,_deal
944,okay,_deal,_deal
945,yep,_deal,_deal
946,deal,_deal,_deal
947,awesome.,_deal,_deal
948,yup impossible unless one person gets low points glad you understand,_nodeal,_deal
949,no deal,_nodeal,_nodeal
950,deal,_deal,_deal
951,i can do that,_deal,_deal
952,"a book, a ball and three hats",_misc( _books 1 _hats 3 ),_need( _books 1 _hats 3 )
953,deal!,_deal,_deal
954,thanks,_deal _thanks,_deal _thanks
955,yes,_deal,_deal
956,deal,_deal,deal
957,yes,_deal,_deal
958,yep,_deal,_deal
959,sounds good,_deal,all
960,never,_nodeal,_deal
961,are you interested in the hat at all?,_misc( _hats 1 ),_need( _hats 1 )
962,1 hat 2 balls for m,_need( _hats 1 _balls 2),_misc( _hats 1 _balls 2)
963,deal,_deal,_deal
964,ok,_deal,"""deal"
965,no deal,_nodeal,_nodeal
966,deal,_deal,_deal
967,thank you!,_deal,_deal
968,okay great! thank you!,_deal,_deal
969,deal,_deal,_deal
970,ok deal,_deal,_deal
971,deal,_deal,_deal
972,ok deal,_deal,_deal
973,yes,_deal,_deal
974,"agreed, you take the 4 books and i take ball and hat.",_deal _need( _hats 1 _balls 1) _offer( _books 4 ),_deal
975,ok,_deal,_deal
976,ok,_deal,<unk>
977,no deal,_nodeal,_nodeal
978,no deal,_nodeal,_counter
979,no deal,_nodeal,_nodeal
980,no deal,_nodeal,_no
981,"and we're still going to roll with an uneven split. in that case, i'll take the books and a hat, then?",_need( _books all _hats 1 ),_need( _books all _hats 1 )
982,all thebooks,_misc( _books all ),_need( _books all )
983,yes,_deal,_deal
984,all i want is the hat you can have everything else,_need( _hats 1 ) _offer( rest),_need( _hats 1 ) _offer( rest)
985,"ok, no deal",_nodeal,_nodeal
986,deal.,_deal,_deal
987,okay,_deal,_deal
988,no deal,_nodeal,"""nodeal"
989,"balls arnt doing much for me, that book though.",_need( _books 1 _balls 0),_need( _books 1 _balls all)
990,no,_nodeal,_nodeal
991,deal.,_deal,_deal
992,ok no deal,_nodeal,_nodeal
993,agreed you get 1 book and i get everything else,_deal _need( rest) _offer( _books 1 ),_deal
994,deal,_deal,_deal
995,deal,_deal,_deal
996,no deal,_nodeal,_nodeal
997,no deal,_nodeal,_no
998,sounds good,_deal,_deal
999,okay deal,_deal,_deal
1000,deal,_deal,_deal
1001,ok deal,_deal,_deal
1002,ok,_deal,_deal
1003,fine,_deal,_deal
1004,ok,_deal,_deal
1005,ok,_deal,_deal
1006,deal,_deal,_deal
1007,no deal.,_nodeal,_nodeal
1008,deal,_deal,_deal
1009,i can't do that,_nodeal,_nodeal
1010,okay,_deal,_deal
1011,okay deal.,_deal,_deal
1012,okay great! thank you!,_deal,_deal
1013,deal,_deal,_deal
1014,deal.,_deal,_deal
1015,deal.,_deal,_deal
1016,balls are not 5 each for me i have not value for the hat also does not indicate no value just no value to me.,_need( _hats 0 ),_need( _hats 1 _balls 5)
1017,ok,_deal,_deal
1018,deal,_deal,_deal
1019,deal,_deal,_deal
1020,ok,_deal,_deal
1021,no deal,_nodeal,"""nodeal"
1022,deal.,_deal,_deal
1023,sure,_deal,_deal
1024,great,_deal,_deal
1025,deal,_deal,_deal
1026,2 balls 1 hat for you,_offer( _hats 1 _balls 2),_need( _hats 1 _balls 2)
1027,deal,_deal,_deal
1028,deal.,_deal,_deal
1029,okay thank you!,_deal,_deal
1030,alright. i take the book. you take the rest.,_yes _need( _books 1 ) _offer( rest),_yes _need( _books 1 ) _offer( rest)
1031,deal.,_deal,_deal
1032,"no, for me.",_nodeal,_nodeal
1033,sounds good.,_deal,_deal
1034,3 hats and 1 ball?,_misc( _hats 3 _balls 1),_misc( _hats 3 _balls 1)
1035,deal,_deal,_deal
1036,deal,_deal,_deal
1037,deal.,_deal,_deal
1038,deal,_deal,_deal
1039,ok deal,_deal,_deal
1040,deal.,_deal,_deal
1041,no deal.,_nodeal,_no
1042,yes.,_deal,_deal
1043,deal.,_deal,_deal
1044,ok deal,_deal,_deal
1045,deal.,_deal,_deal
1046,deal,_deal,_deal
1047,deal,_deal,_deal
1048,then no deal,_nodeal,_nodeal
1049,ok deal,_deal,_deal
1050,deal,_deal,_deal
1051,book and 2 hats to me,_need( _books 1 _hats 2 ),_need( _books 1 _hats 2 )
1052,deal.,_deal,"""deal"
1053,hi,_greeting,_greeting
1054,great,_deal,_deal
1055,all the balls if i get the hat too.,_need( _hats 1 ) _offer( _balls all),_need( _hats 1 )
1056,no deal,_nodeal,_nodeal
1057,yes,_deal,_deal
1058,sounds good,_deal,_deal
1059,deal.,_deal,_deal
1060,agreed,_deal,_deal
1061,2 hats and a book for me,_need( _books 1 _hats 2 ),_need( _hats 2 )
1062,deal,_deal,_deal
1063,ok deal,_deal,_deal
1064,deal.,_deal,""""
1065,ok,_deal,_deal
1066,cool,_deal,_deal
1067,book is worth 7 to me,_need( _books 1 ),_need( _books 1 )
1068,deal,_deal,_deal
1069,i can't do that,_nodeal,_nodeal
1070,great,_deal,_deal
1071,no deal,_nodeal,nodeal
1072,ok,_deal,_deal
1073,yes,_deal,_deal
1074,deal,_deal,_deal
1075,yes,_deal,"""deal"
1076,fine,_deal,_deal
1077,deal,_deal,"""deal"
1078,yes,_deal,_deal
1079,1 book and 1 hat,_misc( _books 1 _hats 1 ),_need( _hats 1 )
1080,i agree.,_deal,_deal
1081,deal,_deal,_deal
1082,"alright, even though its a loss for me, you take the book, and i'll take the rest.",_deal _need( rest) _offer( _books 1 ),_need( _books 1 ) _offer( rest)
1083,ok,_deal,_deal
1084,then no deal,_nodeal,_no
1085,1 book and 1 hat. final offer,_misc( _books 1 _hats 1 ),_misc( _books 1 _hats 1 )
1086,no deal then,_nodeal,Odeal
1087,annoyingly reasonable... 8 <unk> )... ill agree,_deal,_nodeal
1088,deal,_deal,"""deal"
1089,fine,_deal,_deal
1090,no deal,_nodeal,_nodeal
1091,no deal,_nodeal,_nodeal
1092,okay deal,_deal,_deal
1093,ok deal,_deal,_deal
1094,deal,_deal,"""deal"
1095,deal,_deal,_deal
1096,okay deal,_deal,_deal
1097,deal.,_deal,_deal
1098,okay.,_deal,_deal
1099,ok,_deal,_deal
1100,never,_nodeal,_no
1101,ok deal,_deal,(deal
1102,yup,_deal,_deal
1103,deal,_deal,_deal
1104,ok deal.,_deal,_deal
1105,i agree.,_deal,_deal
1106,deal,_deal,_deal
1107,thanks,_deal _thanks,_deal _thanks
1108,deal,_deal,_deal
1109,deal.,_deal,_deal
1110,no deal,_nodeal,_nodeal
1111,okay great! thank you!,_deal,_deal
1112,no,_nodeal,_nodeal
1113,no deal then.,_nodeal,_nodeal
1114,deal,_deal,_deal
1115,deal,_deal,_deal
1116,no deal.,_nodeal,_nodeal
1117,no deal.,_nodeal,_nodeal
1118,yep,_deal,_deal
1119,deal. thank you,_deal _thanks,_deal
1120,ok deal,_deal,_deal
1121,thanks,_deal _thanks,_deal
1122,okay.,_deal,_deal
1123,deal,_deal,"""deal"
1124,ok thanks,_deal,_deal
1125,yes,_deal,yes
1126,ok,_deal,_deal
1127,deal.,_deal,_deal
1128,alright no deal.,_nodeal,_nodeal
1129,ok,_deal,_deal
1130,i agree.,_deal,_deal
1131,"ok, deal",_deal,deal
1132,are you sure you can't take all three balls?,_need( _balls 3),_need( _balls all)
1133,ok deal.,_deal,_deal
1134,hi,_greeting,_greeting
1135,deal.,_deal,-
1136,deal,_deal,"""deal"
1137,deal,_deal,_deal
1138,1 book 1 ball,_misc( _books 1 _balls 1),_misc( _books 1 _balls 1)
1139,great,_deal,_deal
1140,ok deal,_deal,_deal
1141,ok deal,_deal,_deal
1142,ok,_deal,_deal
1143,ok,_deal,_deal
1144,no can do,_nodeal,_nodeal
1145,fine,_deal,_deal
1146,thanks,_deal _thanks,_deal _thanks
1147,ok,_deal,_deal
1148,deal,_deal,_deal
1149,ok,_deal,_deal
1150,ok,_deal,_deal
1151,no deal.,_nodeal,_nodeal
1152,deal,_deal,_deal
1153,ok deal.,_deal,_deal
1154,i agree.,_deal,_deal
1155,no deal,_nodeal,1
1156,agreed,_deal,_deal
1157,okay thank you!,_deal,_deal
1158,yes,_deal,_deal
1159,4 : 1 is not fair. you can have both hats and one book.,_counteroffer _offer( _books 1 _hats 2 ),_need( _books 1 _hats 2 )
1160,alright.,_deal,_deal
1161,deal,_deal,Deal
1162,deal,_deal,_deal
1163,1 book and 1 hat for you,_offer( _books 1 _hats 1 ),_need( _books 1 _hats 1 )
1164,great,_deal,_deal
1165,"ok, deal.",_deal,_deal
1166,ok deal,_deal,_deal
1167,thanks,_deal _thanks,_deal _thanks
1168,great,_deal,_deal
1169,deal,_deal,_deal
1170,fine,_deal,_deal
1171,no deal.,_nodeal,_nodeal
1172,deal,_deal,_deal
1173,2 balls and we have a deal,_misc( _balls 2),_need( _balls 2)
1174,deal,_deal,_deal
1175,deal.,_deal,_deal
1176,okay no deal.,_nodeal,_nodeal
1177,sure,_deal,_deal
1178,yup,_deal,(deal
1179,deal,_deal,_deal
1180,deal,_deal,_deal
1181,no deal,_nodeal,_yes
1182,3 hats for 1 book and 3 balls,_need( _hats 3 ) _offer( _books 1 _balls 2),_misc( _hats 3 ) _need( _books 1 _balls all)
1183,ok deal,_deal,_deal
1184,deal,_deal,_deal
1185,yes,_deal,_deal
1186,deal,_deal,_deal
1187,no deal,_nodeal,_nodeal
1188,sounds good,_deal,_deal
1189,alright youcan have three hats and one book?,_offer( _books 1 _hats 3 ),_need( _books 1 _hats 3 )
1190,no deal,_nodeal,_nodeal
1191,ok,_deal,_deal
1192,"book is straight up the only thing that has value for me, i would like it and nothing else.",_need( _books 1 ),_need( _books 1 )
1193,and i need the hats and ball,_need( _hats all _balls 1),_need( _hats all _balls 1)
1194,no deal,_nodeal,_nodeal
1195,deal.,_deal,_deal
1196,deal,_deal,_deal
1197,ok,_deal,_deal
1198,i can do that,_deal,_deal
1199,no deal,_nodeal,_nodeal
1200,ok,_deal,all
1201,deal!,_deal,_deal
1202,okay.,_deal,_deal
1203,book and one ball for you,_offer( _books 1 _balls 1),_offer( _books 1 _balls 1)
1204,alright sounds good.,_deal,_deal
1205,okay.,_deal,_deal
1206,okay no deal.,_nodeal,_nodeal
1207,book and 3 hats for me,_need( _books 1 _hats 3 ),_need( _books 1 _hats 3 )
1208,ok deal,_deal,_deal
1209,"1 hat or the rest are the same amount of points for me, and its low",_need( _hats 1 ),_need( _hats 1 )
1210,ok,_deal,_deal
1211,ok,_deal,_deal
1212,ok,_deal,-
1213,book yes but only one hat for you,_need( _books 1 ) _offer( _hats 1 ),_need( _books 1 _hats 1 )
1214,ok,_deal,_deal
1215,great,_deal,_deal
1216,deal,_deal,_deal
1217,ok deal,_deal,Ideal
1218,deal,_deal,_______
1219,"ok, deal.",_deal,_deal
1220,ok,_deal,_deal
1221,ok,_deal,_deal
1222,okay,_deal,_deal
1223,no deal,_nodeal,_nodeal
1224,no deal,_nodeal,_nodeal
1225,"alright, the balls and one book?",_counteroffer _misc( _books 1 _balls all),_yes _need( _books 1 _balls all)
1226,nope,_nodeal,_nodeal
1227,any way you'd give up the book for balls?,_need( _hats 1 ) _offer( _balls all),_need( _books 1 )
1228,no deal,_nodeal,_nodeal
1229,no deal,_nodeal,_nodeal
1230,deal,_deal,_deal
1231,deal,_deal,_deal
1232,deal,_deal,_deal
1233,deal,_deal,_deal
1234,deal,_deal,_deal
1235,deal,_deal,_deal
1236,2 balls and 2 hats?,_misc( _hats 2 _balls 2),_misc( _hats 2 _balls 2)
1237,ok deal,_deal,_deal
1238,no deal.,_nodeal,_nodeal
1239,no deal,_nodeal,_nodeal
1240,no deal.,_nodeal,_nodeal
1241,great,_deal,_deal
1242,yes,_deal,.
1243,okay deal,_deal,_deal
1244,yes,_deal,_deal
1245,no,_nodeal,_nodeal
1246,deal!,_deal,_deal
1247,deal.,_deal,_deal
1248,deal,_deal,_deal
1249,balls are zero for me =<unk>,_need( _balls 0),_nodeal
1250,ok,_deal,_deal
1251,and i would only have 3 if you get the ball and book.,_offer( _books 1 _balls 1),_need( _books 1 _balls 1)
1252,book and hats is only 4,_misc( _books 1 _hats all ),_misc( _books 1 _hats all )
1253,yes,_deal,yes
1254,no way,_nodeal,_no
1255,deal,_deal,M
1256,ok deal,_deal,_deal
1257,okay,_deal,_deal
1258,deal,_deal,_deal
1259,hi,_greeting,_greeting
1260,no deal,_nodeal,_nodeal
1261,at least one book. 3 hats and one book,_misc( _books 1 _hats 3 ),_misc( _books 1 _hats 3 )
1262,balls hace zero value on my end,_need( _balls 0),_need( _balls all)
1263,no deal.,_nodeal,_nodeal
1264,ok,_deal,_deal
1265,deal,_deal,_deal
1266,no deal,_nodeal,_nodeal
1267,deal.,_deal,_deal
1268,1 hat 1 ball and i keep the rest,_need( rest) _offer( _hats 1 _balls 1),_need( _hats 1 _balls 1) _offer( rest)
1269,haha no,_nodeal,_nodeal
1270,no deal,_nodeal,_nodeal
1271,books all yours but not the hat,_need( _hats 1 ) _offer( _books all ),_need( _books all ) _offer( _hats 1 )
1272,deal,_deal,_deal
1273,deal,_deal,_deal
1274,agreed.,_deal,_deal
1275,books and hats,_misc( _books all _hats all ),_misc( _books all _hats all )
1276,no deal,_nodeal,_nodeal
1277,ok,_deal,_deal
1278,"2 hats and a book for me, you get rest?",_need( _books 1 _hats 2 ) _offer( rest),_need( _books 1 _hats 2 ) _offer( rest)
1279,ok,_deal,_deal
1280,ok deal,_deal,"""deal"
1281,deal,_deal,_deal
1282,thanks,_deal _thanks,_deal _thanks
1283,thank you,_deal _thanks,_deal
1284,deal.,_deal,_deal
1285,ball is 7.,_need( _balls 1),_misc( _balls 7)
1286,deal.,_deal,_deal
1287,deal,_deal,_deal
1288,ok deal.,_deal,_deal
1289,deal,_deal,_deal
1290,ok,_deal,_deal
1291,no deal,_nodeal,_nodeal
1292,ok deal,_deal,_deal
1293,"as it is to me, you can have everything else if i can have the hat",_need( _hats 1 ) _offer( rest),_need( _hats 1 ) _offer( rest)
1294,okay,_deal,_deal
1295,ball and one hat,_misc( _hats 1 _balls 1),_misc( _hats 1 _balls 1)
1296,ok,_deal,_deal
1297,okay,_deal,_deal
1298,sounds good,_deal,_deal
1299,no deal.,_nodeal,_nodeal
1300,deal,_deal,_deal
1301,ok deal,_deal,_deal
1302,thank you.,_deal,_deal
1303,deal,_deal,_deal
1304,great,_deal,_deal
1305,ball and books for me,_need( _books all _balls 1),_need( _books all _balls 1)
1306,ok deal,_deal,_deal
1307,no deal,_nodeal,_no
1308,no deal.,_nodeal,_nodeal
1309,no can do,_nodeal,_nodeal
1310,ok,_deal,_deal
1311,hi,_greeting,_grey
1312,okay no deal.,_nodeal,_yes
1313,ok,_deal,_deal
1314,sure,_deal,I
1315,ok,_deal,_deal
1316,ok,_deal,_deal
1317,deal,_deal,ge
1318,deal,_deal,_deal
1319,"best i can do is i keep the hat, you get everything else.",_need( _hats 1 ) _offer( rest),_need( _hats 1 )
1320,ball and two books for you,_offer( _books 2 _balls 1),_need( _books 2 _balls 1)
1321,deal,_deal,_deal
1322,okay thank you!,_deal,_deal
1323,ok,_deal,_deal
1324,no deal then,_nodeal,_nodeal
1325,deal,_deal,"""deal"
1326,balls have 0 value on my end,_need( _balls 0),_need( _balls 0)
1327,no deal.,_nodeal,_nodeal
1328,2 hats and the book.,_misc( _books 1 _hats 2 ),_misc( _books 1 _hats 2 )
1329,deal,_deal,_deal
1330,no deal,_nodeal,_nodeal
1331,2 balls 1 book is my best offer,_misc( _books 1 _balls 2),_misc( _books 1 _balls 2)
1332,ok,_deal,_deal
1333,no deal,_nodeal,_nodeal
1334,yep,_deal,_deal
1335,ok deal,_deal,_deal
1336,ok deal,_deal,_deal
1337,no deal,_nodeal,_nodeal
1338,deal.,_deal,_deal
1339,deal,_deal,_deal
1340,ok,_deal,_deal
1341,ok,_deal,_deal
1342,ok,_deal,_deal
1343,"3 balls to you, the rest to me",_need( rest) _offer( _balls 3),_need( rest) _offer( _balls 1)
1344,okay thank you!,_deal,_deal
1345,ok,_deal,_deal
1346,no deal then,_nodeal,_nodeal
1347,deal,_deal,Adeal
1348,deal,_deal,_deal
1349,sure,_deal,_deal
1350,deal,_deal,_deal
1351,deal,_deal,_deal
1352,ok,_deal,_deal
1353,okay,_deal,_deal
1354,2 hats 3 balls,_misc( _hats 2 _balls 3),_misc( _hats 2 _balls 1)
1355,okay deal,_deal,_deal
1356,balls have zero value for me,_need( _balls 0),_need( _balls 0)
1357,deal.,_deal,_deal
1358,sounds good,_deal,_deal
1359,no deal,_nodeal,_nodeal
1360,deal,_deal,_deal
1361,ball and 1 book is my best offer.,_misc( _books 1 _balls 1),_misc( _books 1 _balls 1)
1362,2 books and a hat,_misc( _books 2 _hats 1 ),_misc( _books 2 _hats 1 )
1363,deal,_deal,_deal
1364,okay,_deal,_deal
1365,sounds good,_deal,_deal
1366,okay,_deal,_deal
1367,2 books and 2 hats,_misc( _books 2 _hats 2 ),_misc( _books 2 _hats 2 )
1368,ok,_deal,_deal
1369,deal,_deal,_deal
1370,"bad deal for me, i take hat and one ball",_counteroffer _need( _hats 1 _balls 1),_need( _hats 1 _balls 1)
1371,book plus one ball?,_misc( _books 1 _balls 1),_need( _books 1 _balls 1)
1372,3 hats and 1 book and we have a deal,_misc( _books 1 _hats 3 ),_misc( _books 1 _hats 3 )
1373,1 hat 1 book,_misc( _books 1 _hats 1 ),_misc( _books 1 _hats 1 )
1374,deal,_deal,_deal
1375,deal.,_deal,_deal
1376,okay deal,_deal,_deal
1377,deal,_deal,_deal
1378,ok,_deal,<unk>
1379,deal,_deal,_deal
1380,ok,_deal,_deal
1381,no deal,_nodeal,_nodeal
1382,deal,_deal,_deal
1383,book for you,_offer( _books 1 ),_offer( _books 1 )
1384,balls and hats for me,_need( _hats all _balls all),_need( _balls all)
1385,and i get the two books and the ball,_need( _books 2 _balls 1),_need( _books 2 _balls 1)
