,input,actual,predicted
501,_deal,yes,"(501, 'deal')"
502,_deal,deal,"(502, 'deal')"
503,_deal,deal .,"(503, 'deal')"
504,_deal,okay deal .,"(504, 'deal')"
505,_misc _books 2 _hats 1 ,2 books and 1 hat,"(505, '2 books and one hat ?')"
506,_deal,deal,"(506, 'deal')"
507,_deal,deal,"(507, 'deal')"
508,_deal,sounds good,"(508, 'deal')"
509,_offer _books 1 _hats 1 ,1 book and 1 hat is all i can give you,"(509, '1 book and 1 hat for you ?')"
510,_deal,deal .,"(510, 'deal')"
511,_deal,yes,"(511, 'deal')"
512,_deal _thanks,thanks,"(512, 'deal . thank you')"
513,_deal,yes,"(513, 'deal')"
514,_deal,yes,"(514, 'deal')"
515,_deal,yes,"(515, 'deal')"
516,_deal _thanks,thx,"(516, 'deal . thank you')"
517,_nodeal,no deal .,"(517, 'no deal')"
518,_deal,sure,"(518, 'deal')"
519,_deal,deal,"(519, 'deal')"
520,_deal,deal,"(520, 'deal')"
521,_deal,yes,"(521, 'deal')"
522,_deal,deal,"(522, 'deal')"
523,_nodeal,no can do,"(523, 'no deal')"
524,_deal,deal,"(524, 'deal')"
525,_nodeal,nd,"(525, 'no deal')"
526,_deal,deal .,"(526, 'deal')"
527,_deal,deal,"(527, 'deal')"
528,_misc _hats all _balls 1,ball and all the hats,"(528, 'all the hats and the ball ?')"
529,_nodeal,no deal,"(529, 'no deal')"
530,_deal,ok,"(530, 'deal')"
531,_deal,deal .,"(531, 'deal')"
532,_need _books 1 ,all i need is the book,"(532, 'book and 1 book for me ?')"
533,_deal,ok,"(533, 'deal')"
534,_deal,okay deal,"(534, 'deal')"
535,_misc _books 1 _balls 2,2 balls and the book .,"(535, '2 balls and 1 book ?')"
536,_nodeal,no deal,"(536, 'no deal')"
537,_nodeal,no deal,"(537, 'no deal')"
538,_nodeal,no deal,"(538, 'no deal')"
539,_misc _books 3 _hats 2 _balls 1,3 books 1 ball 2 hats,"(539, '3 books 2 hats and one ball ?')"
540,_deal,okay,"(540, 'deal')"
541,_deal,deal,"(541, 'deal')"
542,_deal,ok,"(542, 'deal')"
543,_deal,ok,"(543, 'deal')"
544,_deal,deal .,"(544, 'deal')"
545,_deal,sure,"(545, 'deal')"
546,_deal _thanks,thx,"(546, 'deal . thank you')"
547,_deal,deal,"(547, 'deal')"
548,_deal,deal .,"(548, 'deal')"
549,_deal,agreed,"(549, 'deal')"
550,_deal,agreed,"(550, 'deal')"
551,_deal,deal,"(551, 'deal')"
552,_deal,deal,"(552, 'deal')"
553,_deal _need _books 3 ,agreed i will take the three books,"(553, 'deal . i need 3 books .')"
554,_deal,deal,"(554, 'deal')"
555,_deal,deal !,"(555, 'deal')"
556,_deal,deal,"(556, 'deal')"
557,_deal _need _books 2 _hats 1 ,agreed . i get 2 books and a hat .,"(557, 'deal . i need two books and one hat .')"
558,_nodeal,no deal .,"(558, 'no deal')"
559,_nodeal,okay no deal .,"(559, 'no deal')"
560,_deal,deal .,"(560, 'deal')"
561,_deal,deal,"(561, 'deal')"
562,_deal,deal,"(562, 'deal')"
563,_deal,deal .,"(563, 'deal')"
564,_deal,deal,"(564, 'deal')"
565,_deal,"ok , thanks","(565, 'deal')"
566,_deal,yes,"(566, 'deal')"
567,_deal,deal,"(567, 'deal')"
568,_deal,great !,"(568, 'deal')"
569,_deal,yes,"(569, 'deal')"
570,_misc _books 2 _hats 2 ,2 hats and 2 books ?,"(570, '2 books and 2 hats ?')"
571,_deal,deal,"(571, 'deal')"
572,_deal,deal .,"(572, 'deal')"
573,_deal,deal .,"(573, 'deal')"
574,_deal,deal,"(574, 'deal')"
575,_need _books 1 _balls all,"are you asking me ? yes , i'd like the book and balls .","(575, 'all the balls and books for me ?')"
576,_offer _books 1 _balls 1,"book and a ball , thats good for you","(576, 'book and one ball for you ?')"
577,_deal,ok deal,"(577, 'deal')"
578,_nodeal,no deal .,"(578, 'no deal')"
579,_nodeal,no deal .,"(579, 'no deal')"
580,_deal,yes .,"(580, 'deal')"
581,_deal,ok,"(581, 'deal')"
582,_nodeal,6 / 10 is a weak hand . . . . we should pass on this deal,"(582, 'no deal')"
583,_deal,great !,"(583, 'deal')"
584,_nodeal,no deal,"(584, 'no deal')"
585,_deal,fine,"(585, 'deal')"
586,_deal,deal .,"(586, 'deal')"
587,_deal,ok,"(587, 'deal')"
588,_deal,ok,"(588, 'deal')"
589,_misc _books 1 _hats 1 ,1 book and 1 hat,"(589, '1 book and 1 hat ?')"
590,_deal,deal,"(590, 'deal')"
591,_deal,deal,"(591, 'deal')"
592,_nodeal,no deal .,"(592, 'no deal')"
593,_nodeal,no deal .,"(593, 'no deal')"
594,_deal,deal,"(594, 'deal')"
595,_deal,awesome !,"(595, 'deal')"
596,_deal,okay great !,"(596, 'deal')"
597,_nodeal,no deal,"(597, 'no deal')"
598,_nodeal,no deal .,"(598, 'no deal')"
599,_nodeal,no deal .,"(599, 'no deal')"
600,_deal,deal,"(600, 'deal')"
601,_nodeal,no deal,"(601, 'no deal')"
602,_deal,ok,"(602, 'deal')"
603,_deal,deal,"(603, 'deal')"
604,_nodeal,no deal .,"(604, 'no deal')"
605,_nodeal,no deal,"(605, 'no deal')"
606,_nodeal,no deal,"(606, 'no deal')"
607,_deal,sure,"(607, 'deal')"
608,_deal,okay great ! thank you !,"(608, 'deal')"
609,_deal,sounds good,"(609, 'deal')"
610,_deal,deal,"(610, 'deal')"
611,_deal _thanks,thanks,"(611, 'deal . thank you')"
612,_deal,deal .,"(612, 'deal')"
613,_nodeal,no deal,"(613, 'no deal')"
614,_deal,okay thank you !,"(614, 'deal')"
615,_deal,deal,"(615, 'deal')"
616,_deal,deal,"(616, 'deal')"
617,_deal,deal,"(617, 'deal')"
618,_deal,deal .,"(618, 'deal')"
619,_deal,okay thank you !,"(619, 'deal')"
620,_deal,sounds good,"(620, 'deal')"
621,_nodeal,4 / 10 is no deal for me . . . . . .,"(621, 'no deal')"
622,_deal,deal,"(622, 'deal')"
623,_deal,deal,"(623, 'deal')"
624,_deal,deal,"(624, 'deal')"
625,_misc _books 2 _balls 1,1 ball 2 books,"(625, '2 books and one ball ?')"
626,_deal,ok,"(626, 'deal')"
627,_deal,yes,"(627, 'deal')"
628,_deal,yes,"(628, 'deal')"
629,_nodeal,no deal,"(629, 'no deal')"
630,_deal,ok,"(630, 'deal')"
631,_deal,ok,"(631, 'deal')"
632,_deal,deal,"(632, 'deal')"
633,_deal,okay great ! thank you !,"(633, 'deal')"
634,_deal,deal,"(634, 'deal')"
635,_greeting,hello,"(635, 'hello')"
636,_deal,deal,"(636, 'deal')"
637,_deal,yes,"(637, 'deal')"
638,_deal,deal,"(638, 'deal')"
639,_need _hats 1 _balls 0,"balls are worthless to me , i need a hat","(639, 'ball and a hat for me 0 .')"
640,_deal,yep,"(640, 'deal')"
641,_nodeal,no deal .,"(641, 'no deal')"
642,_nodeal,ok no deal,"(642, 'no deal')"
643,_nodeal,nope,"(643, 'no deal')"
644,_deal,deal,"(644, 'deal')"
645,_deal,deal,"(645, 'deal')"
646,_deal,yep,"(646, 'deal')"
647,_misc _books all _hats 1 ,"books and a hat , work with me here .","(647, 'all books and a hat ?')"
648,_deal,sounds good .,"(648, 'deal')"
649,_nodeal,ok no deal,"(649, 'no deal')"
650,_deal,deal .,"(650, 'deal')"
651,_deal,sounds good,"(651, 'deal')"
652,_nodeal,no deal,"(652, 'no deal')"
653,_deal,yes,"(653, 'deal')"
654,_deal,"alright ,","(654, 'deal')"
655,_need _books 2 _balls 1,ball and 2 books for me,"(655, '2 books and 1 ball for me ?')"
656,_deal,deal .,"(656, 'deal')"
657,_deal,deal,"(657, 'deal')"
658,_deal,okay,"(658, 'deal')"
659,_deal,deal,"(659, 'deal')"
660,_deal,ok deal,"(660, 'deal')"
661,_deal,deal,"(661, 'deal')"
662,_deal _thanks,thank you,"(662, 'deal . thank you')"
663,_deal,deal,"(663, 'deal')"
664,_nodeal,no deal,"(664, 'no deal')"
665,_nodeal,no deal,"(665, 'no deal')"
666,_deal,yes,"(666, 'deal')"
667,_deal,okay,"(667, 'deal')"
668,_deal,deal,"(668, 'deal')"
669,_deal,yes,"(669, 'deal')"
670,_deal,deal,"(670, 'deal')"
671,_deal,deal,"(671, 'deal')"
672,_deal,ok,"(672, 'deal')"
673,_greeting,hi,"(673, 'hello')"
674,_need _books 2 _balls 1,ball and two books,"(674, '2 books and 1 ball for me ?')"
675,_deal,great !,"(675, 'deal')"
676,_deal,fine,"(676, 'deal')"
677,_deal,okay,"(677, 'deal')"
678,_deal,ok deal,"(678, 'deal')"
679,_deal _thanks,thank you,"(679, 'deal . thank you')"
680,_nodeal,no deal,"(680, 'no deal')"
681,_nodeal,no deal,"(681, 'no deal')"
682,_deal,great ! thank you !,"(682, 'deal')"
683,_deal,deal,"(683, 'deal')"
684,_deal,deal,"(684, 'deal')"
685,_nodeal,no,"(685, 'no deal')"
686,_deal,deal,"(686, 'deal')"
687,_need _balls all _offer rest,"alright then , i will take the balls and you can have the rest .","(687, 'all balls to me , rest to you .')"
688,_deal,deal,"(688, 'deal')"
689,_deal,deal,"(689, 'deal')"
690,_nodeal,no deal,"(690, 'no deal')"
691,_deal,great ! thank you !,"(691, 'deal')"
692,_deal,"ok , deal","(692, 'deal')"
693,_nodeal,sorry no deal,"(693, 'no deal')"
694,_deal,yes,"(694, 'deal')"
695,_deal,okay deal .,"(695, 'deal')"
696,_nodeal,no deal,"(696, 'no deal')"
697,_deal,deal,"(697, 'deal')"
698,_deal,ok,"(698, 'deal')"
699,_deal,okay deal .,"(699, 'deal')"
700,_deal _thanks,thanks,"(700, 'deal . thank you')"
701,_nodeal,no deal,"(701, 'no deal')"
702,_nodeal,no deal,"(702, 'no deal')"
703,_deal,okay thank you !,"(703, 'deal')"
704,_deal,ok deal,"(704, 'deal')"
705,_nodeal,no deal,"(705, 'no deal')"
706,_nodeal,no deal,"(706, 'no deal')"
707,_nodeal,no deal,"(707, 'no deal')"
708,_deal,ok deal,"(708, 'deal')"
709,_deal,ok deal,"(709, 'deal')"
710,_nodeal,no deal,"(710, 'no deal')"
711,_deal,deal,"(711, 'deal')"
712,_deal,okay deal .,"(712, 'deal')"
713,_deal,deal,"(713, 'deal')"
714,_nodeal,no deal,"(714, 'no deal')"
715,_deal,ok deal,"(715, 'deal')"
716,_deal,yes,"(716, 'deal')"
717,_nodeal,no deal,"(717, 'no deal')"
718,_deal,deal,"(718, 'deal')"
719,_misc _books 1 _balls 3,3 balls and 1 book,"(719, '3 balls and 1 book ?')"
720,_need _balls 0,balls are 0 for me .,"(720, 'balls are 0 for me .')"
721,_nodeal,no deal,"(721, 'no deal')"
722,_deal _thanks,thx,"(722, 'deal . thank you')"
723,_deal,ok,"(723, 'deal')"
724,_nodeal,no deal .,"(724, 'no deal')"
725,_deal,ok,"(725, 'deal')"
726,_deal,agreed !,"(726, 'deal')"
727,_nodeal,sorry no deal,"(727, 'no deal')"
728,_deal,deal,"(728, 'deal')"
729,_need _hats all  _offer rest,"all hats to me , you have rest","(729, 'all hats to me , rest to you .')"
730,_deal,deal,"(730, 'deal')"
731,_nodeal,no deal,"(731, 'no deal')"
732,_deal,yes,"(732, 'deal')"
733,_deal,deal,"(733, 'deal')"
734,_deal,deal,"(734, 'deal')"
735,_deal,yes,"(735, 'deal')"
736,_deal,yes,"(736, 'deal')"
737,_nodeal,no deal,"(737, 'no deal')"
738,_nodeal,nope,"(738, 'no deal')"
739,_nodeal,no deal,"(739, 'no deal')"
740,_nodeal,no deal,"(740, 'no deal')"
741,_deal,ok,"(741, 'deal')"
742,_deal,ok,"(742, 'deal')"
743,_nodeal,no deal then,"(743, 'no deal')"
744,_nodeal,no deal,"(744, 'no deal')"
745,_deal,cool,"(745, 'deal')"
746,_nodeal,then no deal,"(746, 'no deal')"
747,_nodeal,no deal,"(747, 'no deal')"
748,_deal,okay,"(748, 'deal')"
749,_deal,great !,"(749, 'deal')"
750,_deal,deal,"(750, 'deal')"
751,_need _hats 1 _balls 2,"again , i get 2 balls and 1 hat and then i have 3 items and you have 4","(751, '2 balls and 1 hat for me .')"
752,_nodeal,i can't do that,"(752, 'no deal')"
753,_deal,ok .,"(753, 'deal')"
754,_deal,deal,"(754, 'deal')"
755,_deal,okay,"(755, 'deal')"
756,_deal,deal,"(756, 'deal')"
757,_deal,sure,"(757, 'deal')"
758,_deal,deal,"(758, 'deal')"
759,_greeting,hi,"(759, 'hello')"
760,_deal,yes,"(760, 'deal')"
761,_deal,thank you !,"(761, 'deal')"
762,_deal _thanks,thanks,"(762, 'deal . thank you')"
763,_nodeal,no deal,"(763, 'no deal')"
764,_misc _balls 1,add another ball and we call it the,"(764, '1 ball')"
765,_deal,deal,"(765, 'deal')"
766,_nodeal,no deal,"(766, 'no deal')"
767,_deal,sure,"(767, 'deal')"
768,_need _balls all _offer _books rest _hats rest ,"all balls to me , the rest to you","(768, 'all books and hats for me , you can have the ball and the rest .')"
769,_deal,ok,"(769, 'deal')"
770,_deal,deal,"(770, 'deal')"
771,_deal,okay,"(771, 'deal')"
772,_need _books 2  _offer rest,"alright then , i will take 2 books and you can have the rest .","(772, '2 books for me , rest for you .')"
773,_deal,deal,"(773, 'deal')"
774,_deal,ok,"(774, 'deal')"
775,_deal,"okay , deal .","(775, 'deal')"
776,_deal,deal .,"(776, 'deal')"
777,_nodeal,no deal,"(777, 'no deal')"
778,_nodeal,no deal,"(778, 'no deal')"
779,_nodeal,no deal,"(779, 'no deal')"
780,_nodeal,no deal,"(780, 'no deal')"
781,_need _hats all ,all i want is the hats .,"(781, 'all hats to me ?')"
782,_deal,ok,"(782, 'deal')"
783,_deal _thanks,thanks !,"(783, 'deal . thank you')"
784,_nodeal,no deal .,"(784, 'no deal')"
785,_need _books all _balls all,balls and books for me,"(785, 'all books and balls for me ?')"
786,_deal,ok .,"(786, 'deal')"
787,_deal,ok deal,"(787, 'deal')"
788,_deal,okay deal,"(788, 'deal')"
789,_deal,deal,"(789, 'deal')"
790,_deal,yes,"(790, 'deal')"
791,_deal,yes,"(791, 'deal')"
792,_deal,deal,"(792, 'deal')"
793,_deal,ok deal,"(793, 'deal')"
794,_nodeal,no deal,"(794, 'no deal')"
795,_nodeal,no deal,"(795, 'no deal')"
796,_deal,deal,"(796, 'deal')"
797,_deal,deal .,"(797, 'deal')"
798,_nodeal,nope,"(798, 'no deal')"
799,_deal,sounds good,"(799, 'deal')"
800,_nodeal,no deal,"(800, 'no deal')"
801,_deal,agreed .,"(801, 'deal')"
802,_deal,deal,"(802, 'deal')"
803,_deal,okay .,"(803, 'deal')"
804,_deal,ok,"(804, 'deal')"
805,_nodeal,no deal,"(805, 'no deal')"
806,_deal,ok,"(806, 'deal')"
807,_nodeal,no deal,"(807, 'no deal')"
808,_nodeal,no deal,"(808, 'no deal')"
809,_deal _thanks,thanks !,"(809, 'deal . thank you')"
810,_nodeal,then no deal,"(810, 'no deal')"
811,_deal,okay deal,"(811, 'deal')"
812,_nodeal,no deal,"(812, 'no deal')"
813,_deal,ok deal,"(813, 'deal')"
814,_deal,deal .,"(814, 'deal')"
815,_deal,deal .,"(815, 'deal')"
816,_deal,deal,"(816, 'deal')"
817,_deal,okay,"(817, 'deal')"
818,_offer _hats 2 _balls 1,2 hats 1 ball for u,"(818, '2 hats and 1 ball for you .')"
819,_deal,deal,"(819, 'deal')"
820,_nodeal,no deal,"(820, 'no deal')"
821,_nodeal,no deal,"(821, 'no deal')"
822,_deal,ok,"(822, 'deal')"
823,_deal,ok deal,"(823, 'deal')"
824,_nodeal,no deal,"(824, 'no deal')"
825,_misc _books all ,are the books not worth for you ?,"(825, 'all books')"
826,_nodeal,are you kidding ? this is not how this works,"(826, 'no deal')"
827,_deal,ok deal .,"(827, 'deal')"
828,_need rest _offer _hats all ,all you want is the hats and i can take everything else ?,"(828, 'all hats to you , rest to me .')"
829,_deal,deal .,"(829, 'deal')"
830,_deal,ok,"(830, 'deal')"
831,_deal,"ok , deal","(831, 'deal')"
832,_nodeal,no deal .,"(832, 'no deal')"
833,_deal,deal,"(833, 'deal')"
834,_deal,ok deal,"(834, 'deal')"
835,_deal,deal .,"(835, 'deal')"
836,_deal,deal,"(836, 'deal')"
837,_deal,okay,"(837, 'deal')"
838,_deal,great ! thank you !,"(838, 'deal')"
839,_greeting,hello,"(839, 'hello')"
840,_deal,okay deal,"(840, 'deal')"
841,_deal,sounds good .,"(841, 'deal')"
842,_deal,ok deal,"(842, 'deal')"
843,_nodeal,"are you able to select ""no deal was agreed"" ?","(843, 'no deal')"
844,_deal,deal .,"(844, 'deal')"
845,_need _books 1 _hats 1 ,book and one hat for me,"(845, 'book and one hat for me ?')"
846,_deal,ok,"(846, 'deal')"
847,_deal,deal,"(847, 'deal')"
848,_need _books 1  _offer rest,alright i will take the book . you take the rest .,"(848, 'book and 1 book for me , rest for you .')"
849,_misc _books 1 ,book only,"(849, '1 book')"
850,_deal,deal,"(850, 'deal')"
851,_deal,deal,"(851, 'deal')"
852,_deal,beautiful,"(852, 'deal')"
853,_deal,deal,"(853, 'deal')"
854,_need _books 2  _offer rest,"2 books for me , you can have all the rest","(854, '2 books for me , rest for you .')"
855,_deal,ok deal .,"(855, 'deal')"
856,_deal _thanks,thanks,"(856, 'deal . thank you')"
857,_deal,yes,"(857, 'deal')"
858,_deal,sounds good .,"(858, 'deal')"
859,_nodeal,no deal,"(859, 'no deal')"
860,_deal,yes .,"(860, 'deal')"
861,_misc _books ? _hats 2 _balls ?,2 hats and a ball or the book,"(861, '2 hats ? ball and books ?')"
862,_deal,deal,"(862, 'deal')"
863,_deal,deal,"(863, 'deal')"
864,_nodeal,no deal,"(864, 'no deal')"
865,_deal,ok,"(865, 'deal')"
866,_nodeal,no deal,"(866, 'no deal')"
867,_need _books 2 _hats 1 _balls 1,"1 ball , 1 hat and 2 books for me","(867, '2 books and 1 hat and 1 ball for me .')"
868,_deal,deal,"(868, 'deal')"
869,_deal,deal,"(869, 'deal')"
870,_deal,deal !,"(870, 'deal')"
871,_deal _need _books 3 _hats 1  _offer _balls 1,": ) okay , you can have the ball , i'll take the hat and the 3 books","(871, 'deal . i need 3 books and 1 hat and you can have the ball .')"
872,_need _balls 2 _offer rest,2 balls . . . you can have everything else,"(872, '2 balls for me , rest for you .')"
873,_deal,ok,"(873, 'deal')"
874,_nodeal,no deal .,"(874, 'no deal')"
875,_deal,okay thank you !,"(875, 'deal')"
876,_deal,great,"(876, 'deal')"
877,_nodeal,no deal,"(877, 'no deal')"
878,_nodeal,no deal .,"(878, 'no deal')"
879,_deal,deal,"(879, 'deal')"
880,_need _books 1 _hats 2  _offer _books 1 ,2 hats and one book for one ball,"(880, 'book and 2 hats for me , you can have 1 book .')"
881,_deal,okay great ! thank you !,"(881, 'deal')"
882,_nodeal,no deal .,"(882, 'no deal')"
883,_nodeal,ok no deal,"(883, 'no deal')"
884,_deal,okay,"(884, 'deal')"
885,_deal,deal,"(885, 'deal')"
886,_deal,deal,"(886, 'deal')"
887,_misc _hats 3 ,all three hats,"(887, '3 hats')"
888,_deal,ok,"(888, 'deal')"
889,_deal,great,"(889, 'deal')"
890,_deal _thanks,thanks,"(890, 'deal . thank you')"
891,_deal,yes,"(891, 'deal')"
892,_deal _need _books 2 _balls 1,agreed . which means i get two books and the ball .,"(892, '2 books and 1 ball for me . deal .')"
893,_deal,okay deal .,"(893, 'deal')"
894,_deal,deal .,"(894, 'deal')"
895,_deal,deal,"(895, 'deal')"
896,_need rest,"and i will take the rest , good deal","(896, 'ok , i get the rest')"
897,_deal,okay deal,"(897, 'deal')"
898,_deal,deal .,"(898, 'deal')"
899,_nodeal,agreed . no deal,"(899, 'no deal')"
900,_deal,ok,"(900, 'deal')"
901,_deal,fine,"(901, 'deal')"
902,_offer _books 0 _hats 1 _balls 1,any way you will take the hat and the ball instead ?,"(902, 'book 0 , 1 hat and 1 ball for you .')"
903,_deal,okay,"(903, 'deal')"
904,_nodeal,no deal,"(904, 'no deal')"
905,_nodeal,no deal,"(905, 'no deal')"
906,_deal,deal,"(906, 'deal')"
907,_deal,great,"(907, 'deal')"
908,_deal,deal,"(908, 'deal')"
909,_deal,yep,"(909, 'deal')"
910,_nodeal,no deal .,"(910, 'no deal')"
911,_deal,deal,"(911, 'deal')"
912,_deal,okay,"(912, 'deal')"
913,_deal,ok,"(913, 'deal')"
914,_deal,deal,"(914, 'deal')"
915,_need _balls 1,and i get one ball,"(915, '1 ball for me ?')"
916,_deal,sure,"(916, 'deal')"
917,_need _books 3 _hats 1 ,alright i'm taking 3 books and the hat .,"(917, '3 books and one hat for me ?')"
918,_nodeal,nope,"(918, 'no deal')"
919,_deal,sure,"(919, 'deal')"
920,_misc _books 1 _hats 3 ,book and three hats,"(920, '3 hats and one book ?')"
921,_need _balls 1,"ball to costly to me , book and all hats is worth less then ball for me","(921, '1 ball for me ?')"
922,_nodeal,no deal,"(922, 'no deal')"
923,_deal,sure,"(923, 'deal')"
924,_deal,deal .,"(924, 'deal')"
925,_nodeal,no deal .,"(925, 'no deal')"
926,_deal,sure,"(926, 'deal')"
927,_need _hats 1 ,all i need is the hat,"(927, 'i need the hat and a hat')"
928,_deal,ok deal,"(928, 'deal')"
929,_nodeal,no deal,"(929, 'no deal')"
930,_deal,deal,"(930, 'deal')"
931,_nodeal,no deal,"(931, 'no deal')"
932,_deal,deal,"(932, 'deal')"
933,_deal,sure,"(933, 'deal')"
934,_deal,ok deal,"(934, 'deal')"
935,_deal,great ! thank you !,"(935, 'deal')"
936,_deal,deal .,"(936, 'deal')"
937,_nodeal,no deal,"(937, 'no deal')"
938,_deal,ok,"(938, 'deal')"
939,_need _books 3  _offer _hats 1 _balls 1,"alright , you can have the hat , and the ball . i will take three books .","(939, '3 books and 1 hat for you , 1 ball for me .')"
940,_deal,deal !,"(940, 'deal')"
941,_deal,okay thank you !,"(941, 'deal')"
942,_deal,deal,"(942, 'deal')"
943,_deal,deal,"(943, 'deal')"
944,_deal,okay,"(944, 'deal')"
945,_deal,yep,"(945, 'deal')"
946,_deal,deal,"(946, 'deal')"
947,_deal,awesome .,"(947, 'deal')"
948,_nodeal,yup impossible unless one person gets low points glad you understand,"(948, 'no deal')"
949,_nodeal,no deal,"(949, 'no deal')"
950,_deal,deal,"(950, 'deal')"
951,_deal,i can do that,"(951, 'deal')"
952,_misc _books 1 _hats 3 ,"a book , a ball and three hats","(952, '3 hats and one book ?')"
953,_deal,deal !,"(953, 'deal')"
954,_deal _thanks,thanks,"(954, 'deal . thank you')"
955,_deal,yes,"(955, 'deal')"
956,_deal,deal,"(956, 'deal')"
957,_deal,yes,"(957, 'deal')"
958,_deal,yep,"(958, 'deal')"
959,_deal,sounds good,"(959, 'deal')"
960,_nodeal,never,"(960, 'no deal')"
961,_misc _hats 1 ,are you interested in the hat at all ?,"(961, '1 hat')"
962,_need _hats 1 _balls 2,1 hat 2 balls for m,"(962, '2 balls and 1 hat for me .')"
963,_deal,deal,"(963, 'deal')"
964,_deal,ok,"(964, 'deal')"
965,_nodeal,no deal,"(965, 'no deal')"
966,_deal,deal,"(966, 'deal')"
967,_deal,thank you !,"(967, 'deal')"
968,_deal,okay great ! thank you !,"(968, 'deal')"
969,_deal,deal,"(969, 'deal')"
970,_deal,ok deal,"(970, 'deal')"
971,_deal,deal,"(971, 'deal')"
972,_deal,ok deal,"(972, 'deal')"
973,_deal,yes,"(973, 'deal')"
974,_deal _need _hats 1 _balls 1 _offer _books 4 ,"agreed , you take the 4 books and i take ball and hat .","(974, 'deal . i need the hat , ball and 4 books , you can have the ball .')"
975,_deal,ok,"(975, 'deal')"
976,_deal,ok,"(976, 'deal')"
977,_nodeal,no deal,"(977, 'no deal')"
978,_nodeal,no deal,"(978, 'no deal')"
979,_nodeal,no deal,"(979, 'no deal')"
980,_nodeal,no deal,"(980, 'no deal')"
981,_need _books all _hats 1 ,"and we're still going to roll with an uneven split . in that case , i'll take the books and a hat , then ?","(981, 'all books and a hat for me ?')"
982,_misc _books all ,all thebooks,"(982, 'all books')"
983,_deal,yes,"(983, 'deal')"
984,_need _hats 1  _offer rest,all i want is the hat you can have everything else,"(984, 'i need the hat and the rest to you ?')"
985,_nodeal,"ok , no deal","(985, 'no deal')"
986,_deal,deal .,"(986, 'deal')"
987,_deal,okay,"(987, 'deal')"
988,_nodeal,no deal,"(988, 'no deal')"
989,_need _books 1 _balls 0,"balls arnt doing much for me , that book though .","(989, 'book and 1 ball for me 0 .')"
990,_nodeal,no,"(990, 'no deal')"
991,_deal,deal .,"(991, 'deal')"
992,_nodeal,ok no deal,"(992, 'no deal')"
993,_deal _need rest _offer _books 1 ,agreed you get 1 book and i get everything else,"(993, 'deal , i will take the rest , you can take the book .')"
994,_deal,deal,"(994, 'deal')"
995,_deal,deal,"(995, 'deal')"
996,_nodeal,no deal,"(996, 'no deal')"
997,_nodeal,no deal,"(997, 'no deal')"
998,_deal,sounds good,"(998, 'deal')"
999,_deal,okay deal,"(999, 'deal')"
1000,_deal,deal,"(1000, 'deal')"
1001,_deal,ok deal,"(1001, 'deal')"
1002,_deal,ok,"(1002, 'deal')"
1003,_deal,fine,"(1003, 'deal')"
1004,_deal,ok,"(1004, 'deal')"
1005,_deal,ok,"(1005, 'deal')"
1006,_deal,deal,"(1006, 'deal')"
1007,_nodeal,no deal .,"(1007, 'no deal')"
1008,_deal,deal,"(1008, 'deal')"
1009,_nodeal,i can't do that,"(1009, 'no deal')"
1010,_deal,okay,"(1010, 'deal')"
1011,_deal,okay deal .,"(1011, 'deal')"
1012,_deal,okay great ! thank you !,"(1012, 'deal')"
1013,_deal,deal,"(1013, 'deal')"
1014,_deal,deal .,"(1014, 'deal')"
1015,_deal,deal .,"(1015, 'deal')"
1016,_need _hats 0 ,balls are not 5 each for me i have not value for the hat also does not indicate no value just no value to me .,"(1016, 'i need the hats 0 .')"
1017,_deal,ok,"(1017, 'deal')"
1018,_deal,deal,"(1018, 'deal')"
1019,_deal,deal,"(1019, 'deal')"
1020,_deal,ok,"(1020, 'deal')"
1021,_nodeal,no deal,"(1021, 'no deal')"
1022,_deal,deal .,"(1022, 'deal')"
1023,_deal,sure,"(1023, 'deal')"
1024,_deal,great,"(1024, 'deal')"
1025,_deal,deal,"(1025, 'deal')"
1026,_offer _hats 1 _balls 2,2 balls 1 hat for you,"(1026, '2 balls and 1 hat for you .')"
1027,_deal,deal,"(1027, 'deal')"
1028,_deal,deal .,"(1028, 'deal')"
1029,_deal,okay thank you !,"(1029, 'deal')"
1030,_yes _need _books 1  _offer rest,alright . i take the book . you take the rest .,"(1030, 'book and 1 book for me , rest for you .')"
1031,_deal,deal .,"(1031, 'deal')"
1032,_nodeal,"no , for me .","(1032, 'no deal')"
1033,_deal,sounds good .,"(1033, 'deal')"
1034,_misc _hats 3 _balls 1,3 hats and 1 ball ?,"(1034, '3 hats and one ball ?')"
1035,_deal,deal,"(1035, 'deal')"
1036,_deal,deal,"(1036, 'deal')"
1037,_deal,deal .,"(1037, 'deal')"
1038,_deal,deal,"(1038, 'deal')"
1039,_deal,ok deal,"(1039, 'deal')"
1040,_deal,deal .,"(1040, 'deal')"
1041,_nodeal,no deal .,"(1041, 'no deal')"
1042,_deal,yes .,"(1042, 'deal')"
1043,_deal,deal .,"(1043, 'deal')"
1044,_deal,ok deal,"(1044, 'deal')"
1045,_deal,deal .,"(1045, 'deal')"
1046,_deal,deal,"(1046, 'deal')"
1047,_deal,deal,"(1047, 'deal')"
1048,_nodeal,then no deal,"(1048, 'no deal')"
1049,_deal,ok deal,"(1049, 'deal')"
1050,_deal,deal,"(1050, 'deal')"
1051,_need _books 1 _hats 2 ,book and 2 hats to me,"(1051, 'book and 2 hats for me .')"
1052,_deal,deal .,"(1052, 'deal')"
