index,sentences,template
5816,basketballs mean nothing to me . nothing . especially after that unu .,_need (_balls:0) 
5819,book and 2 balls .,_misc (_books:1 _balls:2) 
5820,"3 balls and hat , or 2 balls and book",_misc (_hats:1 _balls:3) 
5826,deal,_deal 
5827,okay,_deal 
5828,great,_deal 
5835,deal,_deal 
5840,3 books and a hat then . it`s only fair,_misc (_books:3 _hats:1 ) 
5848,ok,_deal 
5849,deal,_deal 
5851,thanks !,_deal _thanks 
5857,ok,_deal 
5858,balls and hats for me,_need (_hats:all _balls:all) 
5859,balls and three hats for me,_need (_hats:3 _balls:all) 
5860,balls and two hats for me,_need (_hats:2 _balls:all) 
5864,"okay , deal .",_deal 
5873,deal .,_deal 
5881,no deal,_nodeal 
5882,no deal,_nodeal 
5886,no deal .,_nodeal 
5887,no deal .,_nodeal 
5892,deal,_deal 
5896,yes,_deal 
5899,deal .,_deal 
5914,okay,_deal 
5917,no deal,_nodeal 
5923,deal,_deal 
5931,no deal then,_nodeal 
5937,no deal,_nodeal 
5943,no deal .,_nodeal 
5944,alright sounds good . pleasure doing business with you .,_deal _thanks 
5955,deal,_deal 
5962,balls and books for me,_need (_books:all _balls:all) 
5964,okay,_deal 
5973,"ball and books to me , rest to you",_need (_books:all _balls:1) _offer (_books:rest _hats:rest _balls:rest) 
5979,great,_deal 
5980,deal .,_deal 
5982,ok deal,_deal 
5983,yes,_deal 
5995,deal,_deal 
6012,deal,_deal 
6015,no,_nodeal 
6017,deal,_deal 
6019,deal,_deal 
6026,deal .,_deal 
6032,deal .,_deal 
6040,deal,_deal 
6051,yes,_deal 
6057,no deal,_nodeal 
6063,ok deal,_deal 
6065,deal,_deal 
6076,anyway i can get 3 balls ?,_need (_balls:3) 
6079,"book has no value to me at all , i assume it'll give you minimal points . i'd be ok with two balls and the hat ?",_need (_books:0 _hats:1 _balls:2) 
6089,no deal then,_nodeal 
6090,no deal then,_nodeal 
6092,are you set on all three hats ? i would like the two balls and a hat .,_need (_hats:1 _balls:2) 
6100,deal,_deal 
6104,all the hats and the book ?,_misc (_books:1 _hats:all ) 
6107,sure,_deal 
6113,books and both balls to me,_need (_books:all _balls:all) 
6128,deal,_deal 
6152,deal,_deal 
6157,okay deal,_deal 
6162,fine,_deal 
6179,okay deal .,_deal 
6184,book and 2 hats,_misc (_books:1 _hats:2 ) 
6185,deal,_deal 
6196,and the basketballs ?,_misc (_balls:all) 
6207,2 balls and 2 hats then,_misc (_hats:2 _balls:2) 
6209,deal,_deal 
6213,deal,_deal 
6217,thank you,_deal _thanks 
6221,deal !,_deal 
6223,deal,_deal 
6231,yes,_deal 
6233,deal,_deal 
6234,never,_nodeal 
6238,okay,_deal 
6240,deal .,_deal 
6245,deal,_deal 
6249,deal,_deal 
6253,okay .,_deal 
6254,ok deal,_deal 
6258,deal,_deal 
6260,ok deal,_deal 
6264,2 balls,_misc (_balls:2) 
6265,sure,_deal 
6274,no deal,_nodeal 
6280,no deal,_nodeal 
6285,agreed,_deal 
6292,yup,_deal 
6294,yes,_deal 
6297,deal !,_deal 
6307,deal,_deal 
6316,yes,_deal 
6318,deal,_deal 
6326,agreed,_deal 
6327,yes,_deal 
6330,no deal .,_nodeal 
6331,no deal .,_nodeal 
6332,no deal .,_nodeal 
6340,okay thank you !,_deal 
6342,agreed,_deal 
6347,book is 0 for me . how about ball and 1 hat ?,_need (_books:0 _hats:1 _balls:1) 
6348,thanks .,_deal 
6356,book and balls for me,_need (_books:1 _balls:all) 
6357,book and balls for me,_need (_books:1 _balls:all) 
6358,balls and all the hats for me then,_need (_hats:all _balls:all) 
6359,balls and all hats,_misc (_hats:all _balls:all) 
6363,balls and 3 hats for you,_offer (_hats:3 _balls:all) 
6364,no deal,_nodeal 
6365,ok,_deal 
6370,ok,_deal 
6376,sounds good,_deal 
6382,sounds good,_deal 
6390,balls are only thing with decent points for me rest are 1,_need (_balls:all) 
6392,no deal,_nodeal 
6393,"believe or not , that sounds great !",_deal 
6400,balls have 0 value on my end,_need (_balls:0) 
6402,deal,_deal 
6408,"books are 1 each , hats are 3 each , ball is 2 . what about you ?",_need (_hats:all ) 
6417,ok,_deal 
6422,yup,_deal 
6423,ok,_deal 
6425,great,_deal 
6426,deal .,_deal 
6430,no deal,_nodeal 
6431,"alas , no deal",_nodeal 
6434,no deal,_nodeal 
6436,no deal,_nodeal 
6443,"ok , no deal",_nodeal 
6444,no deal,_nodeal 
6454,ok,_deal 
6459,no deal,_nodeal 
6460,no deal,_nodeal 
6461,no deal,_nodeal 
6462,no deal,_nodeal 
6463,no deal,_nodeal 
6467,no deal .,_nodeal 
6468,no deal .,_nodeal 
6470,ok,_deal 
6474,ok,_deal 
6477,okay great ! thank you !,_deal 
6481,deal,_deal 
6484,sounds good,_deal 
6495,no deal,_nodeal 
6499,all balls for you only,_offer (_balls:all) 
6503,no deal,_nodeal 
6504,book and the hat,_misc (_books:1 _hats:1 ) 
6514,ok no deal,_nodeal 
6523,thank you,_deal _thanks 
6528,deal,_deal 
6535,and 1 hat,_misc (_hats:1 ) 
6544,no deal then .,_nodeal 
6547,deal,_deal 
6552,thx,_deal _thanks 
6554,deal .,_deal 
6556,deal,_deal 
6562,yes,_deal 
6565,no deal then,_nodeal 
6567,cool,_deal 
6570,deal,_deal 
6574,deal .,_deal 
6576,okay great ! thank you !,_deal 
6585,deal,_deal 
6586,and i get all the books and all the hats ?,_counteroffer _need (_books:all _hats:all ) 
6597,deal,_deal 
6600,agreed,_deal 
6602,sounds good,_deal 
6614,agree . no deal,_nodeal 
6615,yep,_deal 
6616,no deal,_nodeal 
6619,"ok , no deal",_nodeal 
6621,yep,_deal 
6623,yes,_deal 
6626,deal .,_deal 
6628,ok deal .,_deal 
6630,deal !,_deal 
6633,book and 1 ball,_misc (_books:1 _balls:1) 
6634,okay,_deal 
6636,deal .,_deal 
6638,deal,_deal 
6643,book cant but i can give you the 2 hats and a ball,_offer (_hats:2 _balls:1) 
6658,deal,_deal 
6662,as a last resort . i'll give you everything if i can have the hat .,_need (_hats:1 ) _offer (_books:rest _hats:rest _balls:rest) 
6672,ok,_deal 
6677,no,_nodeal 
6678,ok,_deal 
6681,alright deal .,_deal 
6684,ok,_deal 
6694,and book to me .,_need (_books:1 ) 
6696,deal,_deal 
6698,deal .,_deal 
6715,hello,_greeting 
6717,deal,_deal 
6721,okay .,_deal 
6723,ok,_deal 
6724,all th books and 1 hat for you,_offer (_books:all _hats:1 ) 
6726,okay,_deal 
6731,deal,_deal 
6734,agreed,_deal 
6736,deal .,_deal 
6740,no deal then,_nodeal 
6751,thanks,_deal _thanks 
6755,thank you,_deal _thanks 
6757,deal,_deal 
6760,ok,_deal 
6767,deal,_deal 
6769,ok deal,_deal 
6774,okay,_deal 
6777,1 ball and 1 hat for me !,_need (_hats:1 _balls:1) 
6785,okay deal .,_deal 
6789,okay thank you !,_deal 
6791,deal,_deal 
6792,thx,_deal _thanks 
6795,no deal,_nodeal 
6796,no deal,_nodeal 
6797,no deal,_nodeal 
6801,no deal,_nodeal 
6802,no deal,_nodeal 
6814,no,_nodeal 
6815,no deal,_nodeal 
6817,ok,_deal 
6820,deal,_deal 
6823,ok,_deal 
6842,agreed with the no deal .,_nodeal 
6849,a book and a hat seems pretty fair . two items to four,_misc (_books:1 _hats:1 ) 
6850,hi,_greeting 
6851,ok,_deal 
6856,alright deal,_deal 
6864,ok,_deal 
6866,deal .,_deal 
6881,yes,_deal 
6886,hello,_greeting 
6890,no deal is it .,_nodeal 
6894,no deal,_nodeal 
6895,are you sure you cant come off the ball ?,_need (_balls:1) 
6901,ok .,_deal 
6907,deal,_deal 
6910,deal .,_deal 
6913,deal,_deal 
6915,deal .,_deal 
6930,books and two hats for you and that's a deal .,_offer (_books:all _hats:2 ) 
6931,ball and books for me,_need (_books:all _balls:1) 
6938,no deal then .,_nodeal 
6948,ok,_deal 
6950,deal,_deal 
6953,then no deal,_nodeal 
6954,nd,_nodeal 
6955,no deal,_nodeal 
6957,at least give me one ball and the books then,_need (_books:all _balls:1) 
6959,no deal,_nodeal 
6966,hi,_greeting 
6978,thanks,_deal _thanks 
6981,ok,_deal 
6986,yup,_deal 
6989,deal,_deal 
6994,okay great ! thank you !,_deal 
7000,deal,_deal 
7003,"book and ball for me , hats for you then",_need (_books:1 _balls:1) _offer (_hats:all ) 
7005,yes,_deal 
7008,agreed,_deal 
7011,aint gonna fly i need the hat and something else .,_counteroffer _need (_books:? _hats:1 _balls:?) 
7017,okay thank you !,_deal 
7020,okay,_deal 
7023,deal .,_deal 
7037,no deal,_nodeal 
7040,"2 books , 1 hat",_misc (_books:2 _hats:1 ) 
7046,okay,_deal 
7054,okay great ! thank you !,_deal 
7066,and i can have the rest ?,_need (_books:rest _hats:rest _balls:rest) 
7067,deal,_deal 
7074,and you don't want anything else ? can you give up one of the balls ?,_need (_balls:1) 
7079,2 hats .,_misc (_hats:2 ) 
7080,2 hats and you get everything else final offer .,_need (_hats:2 ) _offer (_books:rest _hats:rest _balls:rest) 
7083,thank you !,_deal 
7093,deal,_deal 
7096,book is zero to me .,_need (_books:0 ) 
7097,2 hats and ball for me ; book and 1 hat for you ? fair ?,_need (_hats:2 _balls:1) _offer (_books:1 _hats:1 ) 
7104,deal,_deal 
7110,no deal,_nodeal 
7111,ok,_deal 
7115,ball are zeros so lets split the books and hats,_need (_books:1 _hats:1 ) _offer (_books:1 _hats:1 ) 
7116,and one hat,_misc (_hats:1 ) 
7120,ok,_deal 
7122,"1 one and the books , or both hats final offer",_need (_books:all _hats:1 ) 
7126,"ok , deal",_deal 
7128,yes,_deal 
7131,basketball,_misc (_balls:1) 
7132,ok,_deal 
7138,ok,_deal 
7140,"all hats to me , everything else to you",_need (_hats:all ) _offer (_books:rest _hats:rest _balls:rest) 
7141,ok,_deal 
7151,deal,_deal 
7156,deal,_deal 
7158,great ! thank you !,_deal 
7162,ok,_deal 
7164,any chance you'll take the ball and 1 book ? i take hats and 1 book ?,_need (_books:1 _hats:all ) _offer (_books:1 _balls:1) 
7168,deal,_deal 
7170,"ok , thanks",_deal 
7171,deal,_deal 
7176,thx,_deal _thanks 
7179,yes,_deal 
7183,deal,_deal 
7188,yes .,_deal 
7193,deal .,_deal 
7205,deal .,_deal 
7208,okay great !,_deal 
7210,sounds good,_deal 
7223,okay deal,_deal 
7227,nope,_nodeal 
7229,thanks,_deal _thanks 
7242,deal,_deal 
7247,deal !,_deal 
7248,and i have the books and the balls ?,_need (_books:all _balls:all) 
7251,yes .,_deal 
7253,deal,_deal 
7257,no deal then,_nodeal 
7258,no deal,_nodeal 
7263,no deal,_nodeal 
7264,ok,_deal 
7267,ok,_deal 
7272,nope,_nodeal 
7275,nah,_nodeal 
7277,then no deal,_nodeal 
7278,ok,_deal 
7283,2 hats 1 ball and one book .,_misc (_books:1 _hats:2 _balls:1) 
7285,deal !,_deal 
7287,okay deal .,_deal 
7289,agreed,_deal 
7295,deal .,_deal 
7299,deal,_deal 
7301,deal,_deal 
7303,great,_deal 
7306,ok,_deal 
7309,ball and a book,_misc (_books:1 _balls:1) _offer (_books:rest _hats:rest _balls:rest) 
7311,deal,_deal 
7316,no deal .,_nodeal 
7321,no deal .,_nodeal 
7327,sounds good,_deal 
7329,deal,_deal 
7332,deal,_deal 
7335,deal .,_deal 
7337,deal,_deal 
7338,okay,_deal 
7339,deal,_deal 
7343,deal,_deal 
7345,thx,_deal _thanks 
7347,sure,_deal 
7350,"ok , deal .",_deal 
7356,"ok , deal",_deal 
7358,deal,_deal 
7359,sounds good,_deal 
7361,thanks,_deal _thanks 
7364,no deal,_nodeal 
7369,no deal then,_nodeal 
7370,agree,_deal 
7373,deal .,_deal 
7379,ok,_deal 
7382,ok,_deal 
7386,thank you .,_deal 
7387,deal,_deal 
7392,deal,_deal 
7400,no deal,_nodeal 
7401,no deal,_nodeal 
7402,sorry no deal,_nodeal 
7406,no deal,_nodeal 
7410,all the books but i need the hat an dthe ball,_need (_hats:1 _balls:1) _offer (_books:all ) 
7415,ok,_deal 
7419,no deal .,_nodeal 
7420,no deal .,_nodeal 
7424,no,_nodeal 
7425,no,_nodeal 
7426,books and balls for me,_need (_books:all _balls:all) 
7428,and i get only the hat ? give me at least one more item,_counteroffer _need (_books:? _hats:1 _balls:?) 
7430,sounds good,_deal 
7435,no deal,_nodeal 
7437,no deal,_nodeal 
7441,"as said , no ball for me no deal",_need (_balls:1) 
7442,"ok , no deal",_nodeal 
7445,no deal .,_nodeal 
7450,no deal .,_nodeal 
7451,no deal .,_nodeal 
7454,deal,_deal 
7461,and we split the books ?,_need (_books:1 ) _offer (_books:1 ) 
7465,no deal .,_nodeal 
7472,ok deal,_deal 
7476,okay .,_deal 
7480,ok deal,_deal 
7481,deal . you can have the rest .,_deal 
7498,deal .,_deal 
7501,thank you,_deal _thanks 
7503,okay,_deal 
7507,"2 books and the hat to you , one book and the ball to me ?",_need (_books:1 _balls:1) _offer (_books:2 _hats:1 ) 
7509,ok,_deal 
7511,"actually , i was thinking it's not fair to take all of the books . i'll take 2 books and 1 basketball . you can have 1 hat and 1 book !",_need (_books:2 _balls:1) _offer (_books:1 _hats:1 ) 
7513,are you sure i can't have the ball ? how about i take the ball and 2 books .,_need (_books:2 _balls:1) 
7515,thank you !,_deal 
7517,ok,_deal 
7528,no deal then,_nodeal 
7536,ball is out,_misc (_balls:1) 
7537,"ball is five , i can't",_nodeal 
7542,deal .,_deal 
7545,1 of each,_misc (_books:1 _hats:1 _balls:1) 
7547,ok,_deal 
7550,deal,_deal 
7551,ok deal,_deal 
7560,okay deal .,_deal 
7563,hi,_greeting 
7565,okay deal,_deal 
7581,"ok , no deal",_nodeal 
7583,ball and hat to me,_need (_hats:1 _balls:1) 
7584,ball to me or no deal,_need (_balls:1) 
7585,agreed,_deal 
7586,yes,_deal 
7587,yes,_deal 
7592,deal,_deal 
7598,yes ?,_deal 
7600,deal,_deal 
7602,great,_deal 
7603,hello,_greeting 
7606,okay great ! thank you !,_deal 
7608,ok deal,_deal 
7625,yup,_deal 
7627,6 / 10 is too low . . . . . 7 / 10 is safe,_nodeal 
7636,deal,_deal 
7640,okay,_deal 
7641,and i can have the rest ? deal .,_need (_books:rest _hats:rest _balls:rest) 
7645,"ok , deal .",_deal 
7650,deal,_deal 
7651,"ok , deal",_deal 
7660,sounds good,_deal 
7673,ok,_deal 
7676,no deal,_nodeal 
7681,2 balls and the book . and i`ll take 2 hats,_misc (_books:1 _balls:2) _need (_hats:2 ) 
7687,ok,_deal 
7691,no deal,_nodeal 
7693,deal,_deal 
7706,ok deal,_deal 
7708,yep,_deal 
7710,deal,_deal 
7712,deal .,_deal 
7720,yes,_deal 
7724,thank you !,_deal 
7726,ok,_deal 
7733,deal,_deal 
7735,okay deal,_deal 
7739,i agree .,_deal 
7741,deal,_deal 
7745,ok no deal,_nodeal 
7746,no deal,_nodeal 
7747,no how,_nodeal 
7751,no deal,_nodeal 
7752,no way,_nodeal 
7763,no deal,_nodeal 
7764,no deal then,_nodeal 
7765,ok,_deal 
7769,no deal,_nodeal 
7772,deal,_deal 
7774,deal .,_deal 
7778,ok,_deal 
7783,hi,_greeting 
7785,okay,_deal 
7786,yes,_deal 
7787,hello,_greeting 
7790,agreed !,_deal 
7798,3 books and one hat to me or no deal,_need (_books:3 _hats:1 ) 
7813,ok,_deal 
7814,ok,_deal 
7820,and i get the rest ? deal,_need (_books:rest _hats:rest _balls:rest) 
7825,deal .,_deal 
7836,ok,_deal 
7838,okay thank you !,_deal 
7840,okay .,_deal 
7841,deal,_deal 
7843,deal,_deal 
7846,deal !,_deal 
7849,deal,_deal 
7850,ok,_deal 
7858,deal,_deal 
7859,ok,_deal 
7861,okay,_deal 
7867,deal,_deal 
7870,ok deal,_deal 
7874,ok,_deal 
7877,deal,_deal 
7881,ok,_deal 
7883,ok,_deal 
7885,yeah no,_nodeal 
7886,no,_nodeal 
7887,no deal,_nodeal 
7888,no deal,_nodeal 
7892,no deal,_nodeal 
7896,ok .,_deal 
7899,thanks !,_deal _thanks 
7900,alright,_deal 
7903,yes .,_deal 
7905,ok,_deal 
7907,ok deal,_deal 
7909,deal,_deal 
7934,sure,_deal 
7936,deal,_deal 
7937,okay .,_deal 
7938,deal,_deal 
7944,no deal,_nodeal 
7945,never,_nodeal 
7948,no deal,_nodeal 
7958,ok deal,_deal 
7960,ball and three books for me then .,_need (_books:3 _balls:1) 
7963,deal .,_deal 
7967,thanks,_deal _thanks 
7973,alright .,_deal 
7979,great !,_deal 
7980,no deal,_nodeal 
7982,deal,_deal 
7986,sure,_deal 
7991,ok,_deal 
7994,ok,_deal 
7997,hi,_greeting 
8003,and 1 hat,_misc (_hats:1 ) 
8010,agreed,_deal 
8012,yup,_deal 
8013,"agreed , sometimes it stalls very early , legit",_deal 
8015,no deal then,_nodeal 
8020,ok deal,_deal 
8021,ok deal,_deal 
8036,okay,_deal 
8037,deal,_deal 
8038,deal .,_deal 
8042,ok,_deal 
8048,okay deal,_deal 
8049,deal !,_deal 
8051,hi,_greeting 
8056,ok,_deal 
8059,yes,_deal 
8063,okay great !,_deal 
8068,and i keep one book then,_need (_books:1 ) 
8071,deal .,_deal 
8075,ok deal,_deal 
8078,1 book and 2 balls for each . who gets the hat ?,_misc (_hats:1 ) _need (_books:1 _balls:2) _offer (_books:1 _balls:2) 
8083,okay,_deal 
8099,agreed !,_deal 
8107,fine,_deal 
8115,deal .,_deal 
8118,deal .,_deal 
8124,thank you,_deal _thanks 
8126,deal,_deal 
8129,deal,_deal 
8134,deal,_deal 
8138,"alright hats and balls for you , books for me .",_yes _need (_books:all ) _offer (_hats:all _balls:1) 
8141,no deal,_nodeal 
8142,no deal,_nodeal 
8146,no deal,_nodeal 
8147,no deal,_nodeal 
8148,no deal,_nodeal 
8150,deal,_deal 
8152,okay deal,_deal 
8163,ok thanks,_deal 
8168,deal,_deal 
8172,ok,_deal 
8178,"ok , thanks",_deal 
8188,okay deal,_deal 
8194,ok,_deal 
8197,"a need two hats and a balls , please",_need (_hats:2 _balls:1) 
8200,book and hat for me you get all 3 balls .,_need (_books:1 _hats:1 ) _offer (_balls:all) 
8202,deal,_deal 
8208,agreed .,_deal 
8211,"alright , alright - you can have the book . i will take all the rest .",_deal _need (_books:rest _hats:rest _balls:rest) _offer (_books:1 ) 
8213,okay deal .,_deal 
8217,okay,_deal 
8224,deal .,_deal 
8230,ok,_deal 
8233,deal,_deal 
8240,okay deal .,_deal 
8252,2 balls and book,_misc (_books:1 _balls:2) 
8253,3 balls to me,_need (_balls:3) 
8257,yes,_deal 
8260,"and so would i , ill give up the book if i get the hat",_need (_hats:1 ) _offer (_books:1 ) 
8263,deal,_deal 
8264,great,_deal 
8266,great ! thank you !,_deal 
8269,no deal,_nodeal 
8270,yup,_deal 
8271,nope,_nodeal 
8274,yup,_deal 
8275,agreed,_deal 
8276,agreed,_deal 
8279,ok,_deal 
8285,okay,_deal 
8299,deal,_deal 
8311,ok,_deal 
8312,deal,_deal 
8315,"all i really want is the hat . you can have the rest , including the two ball",_need (_hats:1 ) _offer (_books:rest _hats:rest _balls:rest) 
8318,yes,_deal 
8326,deal,_deal 
8329,okay deal,_deal 
8336,ok,_deal 
8341,ok,_deal 
8343,ball and one hat,_misc (_hats:1 _balls:1) 
8345,ok,_deal 
8350,deal .,_deal 
8351,deal,_deal 
8353,okay,_deal 
8362,thanks !,_deal _thanks 
8363,ok deal,_deal 
8368,okay,_deal 
8370,thanks .,_deal 
8375,ok,_deal 
8377,deal .,_deal 
8378,1 book for 2 balls,_need (_books:1 ) _offer (_balls:2) 
8379,1 book for 1 ball then,_need (_books:1 ) _offer (_balls:1) 
8380,ok deal,_deal 
8386,then no deal,_nodeal 
8387,no deal,_nodeal 
8390,no deal then,_nodeal 
8392,no deal,_nodeal 
8393,no deal,_nodeal 
8395,deal,_deal 
8396,okay,_deal 
8400,okay great ! thank you !,_deal 
8403,deal,_deal 
8407,deal,_deal 
8412,ok deal,_deal 
8414,sounds good,_deal 
8419,cool,_deal 
8432,no deal,_nodeal 
8447,deal .,_deal 
8455,deal,_deal 
8458,deal .,_deal 
8461,deal,_deal 
8463,yes,_deal 
8469,ok,_deal 
8476,ball must be mine,_need (_balls:1) 
8477,ok deal,_deal 
8481,deal,_deal 
8487,deal,_deal 
8490,ball is 7 points for me sorry cant let it go,_need (_balls:1) 
8491,no deal,_nodeal 
8492,no,_nodeal 
8493,no,_nodeal 
8503,no deal,_nodeal 
8507,"alas , not going to work , we'll have to do no deal",_nodeal 
8508,no deal,_nodeal 
8522,deal !,_deal 
8525,deal,_deal 
8528,deal,_deal 
8533,yes,_deal 
8537,ok,_deal 
8539,agreed,_deal 
8544,no deal,_nodeal 
8546,deal,_deal 
8570,and my grandma also needs a hat,_need (_hats:1 ) 
8572,"alright , down the middle then ? one of each ?",_deal _need (_books:1 _hats:1 _balls:1) _offer (_books:1 _hats:1 _balls:1) 
8581,deal,_deal 
8587,yes,_deal 
8589,alright well if i can have all the hats and a ball .,_counteroffer _need (_hats:all _balls:1) 
8590,deal .,_deal 
8604,books are 0 for me . i can 1 hat and 1 ball or just 2 balls .,_need (_books:0 _hats:1 _balls:1) 
8611,sorry no deal,_nodeal 
8613,no deal,_nodeal 
8614,no deal,_nodeal 
8617,no deal .,_nodeal 
8618,agreed .,_deal 
8619,agreed .,_deal 
8622,never,_nodeal 
8623,no can do,_nodeal 
8624,no,_nodeal 
8632,sounds good,_deal 
8643,okay great !,_deal 
8644,ok,_deal 
8649,no deal .,_nodeal 
8651,no deal,_nodeal 
8655,deal .,_deal 
8659,no deal it is .,_nodeal 
8660,no deal .,_nodeal 
8661,no deal,_nodeal 
8664,"ok , no deal",_nodeal 
8665,no deal,_nodeal 
8666,no deal,_nodeal 
8678,actually i wanted both books and will split the rest however you want,_need (_books:2 ) 
8684,"again , i'm going for fair or no deal . 3 items each , 1 of them being a book .",_counteroffer _need (_books:1 ) 
8691,no deal,_nodeal 
8701,deal .,_deal 
8706,deal,_deal 
8708,deal,_deal 
8712,ok,_deal 
8713,books and hats and balls : x,_misc (_books:all _hats:all _balls:all) 
8714,1 ball then,_misc (_balls:1) 
8719,deal,_deal 
8725,deal,_deal 
8729,deal,_deal 
8733,2 balls and 2 books please,_need (_books:2 _balls:2) 
8736,ok,_deal 
8748,deal,_deal 
8755,ok,_deal 
8758,deal,_deal 
8764,agreed no deal .,_nodeal 
8779,fine,_deal 
8783,okay,_deal 
8786,"ok , no deal",_nodeal 
8787,no deal,_nodeal 
8791,no deal,_nodeal 
8792,no deal,_nodeal 
8803,okay deal .,_deal 
8817,okay,_deal 
8820,3 hats for the book,_need (_hats:3 ) _offer (_books:1 ) 
8829,okay,_deal 
8834,deal,_deal 
8837,sounds good,_deal 
8842,deal,_deal 
8845,"ok , no deal",_nodeal 
8846,no deal .,_nodeal 
8847,no deal .,_nodeal 
8849,and one book,_misc (_books:1 ) 
8850,no deal,_nodeal 
8851,no deal,_nodeal 
8852,no deal,_nodeal 
8859,yes,_deal 
8860,yes,_deal 
8871,deal,_deal 
8874,ok,_deal 
8881,"okay , deal .",_deal 
8887,deal,_deal 
8889,deal,_deal 
8891,deal,_deal 
8894,deal,_deal 
8895,deal,_deal 
8914,ok,_deal 
8922,agree to that deal,_deal 
8924,yes,_deal 
8927,deal,_deal 
8930,books and hats for me,_need (_books:all _hats:all ) 
8954,deal,_deal 
8956,no deal,_nodeal 
8958,deal,_deal 
8964,"ball is worthless to me , can i have one book and one hat",_need (_books:1 _hats:1 _balls:0) 
8965,okay deal,_deal 
8973,no deal then,_nodeal 
8974,no deal,_nodeal 
8976,sorry no deal,_nodeal 
8979,"ok , no deal",_nodeal 
8982,no deal then,_nodeal 
8986,great,_deal 
8996,okay deal,_deal 
8999,alright i will take all the balls and the books . you can just have the hat .,_need (_books:all _balls:all) _offer (_hats:1 ) 
9001,yes,_deal 
9004,great !,_deal 
9009,deal,_deal 
9011,okay deal .,_deal 
9020,yes .,_deal 
9025,deal,_deal 
9026,deal,_deal 
9029,deal,_deal 
9035,ok deal,_deal 
9041,no deal,_nodeal 
9042,no deal,_nodeal 
9049,deal,_deal 
9053,ok,_deal 
9058,sounds good,_deal 
9068,sure,_deal 
9072,great !,_deal 
9078,sounds good,_deal 
9081,deal . thank you .,_deal _thanks 
9086,ok,_deal 
9091,ok deal,_deal 
9098,great !,_deal 
9106,deal .,_deal 
9107,ok,_deal 
9110,yes,_deal 
9119,ok,_deal 
9120,yes,_deal 
9126,how about no,_nodeal 
9128,fine,_deal 
9129,all of the books and one ball,_misc (_books:all _balls:1) 
9131,fine,_deal 
9132,books and hats,_misc (_books:all _hats:all ) 
9134,yup works for me,_deal 
9140,ok deal,_deal 
9141,"alright , deal . thank you !",_deal _thanks 
9163,are the books of any value to you ? i can definitely give you the ball . i would prefer to have both hats .,_misc (_books:all ) _need (_hats:2 ) _offer (_balls:1) 
9165,deal . thank you .,_deal _thanks 
9187,deal,_deal 
9192,deal .,_deal 
9201,deal,_deal 
9207,agreed,_deal 
9208,yes,_deal 
9209,ok,_deal 
9216,deal,_deal 
9218,great ! thank you !,_deal 
9227,deal,_deal 
9229,alrighty then .,_deal 
9232,no deal,_nodeal 
9238,no deal .,_nodeal 
9250,no deal,_nodeal 
9251,no deal,_nodeal 
9252,deal,_deal 
9254,ok,_deal 
9259,ok,_deal 
9262,okay,_deal 
9263,book and hats for me,_need (_books:1 _hats:all ) 
9264,ok deal,_deal 
9277,"ok , no deal",_nodeal 
9279,deal .,_deal 
9282,great ! thank you !,_deal 
9283,ok,_deal 
9287,"1 book and 3 balls for you , 2 hats for me .",_need (_hats:2 ) _offer (_books:1 _balls:3) 
9288,ok,_deal 
9291,ok deal,_deal 
9292,deal,_deal 
9297,ok,_deal 
9301,okay thank you !,_deal 
9308,no deal,_nodeal 
9311,no deal .,_nodeal 
9312,no deal .,_nodeal 
9313,no deal .,_nodeal 
9314,deal .,_deal 
9317,ok,_deal 
9320,alright i get 1 book and 1 hat you get 2 hats and 1 ball deal .,_yes _need (_books:1 _hats:1 ) _offer (_hats:2 _balls:1) 
9323,deal,_deal 
9325,deal,_deal 
9338,no deal,_nodeal 
9340,deal .,_deal 
9343,ok,_deal 
9361,deal,_deal 
9363,okay,_deal 
9365,yes,_deal 
9367,ok deal,_deal 
9370,"alright , i can deal . . . with that . lol",_deal 
9371,nope,_nodeal 
9373,cool,_deal 
9375,deal .,_deal 
9376,yes .,_deal 
9383,sounds good,_deal 
9384,deal . you can have the hats,_deal 
9387,yes,_deal 
9393,deal,_deal 
9394,deal !,_deal 
9398,fine,_deal 
9402,agree,_deal 
9404,deal,_deal 
9406,sounds good,_deal 
9408,deal .,_deal 
9419,yes,_deal 
9425,yes,_deal 
9428,deal,_deal 
9432,deal,_deal 
9442,deal .,_deal 
9444,no can do,_nodeal 
9445,no deal,_nodeal 
9446,ok,_deal 
9447,yes,_deal 
9450,ok,_deal 
9451,yep,_deal 
9452,ok,_deal 
9468,no,_nodeal 
9469,no deal,_nodeal 
9470,no deal,_nodeal 
9476,ball is 5 points for me . everything else is 5 points together . i don't deal for less than 5 / 10 .,_need (_balls:1) 
9478,ok deal,_deal 
9481,deal,_deal 
9484,deal,_deal 
9502,no deal,_nodeal 
9507,no deal .,_nodeal 
9508,deal,_deal 
9515,no deal .,_nodeal 
9536,deal,_deal 
9548,deal,_deal 
9551,deal,_deal 
9555,deal .,_deal 
9557,and i get the rest ? deal .,_need (_books:rest _hats:rest _balls:rest) 
9562,deal,_deal 
9566,deal,_deal 
9569,no way,_nodeal 
9571,no deal,_nodeal 
9573,yes,_deal 
9574,2 balls and that is the most i can do,_offer (_hats:1 _balls:2) 
9581,okay deal .,_deal 
9585,deal . thanks,_deal _thanks 
